# 2Theta,Intensity
1.000000000000000000e+01,5.135957752621098660e-01
1.001999999999999957e+01,5.241705859058678474e-01
1.003999999999999915e+01,3.657205385649293095e-01
1.006000000000000050e+01,3.166516795888538738e-01
1.008000000000000007e+01,3.608890465309013695e-01
1.009999999999999964e+01,3.850607592627126596e-01
1.011999999999999922e+01,4.380888090700443827e-01
1.014000000000000057e+01,2.638882206352270998e-01
1.016000000000000014e+01,3.924839520376787738e-01
1.017999999999999972e+01,5.345168311628244462e-01
1.019999999999999929e+01,7.122894357646476493e-01
1.022000000000000064e+01,5.867969057936822663e-01
1.024000000000000021e+01,6.504864858517973580e-01
1.025999999999999979e+01,3.736700411713281267e-01
1.027999999999999936e+01,6.782909403319880015e-01
1.030000000000000071e+01,4.233690701195485517e-01
1.032000000000000028e+01,5.372869598625575893e-01
1.033999999999999986e+01,5.366747069696667927e-01
1.035999999999999943e+01,4.115502684132259503e-01
1.038000000000000078e+01,5.200281038001254297e-01
1.040000000000000036e+01,3.404078396413947605e-01
1.041999999999999993e+01,4.566181643796858314e-01
1.043999999999999950e+01,4.783581081515667632e-01
1.046000000000000085e+01,6.112812881331124437e-01
1.048000000000000043e+01,5.333870986367242883e-01
1.050000000000000000e+01,4.635660729140214098e-01
1.051999999999999957e+01,6.474370905675395083e-01
1.053999999999999915e+01,5.241638579106099316e-01
1.056000000000000050e+01,3.356526582415833571e-01
1.058000000000000007e+01,4.648691655070394391e-01
1.059999999999999964e+01,4.662863331450642912e-01
1.061999999999999922e+01,5.402633605983299114e-01
1.064000000000000057e+01,4.639446973862864643e-01
1.066000000000000014e+01,4.597315252657707685e-01
1.067999999999999972e+01,6.508338079821514022e-01
1.069999999999999929e+01,4.562902802690555482e-01
1.072000000000000064e+01,1.671323121173942383e-01
1.074000000000000021e+01,4.804971070388325272e-01
1.075999999999999979e+01,3.837108104750788784e-01
1.077999999999999936e+01,4.040499824008753071e-01
1.080000000000000071e+01,4.660515348638438193e-01
1.082000000000000028e+01,4.088382299188689228e-01
1.083999999999999986e+01,5.709993278842606657e-01
1.085999999999999943e+01,5.148867688554972233e-01
1.088000000000000078e+01,6.664119702152695446e-01
1.090000000000000036e+01,7.517259266152691577e-01
1.091999999999999993e+01,4.451763924254593663e-01
1.093999999999999950e+01,4.483755189364841964e-01
1.096000000000000085e+01,3.553667061772801672e-01
1.098000000000000043e+01,2.409695354797359856e-01
1.100000000000000000e+01,4.966598932459997950e-01
1.101999999999999957e+01,5.745190318169876020e-01
1.103999999999999915e+01,2.972150966668244965e-01
1.106000000000000050e+01,5.636742091989778158e-01
1.108000000000000007e+01,4.932936392012137738e-01
1.109999999999999964e+01,6.264185250701633789e-01
1.112000000000000099e+01,4.456676274406561333e-01
1.114000000000000057e+01,5.428446715430444991e-01
1.116000000000000014e+01,5.327566046064258209e-01
1.117999999999999972e+01,3.484183484578752821e-01
1.119999999999999929e+01,7.023852342412304495e-01
1.122000000000000064e+01,4.118320610847082675e-01
1.124000000000000021e+01,4.787481696790858443e-01
1.125999999999999979e+01,4.226245855329716083e-01
1.127999999999999936e+01,7.575179127212118280e-01
1.130000000000000071e+01,5.368967740118617549e-01
1.132000000000000028e+01,5.856314945664601312e-01
1.133999999999999986e+01,5.714950587783012015e-01
1.135999999999999943e+01,2.777169990428869917e-01
1.138000000000000078e+01,3.612361284350922852e-01
1.140000000000000036e+01,1.631255806781796158e-01
1.141999999999999993e+01,2.614892149069653060e-01
1.143999999999999950e+01,4.029836670659986964e-01
1.146000000000000085e+01,7.365428134670506388e-01
1.148000000000000043e+01,3.218694459529837237e-01
1.150000000000000000e+01,4.606391925945201304e-01
1.151999999999999957e+01,6.869379365455514641e-01
1.153999999999999915e+01,4.552786421353293700e-01
1.156000000000000050e+01,5.661321938122511055e-01
1.158000000000000007e+01,6.674497378652526347e-01
1.159999999999999964e+01,3.211863535240605527e-01
1.162000000000000099e+01,3.546689679234369397e-01
1.164000000000000057e+01,4.816530093276848445e-01
1.166000000000000014e+01,5.502606438533862443e-01
1.167999999999999972e+01,7.391069915217500785e-01
1.169999999999999929e+01,6.560391827464978620e-01
1.172000000000000064e+01,6.477651519624362253e-01
1.174000000000000021e+01,4.159816015969731162e-01
1.175999999999999979e+01,4.938943849854037227e-01
1.177999999999999936e+01,5.878291778113203803e-01
1.180000000000000071e+01,6.603377216852660547e-01
1.182000000000000028e+01,5.697850474728928249e-01
1.183999999999999986e+01,3.413795110171713443e-01
1.185999999999999943e+01,7.517429629652370160e-01
1.188000000000000078e+01,5.326282674095246250e-01
1.190000000000000036e+01,5.081396211745689007e-01
1.191999999999999993e+01,7.006007850977614693e-01
1.193999999999999950e+01,6.768271164278779617e-01
1.196000000000000085e+01,3.025882554352423148e-01
1.198000000000000043e+01,4.491988163640703857e-01
1.200000000000000000e+01,6.206074006116428787e-01
1.201999999999999957e+01,3.939757128606946601e-01
1.203999999999999915e+01,2.908899155411517334e-01
1.206000000000000050e+01,2.866075423630337626e-01
1.208000000000000007e+01,4.031934889257614563e-01
1.209999999999999964e+01,4.926837700726443559e-01
1.212000000000000099e+01,3.515895010543291233e-01
1.214000000000000057e+01,5.679353196819271199e-01
1.216000000000000014e+01,4.924619576274427146e-01
1.217999999999999972e+01,6.751435521385801275e-01
1.219999999999999929e+01,5.817259949935358332e-01
1.222000000000000064e+01,3.834825662114975664e-01
1.224000000000000021e+01,4.248179388503506848e-01
1.225999999999999979e+01,4.633522976344210398e-01
1.228000000000000114e+01,4.433171299181802860e-01
1.230000000000000071e+01,3.825214759463710368e-01
1.232000000000000028e+01,3.966145661456269012e-01
1.233999999999999986e+01,6.784120234255526238e-01
1.235999999999999943e+01,3.195193300460704156e-01
1.237999999999999901e+01,6.007874538554203170e-01
1.240000000000000036e+01,4.272190839788212458e-01
1.241999999999999993e+01,6.792511903856164324e-01
1.243999999999999950e+01,6.823544887302720463e-01
1.246000000000000085e+01,5.493257054794450367e-01
1.248000000000000043e+01,8.086930645165706366e-01
1.250000000000000000e+01,3.982275563028404575e-01
1.251999999999999957e+01,6.466085804990143737e-01
1.253999999999999915e+01,4.094031663445943936e-01
1.256000000000000050e+01,3.365783459857328297e-01
1.258000000000000007e+01,4.824284632511468551e-01
1.259999999999999964e+01,4.729229446818852267e-01
1.262000000000000099e+01,6.537355440176554344e-01
1.264000000000000057e+01,4.854128374671571877e-01
1.266000000000000014e+01,4.468405303547300367e-01
1.267999999999999972e+01,6.560462733708175564e-01
1.269999999999999929e+01,6.723964130885586865e-01
1.272000000000000064e+01,4.154487220226413813e-01
1.274000000000000021e+01,4.802448112010220260e-01
1.275999999999999979e+01,4.823558727305133909e-01
1.278000000000000114e+01,4.895268823113263501e-01
1.280000000000000071e+01,7.707202917362333539e-01
1.282000000000000028e+01,7.697065249517507368e-01
1.283999999999999986e+01,5.191499521277129769e-01
1.285999999999999943e+01,5.434988311788901960e-01
1.287999999999999901e+01,6.673303061481603571e-01
1.290000000000000036e+01,7.768778008997589968e-01
1.291999999999999993e+01,4.078408445403253757e-01
1.293999999999999950e+01,2.448513439790000745e-01
1.296000000000000085e+01,3.148313857254285142e-01
1.298000000000000043e+01,6.221640323167424436e-01
1.300000000000000000e+01,4.484238981155462822e-01
1.301999999999999957e+01,5.131704614354721805e-01
1.303999999999999915e+01,6.141702628499654537e-01
1.306000000000000050e+01,4.183904691626830763e-01
1.308000000000000007e+01,6.335334626109291323e-01
1.309999999999999964e+01,4.240632758114276646e-01
1.312000000000000099e+01,7.460248766839259194e-01
1.314000000000000057e+01,4.799938863455208704e-01
1.316000000000000014e+01,4.773335972123489146e-01
1.317999999999999972e+01,5.366606987754203306e-01
1.319999999999999929e+01,3.409258725872685858e-01
1.322000000000000064e+01,6.556809615536806080e-01
1.324000000000000021e+01,8.389490884040038399e-01
1.325999999999999979e+01,4.234845045491022475e-01
1.328000000000000114e+01,5.175780356083596878e-01
1.330000000000000071e+01,4.225321347766070046e-01
1.332000000000000028e+01,2.704521233616649645e-01
1.333999999999999986e+01,6.452303099745136938e-01
1.335999999999999943e+01,4.908197390793010984e-01
1.337999999999999901e+01,5.465756347012662442e-01
1.340000000000000036e+01,3.938998993807015792e-01
1.341999999999999993e+01,5.804631694184843038e-01
1.343999999999999950e+01,6.345604417161544442e-01
1.346000000000000085e+01,5.255213098935953564e-01
1.348000000000000043e+01,3.807239906853445710e-01
1.350000000000000000e+01,4.373790323636040367e-01
1.351999999999999957e+01,5.614414976350533548e-01
1.353999999999999915e+01,3.905093518555580179e-01
1.356000000000000050e+01,2.885158920145750039e-01
1.358000000000000007e+01,3.010788302147049400e-01
1.359999999999999964e+01,3.807091056064668133e-01
1.362000000000000099e+01,5.681024314907219264e-01
1.364000000000000057e+01,7.288224209779413654e-01
1.366000000000000014e+01,3.913384555560120992e-01
