# 2Theta,Intensity
1.000000000000000000e+01,5.424810005877088726e-01
1.001999999999999957e+01,1.026384796503772900e+00
1.003999999999999915e+01,8.036064431273097775e-01
1.006000000000000050e+01,8.088618912565888053e-01
1.008000000000000007e+01,1.076126228524040052e+00
1.009999999999999964e+01,8.645371957593727119e-01
1.011999999999999922e+01,8.575838062314239396e-01
1.014000000000000057e+01,1.142340172171435242e+00
1.016000000000000014e+01,1.048792411306769257e+00
1.017999999999999972e+01,9.562998591339202381e-01
1.019999999999999929e+01,9.005179605953735900e-01
1.022000000000000064e+01,7.690433304716061125e-01
1.024000000000000021e+01,8.261438933912278459e-01
1.025999999999999979e+01,8.954168462729126254e-01
1.027999999999999936e+01,9.061575018470175991e-01
1.030000000000000071e+01,9.466641714514840711e-01
1.032000000000000028e+01,1.037199662281416357e+00
1.033999999999999986e+01,8.772051967815368556e-01
1.035999999999999943e+01,8.158921096296876119e-01
1.038000000000000078e+01,1.101859108356634254e+00
1.040000000000000036e+01,6.598472521260256851e-01
1.041999999999999993e+01,9.121763076512098278e-01
1.043999999999999950e+01,7.102668065706313483e-01
1.046000000000000085e+01,1.042309007047948599e+00
1.048000000000000043e+01,6.498622622077663280e-01
1.050000000000000000e+01,1.189370072997159467e+00
1.051999999999999957e+01,9.972634459524934991e-01
1.053999999999999915e+01,1.137917598432528488e+00
1.056000000000000050e+01,1.018810361194925296e+00
1.058000000000000007e+01,8.206619492411889594e-01
1.059999999999999964e+01,8.074321210231655277e-01
1.061999999999999922e+01,1.116124248049370049e+00
1.064000000000000057e+01,1.091468840761488313e+00
1.066000000000000014e+01,9.428519710351808136e-01
1.067999999999999972e+01,9.415211041182928176e-01
1.069999999999999929e+01,7.933967000041510786e-01
1.072000000000000064e+01,9.732506572485820628e-01
1.074000000000000021e+01,8.808248153166085004e-01
1.075999999999999979e+01,8.724220252815180210e-01
1.077999999999999936e+01,1.117566808480579432e+00
1.080000000000000071e+01,9.304359075528196854e-01
1.082000000000000028e+01,1.201395844648633249e+00
1.083999999999999986e+01,8.760107271011471353e-01
1.085999999999999943e+01,1.143676009812048200e+00
1.088000000000000078e+01,1.254197814270094247e+00
1.090000000000000036e+01,1.053431587461504115e+00
1.091999999999999993e+01,1.004311907782882374e+00
1.093999999999999950e+01,1.048815099481551050e+00
1.096000000000000085e+01,1.101880253636909890e+00
1.098000000000000043e+01,1.275652672747688232e+00
1.100000000000000000e+01,8.879778813345747812e-01
1.101999999999999957e+01,8.966818384112680285e-01
1.103999999999999915e+01,9.754157497677438116e-01
1.106000000000000050e+01,1.024417246675989546e+00
1.108000000000000007e+01,1.216909587175666774e+00
1.109999999999999964e+01,1.144948071389596533e+00
1.112000000000000099e+01,1.274247908977521826e+00
1.114000000000000057e+01,8.981821478039341278e-01
1.116000000000000014e+01,7.452055032670408252e-01
1.117999999999999972e+01,1.097615987949726035e+00
1.119999999999999929e+01,9.162608201754706139e-01
1.122000000000000064e+01,1.038209423726687675e+00
1.124000000000000021e+01,9.163438109312119773e-01
