# 2Theta,Intensity
1.000000000000000000e+01,-2.001818317938312136e-02
1.001999999999999957e+01,3.188587446525702473e-01
1.003999999999999915e+01,2.838397721791584560e-01
1.006000000000000050e+01,1.914445334929202602e-01
1.008000000000000007e+01,2.983457548790598990e-01
1.009999999999999964e+01,2.840457970731147808e-01
1.011999999999999922e+01,2.870419952425747323e-01
1.014000000000000057e+01,2.197127746420593775e-01
1.016000000000000014e+01,7.529255576589355403e-02
1.017999999999999972e+01,3.953057306823366812e-02
1.019999999999999929e+01,3.631001927049912203e-01
1.022000000000000064e+01,3.055992951466964813e-01
1.024000000000000021e+01,2.663264183734154189e-01
1.025999999999999979e+01,2.644330688175143274e-01
1.027999999999999936e+01,2.536943884519302084e-01
1.030000000000000071e+01,1.513830502166941816e-01
1.032000000000000028e+01,2.699015923644805803e-01
1.033999999999999986e+01,1.460027403807795388e-01
1.035999999999999943e+01,1.697859218298733985e-01
1.038000000000000078e+01,-9.589404811054462463e-02
1.040000000000000036e+01,2.252496931930628998e-01
1.041999999999999993e+01,2.768642527971895695e-01
1.043999999999999950e+01,2.137641380339222741e-01
1.046000000000000085e+01,1.125480024315410194e-01
1.048000000000000043e+01,8.400643741219385174e-02
1.050000000000000000e+01,1.639247770019069128e-01
1.051999999999999957e+01,3.321554823976959336e-01
1.053999999999999915e+01,6.918564129707208132e-02
1.056000000000000050e+01,1.705772827295636562e-01
1.058000000000000007e+01,1.634557267634706434e-01
1.059999999999999964e+01,1.880960715626434354e-01
1.061999999999999922e+01,1.880216576393131389e-01
1.064000000000000057e+01,1.404346432264320654e-01
1.066000000000000014e+01,1.574893721429921345e-01
1.067999999999999972e+01,2.176312904500284084e-02
1.069999999999999929e+01,9.376219566468872724e-02
1.072000000000000064e+01,4.591669170660620525e-01
1.074000000000000021e+01,2.878281754105521673e-01
1.075999999999999979e+01,9.091320525075327619e-02
1.077999999999999936e+01,1.455796946441740569e-01
1.080000000000000071e+01,2.412781200298585310e-02
1.082000000000000028e+01,1.627479053472169757e-01
1.083999999999999986e+01,4.183962431845575924e-01
1.085999999999999943e+01,3.110947347944588159e-01
1.088000000000000078e+01,2.597863730122915160e-01
1.090000000000000036e+01,2.956079525495964311e-01
1.091999999999999993e+01,4.026345641689694221e-01
1.093999999999999950e+01,1.478647580641335169e-01
1.096000000000000085e+01,2.393756028281034953e-01
1.098000000000000043e+01,1.656643921900712302e-01
1.100000000000000000e+01,3.422102780668696553e-01
1.101999999999999957e+01,7.395691453009929639e-02
1.103999999999999915e+01,3.028842679511380975e-01
1.106000000000000050e+01,1.851083661754756859e-01
1.108000000000000007e+01,3.850118332220561768e-01
1.109999999999999964e+01,2.049846556450379831e-01
1.112000000000000099e+01,1.362701293050556095e-01
1.114000000000000057e+01,1.792670018421457512e-01
1.116000000000000014e+01,1.653893821413925103e-01
1.117999999999999972e+01,3.147955952162954651e-01
1.119999999999999929e+01,4.100102686912985295e-01
1.122000000000000064e+01,1.108306073424406013e-01
1.124000000000000021e+01,-9.823507213629870116e-02
1.125999999999999979e+01,3.200634315097178328e-01
1.127999999999999936e+01,4.384299992452195260e-02
1.130000000000000071e+01,-2.506042894787157208e-02
1.132000000000000028e+01,1.957060612148024681e-01
1.133999999999999986e+01,2.356505239024652143e-01
1.135999999999999943e+01,3.602049217144995957e-02
1.138000000000000078e+01,2.910049887135547353e-01
1.140000000000000036e+01,8.137645617499845996e-02
1.141999999999999993e+01,3.455614576839617369e-01
1.143999999999999950e+01,3.025177861965315795e-01
1.146000000000000085e+01,2.889210315011611074e-01
1.148000000000000043e+01,3.773563925870445646e-01
1.150000000000000000e+01,3.444347772875703262e-01
1.151999999999999957e+01,1.909262085826345379e-01
1.153999999999999915e+01,4.312657579256665152e-02
1.156000000000000050e+01,1.871943500842493946e-01
1.158000000000000007e+01,1.466865473202565995e-01
1.159999999999999964e+01,1.899732498146902981e-01
1.162000000000000099e+01,1.042660488170279592e-01
1.164000000000000057e+01,1.924917146720502570e-01
1.166000000000000014e+01,1.066193442216573500e-01
1.167999999999999972e+01,9.564661609715320589e-02
1.169999999999999929e+01,7.739412418092442292e-02
1.172000000000000064e+01,2.161575331175153991e-01
1.174000000000000021e+01,1.471897197932636181e-01
1.175999999999999979e+01,1.143659158534728326e-01
1.177999999999999936e+01,4.432547520284277898e-01
1.180000000000000071e+01,2.302834430270280786e-01
1.182000000000000028e+01,6.155256785693605237e-02
1.183999999999999986e+01,7.179934394449914714e-02
1.185999999999999943e+01,1.154615897503350336e-01
1.188000000000000078e+01,2.701631993834702761e-01
1.190000000000000036e+01,1.050053040754627548e-01
1.191999999999999993e+01,1.750047123150223760e-01
1.193999999999999950e+01,3.898385728666287076e-01
1.196000000000000085e+01,4.055465793666000046e-02
1.198000000000000043e+01,8.209312363509797816e-02
1.200000000000000000e+01,1.606890140330913264e-01
1.201999999999999957e+01,8.669589310817500671e-02
1.203999999999999915e+01,1.624760157040690267e-01
1.206000000000000050e+01,3.742898391373292166e-01
1.208000000000000007e+01,3.424140653242395693e-01
1.209999999999999964e+01,3.013794024978896924e-01
1.212000000000000099e+01,1.233679694718045339e-01
1.214000000000000057e+01,2.746127705606073999e-01
1.216000000000000014e+01,2.065519114620954777e-01
1.217999999999999972e+01,4.051733079790871273e-01
1.219999999999999929e+01,2.931581287860811624e-01
1.222000000000000064e+01,1.364606696111621831e-01
1.224000000000000021e+01,2.127176589584957311e-01
1.225999999999999979e+01,2.650075617914363080e-01
1.228000000000000114e+01,3.153432465480648372e-01
1.230000000000000071e+01,1.531284033813610501e-01
1.232000000000000028e+01,1.799444719576504814e-01
1.233999999999999986e+01,3.209410719664494427e-01
1.235999999999999943e+01,5.182865813478146899e-01
1.237999999999999901e+01,2.352615872125101981e-01
1.240000000000000036e+01,1.598183693371717784e-01
1.241999999999999993e+01,1.344858984263184731e-01
1.243999999999999950e+01,1.638445613437456982e-01
1.246000000000000085e+01,3.301707532942640411e-01
1.248000000000000043e+01,3.384641015612764314e-01
1.250000000000000000e+01,2.160807327451660653e-01
1.251999999999999957e+01,2.671716773110783261e-01
1.253999999999999915e+01,4.586878679227577860e-01
1.256000000000000050e+01,4.661325301652123332e-01
1.258000000000000007e+01,3.398774023114212173e-01
1.259999999999999964e+01,3.468706531702147045e-01
1.262000000000000099e+01,6.055718642832353948e-01
1.264000000000000057e+01,6.888416424261807336e-01
1.266000000000000014e+01,8.108546613875609044e-01
1.267999999999999972e+01,8.155415773272760571e-01
1.269999999999999929e+01,1.530336373377561898e+00
1.272000000000000064e+01,2.304366790292550426e+00
1.274000000000000021e+01,5.299943063912747832e+00
1.275999999999999979e+01,1.823950089375480488e+01
1.278000000000000114e+01,4.194077628883668751e+01
1.280000000000000071e+01,5.455963198018445581e+01
1.282000000000000028e+01,3.933845728014311049e+01
1.283999999999999986e+01,1.485876508115901196e+01
1.285999999999999943e+01,4.607935890504043286e+00
1.287999999999999901e+01,1.597208527649619070e+00
1.290000000000000036e+01,1.268259966901058577e+00
1.291999999999999993e+01,8.638229031676467606e-01
1.293999999999999950e+01,5.970320823431490842e-01
1.296000000000000085e+01,7.896790995541013158e-01
1.298000000000000043e+01,3.934652638818644799e-01
1.300000000000000000e+01,3.798207123713859823e-01
1.301999999999999957e+01,5.458514956000759533e-01
1.303999999999999915e+01,4.096429871249618881e-01
1.306000000000000050e+01,1.764385492667988331e-01
1.308000000000000007e+01,1.177555191242563304e-01
1.309999999999999964e+01,4.789465502220598969e-01
1.312000000000000099e+01,3.416753827543896338e-01
1.314000000000000057e+01,1.718351143093121702e-01
1.316000000000000014e+01,4.184428311003029477e-01
1.317999999999999972e+01,1.856890199210828596e-01
1.319999999999999929e+01,7.754443208892317085e-02
1.322000000000000064e+01,2.576134914455016078e-01
1.324000000000000021e+01,2.246131262564408648e-01
1.325999999999999979e+01,2.165397104961316044e-01
1.328000000000000114e+01,2.495080072425313045e-01
1.330000000000000071e+01,3.873618433961462659e-01
1.332000000000000028e+01,5.277284924783597342e-01
1.333999999999999986e+01,1.146764857653246317e-01
1.335999999999999943e+01,1.756414424631295712e-01
1.337999999999999901e+01,4.151323545354407979e-02
1.340000000000000036e+01,2.167533014178961992e-01
1.341999999999999993e+01,2.149190181241668329e-01
1.343999999999999950e+01,3.422588988384837605e-01
