# 2Theta,Intensity
1.000000000000000000e+01,3.803462392438453771e-02
1.001999999999999957e+01,-1.547339736403683386e-01
1.003999999999999915e+01,2.474641787608941601e-01
1.006000000000000050e+01,3.071659733563541356e-02
1.008000000000000007e+01,-1.519016247712780265e-01
1.009999999999999964e+01,7.875525596690319263e-02
1.011999999999999922e+01,-1.513164487121844148e-01
1.014000000000000057e+01,7.597648151637260983e-02
1.016000000000000014e+01,7.694642109763466520e-02
1.017999999999999972e+01,3.857506387008246412e-02
1.019999999999999929e+01,1.101261836653040782e-01
1.022000000000000064e+01,1.636133049798020600e-01
1.024000000000000021e+01,-1.339019405039526024e-02
1.025999999999999979e+01,-7.425382274089934245e-03
1.027999999999999936e+01,7.743670820824020973e-02
1.030000000000000071e+01,1.541378749124706349e-01
1.032000000000000028e+01,1.231318177921822965e-01
1.033999999999999986e+01,6.221490522400557367e-03
1.035999999999999943e+01,1.613786629242346393e-01
1.038000000000000078e+01,4.891670060849424156e-02
1.040000000000000036e+01,3.699144840922104910e-02
1.041999999999999993e+01,9.628354963393338795e-02
1.043999999999999950e+01,-2.661953007318857908e-02
1.046000000000000085e+01,1.706397686249154222e-01
1.048000000000000043e+01,1.941507179337954858e-01
1.050000000000000000e+01,2.161169931015473333e-02
1.051999999999999957e+01,2.480701615407615024e-01
1.053999999999999915e+01,2.406441354349840231e-02
1.056000000000000050e+01,3.984431818905923017e-01
1.058000000000000007e+01,7.360021427944118955e-02
1.059999999999999964e+01,1.264611107691795966e-01
1.061999999999999922e+01,-9.050353087333633251e-02
1.064000000000000057e+01,3.007730651812856593e-01
1.066000000000000014e+01,-1.108001233583619793e-01
1.067999999999999972e+01,-1.198956533923747347e-01
1.069999999999999929e+01,1.931488224278557833e-02
1.072000000000000064e+01,1.487573836308677955e-01
1.074000000000000021e+01,-1.604639605275259007e-01
1.075999999999999979e+01,1.350295950120994071e-01
1.077999999999999936e+01,2.125812618871700255e-01
1.080000000000000071e+01,1.739456536710544954e-01
1.082000000000000028e+01,-2.328321512563179957e-02
1.083999999999999986e+01,1.907762569655163942e-01
1.085999999999999943e+01,6.741326469716703296e-02
1.088000000000000078e+01,6.908651336409575572e-02
1.090000000000000036e+01,9.987147116640218703e-02
1.091999999999999993e+01,3.832469442223155331e-01
1.093999999999999950e+01,1.514459439908627802e-01
1.096000000000000085e+01,7.334845532679373781e-02
1.098000000000000043e+01,3.784976828211045197e-02
1.100000000000000000e+01,2.310283500729703454e-01
1.101999999999999957e+01,-4.238902754649034876e-02
1.103999999999999915e+01,-1.252232223790866461e-01
1.106000000000000050e+01,2.940423251550736694e-01
1.108000000000000007e+01,1.878011284407148929e-01
1.109999999999999964e+01,1.333253484631020391e-01
1.112000000000000099e+01,1.477181152853381529e-01
1.114000000000000057e+01,8.282733848782121433e-02
1.116000000000000014e+01,2.788011183521919845e-02
1.117999999999999972e+01,1.877030275854676966e-01
1.119999999999999929e+01,1.447570223805398799e-02
1.122000000000000064e+01,9.772504778189426700e-02
1.124000000000000021e+01,-3.134304660919511043e-02
1.125999999999999979e+01,9.874030504071720782e-02
1.127999999999999936e+01,2.881073836528620299e-02
1.130000000000000071e+01,3.449435206810722021e-01
1.132000000000000028e+01,1.732789371714620330e-01
1.133999999999999986e+01,8.803213762740413895e-02
1.135999999999999943e+01,7.505998612942589576e-02
1.138000000000000078e+01,1.842664191587184766e-02
1.140000000000000036e+01,3.942608699567142633e-02
1.141999999999999993e+01,1.634929201940686083e-01
1.143999999999999950e+01,3.130977729272306220e-01
1.146000000000000085e+01,1.647688884842452295e-01
1.148000000000000043e+01,2.176775374867608581e-01
1.150000000000000000e+01,1.861292677632852277e-01
1.151999999999999957e+01,-1.324250324136155010e-01
1.153999999999999915e+01,3.084182930563416081e-01
1.156000000000000050e+01,-6.659718138089464057e-02
1.158000000000000007e+01,-1.991272027078550694e-02
1.159999999999999964e+01,1.107481617985152239e-01
1.162000000000000099e+01,2.063061510027872081e-01
1.164000000000000057e+01,2.534555766050333170e-01
1.166000000000000014e+01,6.897434377877227629e-02
1.167999999999999972e+01,1.066052963471088161e-01
1.169999999999999929e+01,1.220781205747738657e-01
1.172000000000000064e+01,3.227171866299836100e-01
1.174000000000000021e+01,1.139613805222438186e-01
1.175999999999999979e+01,3.110834710519327223e-02
1.177999999999999936e+01,1.196745986464966272e-01
1.180000000000000071e+01,2.516353752837011126e-01
1.182000000000000028e+01,1.690869817641338368e-01
1.183999999999999986e+01,4.211933155394120831e-02
1.185999999999999943e+01,2.315554162804524807e-01
1.188000000000000078e+01,1.551999266780429432e-01
1.190000000000000036e+01,6.071574646961616639e-02
1.191999999999999993e+01,-4.145014670820529150e-03
1.193999999999999950e+01,1.405364457618183127e-01
1.196000000000000085e+01,-7.835300300083646030e-02
1.198000000000000043e+01,1.460336490647946017e-01
1.200000000000000000e+01,1.702244900052469201e-01
1.201999999999999957e+01,1.097171373929765048e-01
1.203999999999999915e+01,7.718158991490244036e-02
1.206000000000000050e+01,-5.724048064058782914e-02
1.208000000000000007e+01,1.344485171693951542e-01
1.209999999999999964e+01,1.171394728485621040e-01
1.212000000000000099e+01,4.806630257055110461e-02
1.214000000000000057e+01,2.166669429075180342e-01
1.216000000000000014e+01,1.371045109249853233e-01
1.217999999999999972e+01,-1.282399321328556996e-01
1.219999999999999929e+01,1.239550543795184256e-01
1.222000000000000064e+01,2.832610827116821550e-01
1.224000000000000021e+01,-1.303709511687997091e-01
1.225999999999999979e+01,1.199361934361580923e-01
1.228000000000000114e+01,1.123806523657539802e-01
1.230000000000000071e+01,3.072343128487622921e-01
1.232000000000000028e+01,3.513884705178911272e-01
1.233999999999999986e+01,8.041468149365715856e-02
1.235999999999999943e+01,8.754069735598804525e-02
1.237999999999999901e+01,2.179611667647837203e-01
1.240000000000000036e+01,1.660958856522740390e-01
1.241999999999999993e+01,9.112444031798654781e-03
1.243999999999999950e+01,8.226768586700670960e-02
1.246000000000000085e+01,1.969468699829531877e-01
1.248000000000000043e+01,1.980775225654303195e-01
1.250000000000000000e+01,1.106476194240748612e-01
1.251999999999999957e+01,1.296955311503504571e-01
1.253999999999999915e+01,3.627125066427666633e-02
1.256000000000000050e+01,1.041449610964214345e-01
1.258000000000000007e+01,9.433585242995180808e-02
1.259999999999999964e+01,1.136510576489274393e-01
1.262000000000000099e+01,3.058297215910704692e-01
1.264000000000000057e+01,7.907825290938402807e-02
1.266000000000000014e+01,3.848391142058096848e-01
1.267999999999999972e+01,1.714731856417668707e-03
1.269999999999999929e+01,1.465388805969671249e-01
1.272000000000000064e+01,3.263969821661317217e-01
1.274000000000000021e+01,1.364711897701473831e-01
1.275999999999999979e+01,2.126813327385007057e-01
1.278000000000000114e+01,1.396596233403316067e-01
1.280000000000000071e+01,2.291909690864369631e-01
1.282000000000000028e+01,-8.341553350999056024e-03
1.283999999999999986e+01,2.669196008647513052e-01
1.285999999999999943e+01,1.892937592249900602e-01
1.287999999999999901e+01,4.342194654989224856e-01
1.290000000000000036e+01,2.890677934245731717e-01
1.291999999999999993e+01,7.911087361542415430e-02
1.293999999999999950e+01,2.112035839090158351e-01
1.296000000000000085e+01,4.068087442553411370e-01
1.298000000000000043e+01,-5.706384033147593460e-02
1.300000000000000000e+01,5.000532276101042894e-01
1.301999999999999957e+01,2.884183652790529018e-01
1.303999999999999915e+01,3.823295779227104951e-01
1.306000000000000050e+01,3.275177262151905966e-01
1.308000000000000007e+01,5.643954138299696055e-01
1.309999999999999964e+01,3.774741216262734733e-01
1.312000000000000099e+01,4.399912969372685168e-01
1.314000000000000057e+01,7.591512904987438581e-01
1.316000000000000014e+01,1.065070040064126200e+00
1.317999999999999972e+01,1.540829536330354355e+00
1.319999999999999929e+01,2.154074918209649692e+00
1.322000000000000064e+01,2.616972811208096772e+00
1.324000000000000021e+01,6.541051089447483591e+00
