# 2Theta,Intensity
1.000000000000000000e+01,1.650654666916006874e-01
1.001999999999999957e+01,1.932460502091455368e-01
1.003999999999999915e+01,-7.145072759230388336e-04
1.006000000000000050e+01,2.740636546185338807e-01
1.008000000000000007e+01,3.609848605995062409e-01
1.009999999999999964e+01,2.441642415593854032e-01
1.011999999999999922e+01,3.117249537202512188e-01
1.014000000000000057e+01,2.190765573532404697e-01
1.016000000000000014e+01,3.665235116265865289e-01
1.017999999999999972e+01,4.395356063439876948e-01
1.019999999999999929e+01,2.404772575936284240e-01
1.022000000000000064e+01,-4.009488121822332024e-02
1.024000000000000021e+01,1.696901169865593917e-01
1.025999999999999979e+01,1.074449233114054408e-01
1.027999999999999936e+01,2.181655160713902586e-01
1.030000000000000071e+01,2.507912554796042914e-01
1.032000000000000028e+01,2.387678321960189365e-01
1.033999999999999986e+01,2.092061969641300645e-01
1.035999999999999943e+01,7.811140096878177452e-02
1.038000000000000078e+01,1.828546193602960113e-01
1.040000000000000036e+01,1.490961574514915178e-01
1.041999999999999993e+01,1.644342496393184916e-01
1.043999999999999950e+01,1.494919728418857008e-01
1.046000000000000085e+01,1.759426889260183591e-01
1.048000000000000043e+01,4.404108612921586174e-01
1.050000000000000000e+01,3.818962776363086231e-01
1.051999999999999957e+01,1.236989648091586930e-01
1.053999999999999915e+01,3.138945829780713237e-01
1.056000000000000050e+01,1.206401656174617004e-01
1.058000000000000007e+01,7.158293196678257309e-02
1.059999999999999964e+01,3.285326609545081156e-01
1.061999999999999922e+01,1.812421787226990988e-01
1.064000000000000057e+01,1.684981193722709936e-01
1.066000000000000014e+01,3.855782194867152790e-01
1.067999999999999972e+01,4.384202320919541873e-01
1.069999999999999929e+01,3.524022646088705857e-01
1.072000000000000064e+01,9.977702868871579645e-02
1.074000000000000021e+01,1.504843569933720093e-01
1.075999999999999979e+01,2.843765551337420483e-01
1.077999999999999936e+01,3.809609138978938825e-01
1.080000000000000071e+01,2.433925802275099248e-01
1.082000000000000028e+01,5.097783369748445370e-01
1.083999999999999986e+01,2.732802104360020912e-01
1.085999999999999943e+01,2.128875159927477168e-01
1.088000000000000078e+01,2.695041913731401340e-01
1.090000000000000036e+01,2.073485095513675769e-01
1.091999999999999993e+01,1.431377590731453819e-01
1.093999999999999950e+01,2.563213476977275196e-01
1.096000000000000085e+01,1.743954805019250209e-02
1.098000000000000043e+01,2.517715917850906759e-01
1.100000000000000000e+01,2.275259606892275910e-01
1.101999999999999957e+01,3.172851028106394855e-01
1.103999999999999915e+01,1.234633841688727585e-01
1.106000000000000050e+01,3.136955781267665166e-01
1.108000000000000007e+01,3.041690242402312894e-01
1.109999999999999964e+01,9.466485482572555010e-02
1.112000000000000099e+01,2.412206817008957505e-01
1.114000000000000057e+01,1.819572627692351285e-01
1.116000000000000014e+01,1.151708814006983939e-02
1.117999999999999972e+01,1.655172143666487627e-01
1.119999999999999929e+01,1.956959789932156968e-01
1.122000000000000064e+01,1.330399491675357260e-01
1.124000000000000021e+01,2.089531302704028815e-01
1.125999999999999979e+01,2.977612598304397173e-01
1.127999999999999936e+01,1.516462277462883035e-01
1.130000000000000071e+01,5.862554974459926321e-02
1.132000000000000028e+01,1.589385274935659620e-01
1.133999999999999986e+01,1.897423616104860489e-01
1.135999999999999943e+01,6.510681325880336712e-02
1.138000000000000078e+01,4.219434362081328493e-01
1.140000000000000036e+01,3.171454186811317744e-01
1.141999999999999993e+01,9.657683908029744690e-02
1.143999999999999950e+01,2.720254855664399618e-01
1.146000000000000085e+01,4.117902161946381256e-01
1.148000000000000043e+01,2.565976611808920560e-01
1.150000000000000000e+01,2.921661495889812388e-01
1.151999999999999957e+01,1.275622264093579927e-01
1.153999999999999915e+01,2.834602089740589914e-01
1.156000000000000050e+01,4.704240926345910623e-01
1.158000000000000007e+01,1.817230394013099881e-01
1.159999999999999964e+01,-1.896733362510024529e-02
1.162000000000000099e+01,4.838638076256189247e-01
1.164000000000000057e+01,1.742417338496824730e-01
1.166000000000000014e+01,1.214151956495255896e-01
1.167999999999999972e+01,2.167405124515103254e-01
1.169999999999999929e+01,2.637050925912650112e-01
1.172000000000000064e+01,1.539834252996894470e-01
1.174000000000000021e+01,5.290553832601929685e-02
1.175999999999999979e+01,3.752676457679923749e-01
1.177999999999999936e+01,-6.303606208948241141e-02
1.180000000000000071e+01,2.961431572331010287e-01
1.182000000000000028e+01,2.144931211679329541e-01
1.183999999999999986e+01,1.703552581417794032e-01
1.185999999999999943e+01,1.673622600083224665e-01
1.188000000000000078e+01,4.547854344618577072e-01
1.190000000000000036e+01,1.517514622464646579e-01
1.191999999999999993e+01,9.101479622170054185e-02
1.193999999999999950e+01,3.305285065891812035e-01
1.196000000000000085e+01,2.248352212624082636e-01
1.198000000000000043e+01,2.879994877348447391e-01
1.200000000000000000e+01,2.278487963667454042e-01
1.201999999999999957e+01,2.167890914211053344e-01
1.203999999999999915e+01,4.488741345674303607e-01
1.206000000000000050e+01,1.916657521526077268e-01
1.208000000000000007e+01,1.450164729323233648e-01
1.209999999999999964e+01,3.608148068430905298e-01
1.212000000000000099e+01,2.165593836598173616e-01
1.214000000000000057e+01,2.010918935371259486e-01
1.216000000000000014e+01,4.099850752225402128e-02
1.217999999999999972e+01,2.705164114111891505e-01
1.219999999999999929e+01,1.472214411637894765e-02
1.222000000000000064e+01,2.041350021176200347e-01
1.224000000000000021e+01,1.711406795691598759e-01
1.225999999999999979e+01,1.601029434202703994e-02
1.228000000000000114e+01,2.639724042788424985e-01
1.230000000000000071e+01,2.358216494640904826e-01
1.232000000000000028e+01,1.726222877161070757e-01
1.233999999999999986e+01,3.747507445262582837e-01
1.235999999999999943e+01,1.722447229248225964e-01
1.237999999999999901e+01,3.009078999340764060e-01
1.240000000000000036e+01,1.502771276152431446e-02
1.241999999999999993e+01,1.071705912831660418e-01
1.243999999999999950e+01,1.227090082055701387e-01
1.246000000000000085e+01,1.762529232885093333e-01
1.248000000000000043e+01,2.116130179803877021e-01
1.250000000000000000e+01,1.700883648047990526e-01
1.251999999999999957e+01,1.233839151378332694e-01
1.253999999999999915e+01,2.258723816670812068e-01
1.256000000000000050e+01,7.145877947149903431e-02
1.258000000000000007e+01,3.158911652999858433e-01
1.259999999999999964e+01,3.739876876569175335e-01
1.262000000000000099e+01,3.576065097982191188e-01
1.264000000000000057e+01,2.882138249700004137e-02
1.266000000000000014e+01,4.432621166155818471e-01
1.267999999999999972e+01,1.644914148495313921e-01
1.269999999999999929e+01,2.362005911187469998e-01
1.272000000000000064e+01,1.521327900636144370e-01
1.274000000000000021e+01,9.658307834699736416e-02
1.275999999999999979e+01,1.049876827904315107e-01
1.278000000000000114e+01,-2.093354358092504655e-02
1.280000000000000071e+01,2.108626697869017130e-01
