# 2Theta,Intensity
1.000000000000000000e+01,-1.912707429647710067e-01
1.001999999999999957e+01,2.644014744931545979e-01
1.003999999999999915e+01,-2.335600881563233977e-01
1.006000000000000050e+01,1.087006360993572618e-02
1.008000000000000007e+01,1.025927737497827896e-01
1.009999999999999964e+01,7.454149523995480531e-02
1.011999999999999922e+01,-8.331803853486719272e-03
1.014000000000000057e+01,1.164327077039220837e-01
1.016000000000000014e+01,9.235336379945792429e-02
1.017999999999999972e+01,-4.207535652349409655e-02
1.019999999999999929e+01,7.209366060436070422e-02
1.022000000000000064e+01,2.414106408599187847e-01
1.024000000000000021e+01,8.068666208781634375e-02
1.025999999999999979e+01,-3.776062719214351437e-02
1.027999999999999936e+01,-1.906767759056832504e-02
1.030000000000000071e+01,1.086885263012957181e-01
1.032000000000000028e+01,7.353983840953259854e-02
1.033999999999999986e+01,1.368573050780994282e-01
1.035999999999999943e+01,-9.324867419686894143e-02
1.038000000000000078e+01,-6.070607032146377313e-02
1.040000000000000036e+01,6.718380695546796733e-02
1.041999999999999993e+01,1.778478084647511573e-02
1.043999999999999950e+01,-4.247280245437166923e-02
1.046000000000000085e+01,-1.228219444998470827e-01
1.048000000000000043e+01,-1.557089221746146002e-01
1.050000000000000000e+01,-1.265546074155482828e-02
1.051999999999999957e+01,1.005897161864148792e-01
1.053999999999999915e+01,4.354530205874065224e-02
1.056000000000000050e+01,-4.642004831266911130e-02
1.058000000000000007e+01,1.283840224044144607e-01
1.059999999999999964e+01,7.495049869184677513e-03
1.061999999999999922e+01,2.488833499946815908e-02
1.064000000000000057e+01,9.004969386333307180e-02
1.066000000000000014e+01,-3.659734985999794910e-02
1.067999999999999972e+01,1.299955033592268550e-01
1.069999999999999929e+01,2.183850560049142298e-01
1.072000000000000064e+01,-1.187905772789450837e-01
1.074000000000000021e+01,3.962312850222556720e-02
1.075999999999999979e+01,1.995044362167787688e-01
1.077999999999999936e+01,3.119018429928889224e-01
1.080000000000000071e+01,3.414171290753624521e-02
1.082000000000000028e+01,1.966228622843635143e-01
1.083999999999999986e+01,6.643421775824831510e-02
1.085999999999999943e+01,1.692978825605827575e-01
1.088000000000000078e+01,1.317600504940571737e-01
1.090000000000000036e+01,3.268620798153453605e-02
1.091999999999999993e+01,1.235825908293223564e-02
1.093999999999999950e+01,1.854308493453665774e-01
1.096000000000000085e+01,2.299648660582170323e-01
1.098000000000000043e+01,2.124271747496641050e-01
1.100000000000000000e+01,-4.214706613954857795e-02
1.101999999999999957e+01,-9.450071206929454293e-02
1.103999999999999915e+01,8.809576940339046425e-02
1.106000000000000050e+01,4.164220719438935236e-02
1.108000000000000007e+01,2.868012813869596361e-02
1.109999999999999964e+01,1.164915521380128216e-01
1.112000000000000099e+01,-5.004706768513638576e-02
1.114000000000000057e+01,8.257263637525759370e-02
1.116000000000000014e+01,4.382791042846782836e-02
1.117999999999999972e+01,-8.165941753089575594e-02
1.119999999999999929e+01,2.034731989083175818e-02
1.122000000000000064e+01,-1.609934555067973339e-01
1.124000000000000021e+01,-1.959336607143853659e-01
1.125999999999999979e+01,5.325576003505183564e-02
1.127999999999999936e+01,4.268674581485104071e-03
1.130000000000000071e+01,1.089976664012164143e-01
1.132000000000000028e+01,9.313082786450506412e-02
1.133999999999999986e+01,5.390973866956375038e-02
1.135999999999999943e+01,-1.395009547560220609e-01
1.138000000000000078e+01,9.263923505402478845e-03
1.140000000000000036e+01,1.264943439404621617e-01
1.141999999999999993e+01,1.495245431343724674e-01
1.143999999999999950e+01,-2.183172875990066139e-02
1.146000000000000085e+01,4.379545922257813140e-02
1.148000000000000043e+01,2.004465442073989911e-01
1.150000000000000000e+01,1.506643292860229688e-01
1.151999999999999957e+01,1.525209737304750734e-01
1.153999999999999915e+01,-7.276881782052047054e-02
1.156000000000000050e+01,1.021745977616298345e-01
1.158000000000000007e+01,2.382453379276782690e-01
1.159999999999999964e+01,6.106589817680863758e-02
1.162000000000000099e+01,1.598444816632005605e-01
1.164000000000000057e+01,8.365002488263049985e-02
1.166000000000000014e+01,-1.545017899496183011e-01
1.167999999999999972e+01,-6.385692130643343123e-02
1.169999999999999929e+01,1.693760810410830653e-01
1.172000000000000064e+01,-3.907847095812377186e-02
1.174000000000000021e+01,1.092049915424710554e-01
1.175999999999999979e+01,2.188756259418682681e-01
1.177999999999999936e+01,-1.494445846153645563e-01
1.180000000000000071e+01,2.604508344036940981e-01
1.182000000000000028e+01,7.681419528729002688e-02
1.183999999999999986e+01,1.281447799448422742e-01
1.185999999999999943e+01,2.500655680925716329e-01
1.188000000000000078e+01,3.629132431760857119e-02
1.190000000000000036e+01,1.362542475775377349e-01
1.191999999999999993e+01,6.998841225797342025e-02
1.193999999999999950e+01,8.891220680939916632e-02
1.196000000000000085e+01,1.550665475589206310e-01
1.198000000000000043e+01,5.370097801886528077e-02
1.200000000000000000e+01,1.188180149707563915e-01
1.201999999999999957e+01,6.806656555986093093e-02
1.203999999999999915e+01,9.232238423390817794e-02
1.206000000000000050e+01,2.110644131263253453e-01
1.208000000000000007e+01,-7.581012510673688920e-02
1.209999999999999964e+01,1.754681126336505859e-01
1.212000000000000099e+01,1.943524632264091168e-01
1.214000000000000057e+01,-4.169031918075272874e-02
1.216000000000000014e+01,6.853482528237006544e-02
1.217999999999999972e+01,2.815474833560880907e-01
1.219999999999999929e+01,5.107489190482832064e-02
1.222000000000000064e+01,-1.232093359595426846e-01
1.224000000000000021e+01,-1.410022053458128699e-01
1.225999999999999979e+01,-4.607256924766613831e-02
1.228000000000000114e+01,-3.628358479353746557e-02
1.230000000000000071e+01,1.183626188698636283e-01
1.232000000000000028e+01,-1.344843451262936473e-01
1.233999999999999986e+01,1.338725414982206985e-01
1.235999999999999943e+01,1.317795408553892600e-01
1.237999999999999901e+01,2.611914585491020846e-01
1.240000000000000036e+01,5.558063674937870763e-02
1.241999999999999993e+01,1.955425144161800424e-02
1.243999999999999950e+01,1.352939475186150098e-01
1.246000000000000085e+01,1.374420276107501393e-01
1.248000000000000043e+01,2.708152341374979177e-01
1.250000000000000000e+01,2.254379010251459370e-01
1.251999999999999957e+01,9.949864959080924331e-02
1.253999999999999915e+01,1.367341209950097558e-01
1.256000000000000050e+01,1.532049140263034848e-01
1.258000000000000007e+01,3.962874802223074339e-03
1.259999999999999964e+01,1.311228417487345643e-01
1.262000000000000099e+01,4.594371067533962322e-02
1.264000000000000057e+01,-5.598645347236714392e-02
1.266000000000000014e+01,2.011724419218126336e-01
1.267999999999999972e+01,9.097425644775614106e-02
1.269999999999999929e+01,2.376585909002120744e-01
1.272000000000000064e+01,1.516398858300581631e-01
1.274000000000000021e+01,2.405410472363935792e-01
1.275999999999999979e+01,3.784731863361321391e-01
1.278000000000000114e+01,5.572627086377578420e-01
1.280000000000000071e+01,1.226034239971155460e+00
1.282000000000000028e+01,2.988530346780202684e+00
1.283999999999999986e+01,8.629467923239788618e+00
1.285999999999999943e+01,1.436681650094067919e+01
1.287999999999999901e+01,1.211596025251410147e+01
1.290000000000000036e+01,6.014917561436570637e+00
1.291999999999999993e+01,2.147782095118997425e+00
