# 2Theta,Intensity
1.000000000000000000e+01,8.138432438945161773e-02
1.001999999999999957e+01,2.655552677292711064e-02
1.003999999999999915e+01,8.095853649372708460e-02
1.006000000000000050e+01,2.651558391550723481e-01
1.008000000000000007e+01,7.133821829894720912e-02
1.009999999999999964e+01,-4.197649827148674379e-02
1.011999999999999922e+01,1.495518075780846376e-02
1.014000000000000057e+01,-1.227170194116551649e-01
1.016000000000000014e+01,2.020435538583403579e-01
1.017999999999999972e+01,-6.959027516189619789e-02
1.019999999999999929e+01,1.291249170961735471e-01
1.022000000000000064e+01,1.130125872800452902e-01
1.024000000000000021e+01,-1.150923106431989557e-01
1.025999999999999979e+01,8.706770268925313749e-02
1.027999999999999936e+01,9.887470985184092231e-02
1.030000000000000071e+01,1.374029176087644410e-01
1.032000000000000028e+01,1.707144366001093760e-01
1.033999999999999986e+01,1.268427091685646602e-01
1.035999999999999943e+01,1.207711106986959493e-01
1.038000000000000078e+01,-9.037566028846766297e-02
1.040000000000000036e+01,-7.910990334429361670e-02
1.041999999999999993e+01,1.108250886110908745e-01
1.043999999999999950e+01,2.529041730584725700e-01
1.046000000000000085e+01,4.946300187374493007e-02
1.048000000000000043e+01,7.140196525592494570e-02
1.050000000000000000e+01,-7.491883446763462906e-02
1.051999999999999957e+01,1.296227576095615973e-02
1.053999999999999915e+01,-3.404449171824668746e-02
1.056000000000000050e+01,1.472341625180047520e-01
1.058000000000000007e+01,-4.133225791144387595e-02
1.059999999999999964e+01,1.155681796344173590e-01
1.061999999999999922e+01,3.125868325486855920e-02
1.064000000000000057e+01,1.749028848513609624e-01
1.066000000000000014e+01,9.431061216686659199e-02
1.067999999999999972e+01,-7.639826759018328306e-02
1.069999999999999929e+01,2.296846917990395531e-01
1.072000000000000064e+01,2.200344986213552678e-01
1.074000000000000021e+01,2.744073613694425658e-03
1.075999999999999979e+01,3.162840348662044471e-02
1.077999999999999936e+01,1.643111573692386529e-01
1.080000000000000071e+01,9.729411371314127324e-03
1.082000000000000028e+01,3.093233682679628616e-01
1.083999999999999986e+01,6.686993815380612438e-02
1.085999999999999943e+01,1.932544399493917042e-01
1.088000000000000078e+01,-7.823025908340411338e-02
1.090000000000000036e+01,-8.265994680725537169e-02
1.091999999999999993e+01,2.081735393805020026e-02
1.093999999999999950e+01,1.714500637521167992e-01
1.096000000000000085e+01,5.582851337366982747e-02
1.098000000000000043e+01,2.809255795680812642e-02
1.100000000000000000e+01,3.158351272482209926e-01
1.101999999999999957e+01,1.005067681353133680e-01
1.103999999999999915e+01,2.248682404271238888e-01
1.106000000000000050e+01,1.108024570155977523e-01
1.108000000000000007e+01,4.405165418668250954e-01
1.109999999999999964e+01,5.205648940170547467e-01
1.112000000000000099e+01,1.509010654934028972e+00
1.114000000000000057e+01,6.044235495220095622e+00
1.116000000000000014e+01,1.105338210244458175e+01
1.117999999999999972e+01,1.189816880231363250e+01
1.119999999999999929e+01,6.696268442103711749e+00
1.122000000000000064e+01,2.166737300707500591e+00
1.124000000000000021e+01,8.408335712165109221e-01
1.125999999999999979e+01,4.517266912484439456e-01
1.127999999999999936e+01,3.122303631726324191e-01
1.130000000000000071e+01,1.294466282508907780e-02
1.132000000000000028e+01,9.548830039683794957e-02
1.133999999999999986e+01,1.145266945967669259e-01
1.135999999999999943e+01,1.569289076262227189e-01
1.138000000000000078e+01,8.221937412934224310e-02
1.140000000000000036e+01,1.325311163504805934e-01
1.141999999999999993e+01,3.689719211677949112e-02
1.143999999999999950e+01,4.917892786743675165e-02
1.146000000000000085e+01,1.406265774763096887e-01
1.148000000000000043e+01,1.073628841009155038e-01
1.150000000000000000e+01,2.295429289334689205e-01
1.151999999999999957e+01,1.749401813241501236e-01
1.153999999999999915e+01,-6.977570497986987363e-02
1.156000000000000050e+01,1.487241537210282905e-01
1.158000000000000007e+01,-8.138703998059802769e-02
1.159999999999999964e+01,7.991751662758653230e-02
1.162000000000000099e+01,-1.080392737173268766e-02
1.164000000000000057e+01,3.285252261241317778e-02
1.166000000000000014e+01,6.462532733265308194e-02
1.167999999999999972e+01,8.855625405720303489e-02
1.169999999999999929e+01,1.419243464844647251e-01
1.172000000000000064e+01,1.320164927993796866e-01
1.174000000000000021e+01,1.196989348362631211e-01
1.175999999999999979e+01,4.552026986927312779e-02
1.177999999999999936e+01,8.041945546322304406e-02
1.180000000000000071e+01,7.051630504775517616e-02
1.182000000000000028e+01,-8.731140715236174188e-02
1.183999999999999986e+01,1.177682066595369809e-01
1.185999999999999943e+01,2.303740717666822591e-01
1.188000000000000078e+01,-1.948500344423838120e-03
1.190000000000000036e+01,2.286863662092773752e-02
1.191999999999999993e+01,4.157401930727236405e-02
1.193999999999999950e+01,9.557272013488941897e-02
1.196000000000000085e+01,-4.518659844236525697e-02
1.198000000000000043e+01,2.994975973148071846e-01
1.200000000000000000e+01,-9.625116648983947712e-03
1.201999999999999957e+01,-5.344947065602750902e-02
1.203999999999999915e+01,1.235919342873033622e-01
1.206000000000000050e+01,1.227942594837662035e-02
1.208000000000000007e+01,9.329377965078378132e-02
1.209999999999999964e+01,1.073413193972592994e-01
1.212000000000000099e+01,1.268967607856626989e-01
1.214000000000000057e+01,5.403272471581790741e-03
1.216000000000000014e+01,-2.090397086332932419e-01
1.217999999999999972e+01,1.121447659978266342e-01
1.219999999999999929e+01,2.274322979241907156e-02
1.222000000000000064e+01,1.391976609682515909e-01
1.224000000000000021e+01,-1.025028235424953471e-01
1.225999999999999979e+01,1.857868268816006418e-01
1.228000000000000114e+01,-4.351968514688678291e-02
1.230000000000000071e+01,4.682007625321894101e-02
1.232000000000000028e+01,-8.668516043211917099e-02
1.233999999999999986e+01,1.476461842303627980e-01
1.235999999999999943e+01,1.321738934498206675e-01
1.237999999999999901e+01,8.533804031680311541e-02
1.240000000000000036e+01,-1.665467572908363881e-03
1.241999999999999993e+01,-3.988457058998123167e-02
1.243999999999999950e+01,1.796251687112400408e-01
1.246000000000000085e+01,3.495523528414940517e-01
1.248000000000000043e+01,1.276885760080770024e-02
1.250000000000000000e+01,1.099107802451034233e-01
1.251999999999999957e+01,-7.187850004775023227e-02
1.253999999999999915e+01,-1.272031991162496378e-01
1.256000000000000050e+01,1.343310387616265811e-01
1.258000000000000007e+01,1.905458986363021273e-02
1.259999999999999964e+01,-2.840273348538441614e-02
1.262000000000000099e+01,4.643693176089302294e-02
1.264000000000000057e+01,2.483298264702875069e-01
1.266000000000000014e+01,-1.341254413499163439e-02
1.267999999999999972e+01,5.326482210400897144e-02
1.269999999999999929e+01,7.683040767760980494e-02
1.272000000000000064e+01,-4.933831408641049018e-04
1.274000000000000021e+01,1.638786048070934587e-01
1.275999999999999979e+01,-1.786981035107026994e-01
1.278000000000000114e+01,1.165714892223980170e-01
1.280000000000000071e+01,2.429416549640014966e-02
1.282000000000000028e+01,1.424973115327591855e-01
1.283999999999999986e+01,-1.679143029840593883e-03
1.285999999999999943e+01,1.646179052909051421e-01
1.287999999999999901e+01,-4.334607294171503172e-02
1.290000000000000036e+01,-5.309292313260009256e-03
1.291999999999999993e+01,-1.056432205038334848e-01
1.293999999999999950e+01,8.932153825349140042e-02
1.296000000000000085e+01,9.685779028025018333e-02
1.298000000000000043e+01,2.257704870044574194e-02
1.300000000000000000e+01,3.270458541936883262e-02
1.301999999999999957e+01,-1.338878051463652241e-01
1.303999999999999915e+01,-1.369592699570684356e-03
1.306000000000000050e+01,5.499502196524783115e-02
1.308000000000000007e+01,2.961890672563859475e-02
1.309999999999999964e+01,-1.309632971280886571e-01
1.312000000000000099e+01,1.556199053735024262e-01
1.314000000000000057e+01,9.642462085789216264e-02
1.316000000000000014e+01,7.230191138117061933e-02
1.317999999999999972e+01,-5.580538929362736933e-02
1.319999999999999929e+01,2.384443896867914636e-01
1.322000000000000064e+01,4.705263481714832413e-02
1.324000000000000021e+01,9.742982032253273694e-02
