# 2Theta,Intensity
1.000000000000000000e+01,6.255038950833039513e-01
1.001999999999999957e+01,2.341114736445091549e-01
1.003999999999999915e+01,3.488296844345117886e-01
1.006000000000000050e+01,3.797454366645215407e-01
1.008000000000000007e+01,3.422317467216074993e-01
1.009999999999999964e+01,5.037176228069532025e-01
1.011999999999999922e+01,2.873827441122471793e-01
1.014000000000000057e+01,3.146039426108503956e-01
1.016000000000000014e+01,2.445196607008286727e-01
1.017999999999999972e+01,1.097890256659623948e-01
1.019999999999999929e+01,1.547811203049085371e-01
1.022000000000000064e+01,4.149025323926176512e-01
1.024000000000000021e+01,3.050103623536411512e-01
1.025999999999999979e+01,3.469724683630091566e-01
1.027999999999999936e+01,1.255414120759138774e-01
1.030000000000000071e+01,2.906042024602257801e-01
1.032000000000000028e+01,2.215535694246769660e-01
1.033999999999999986e+01,2.933997900235603140e-01
1.035999999999999943e+01,4.578877167115296687e-01
1.038000000000000078e+01,5.466563799711396943e-01
1.040000000000000036e+01,2.660236868013106104e-01
1.041999999999999993e+01,2.902000560424023989e-01
1.043999999999999950e+01,1.946715352087875495e-01
1.046000000000000085e+01,2.768349279567827725e-01
1.048000000000000043e+01,2.835378738336506443e-01
1.050000000000000000e+01,2.914145679591539362e-01
1.051999999999999957e+01,3.840662003722962181e-01
1.053999999999999915e+01,2.067693049285446172e-01
1.056000000000000050e+01,3.555684291744143910e-01
1.058000000000000007e+01,3.940126531078761984e-01
1.059999999999999964e+01,-7.433608848179412698e-02
1.061999999999999922e+01,2.730256754582698342e-01
1.064000000000000057e+01,2.933375129974680195e-01
1.066000000000000014e+01,2.802440544129355393e-01
1.067999999999999972e+01,3.651857254361619010e-01
1.069999999999999929e+01,3.916124213598874970e-01
1.072000000000000064e+01,4.954753187256150659e-01
1.074000000000000021e+01,2.970719486082871730e-01
1.075999999999999979e+01,2.894263596638240177e-01
1.077999999999999936e+01,2.236761636857353686e-01
1.080000000000000071e+01,5.446415265543210760e-01
1.082000000000000028e+01,3.460230869661429787e-01
1.083999999999999986e+01,3.044118532594616844e-01
1.085999999999999943e+01,2.292940583673709898e-01
1.088000000000000078e+01,2.043612526841062371e-01
1.090000000000000036e+01,4.596632143851518970e-01
1.091999999999999993e+01,3.014373784363354458e-01
1.093999999999999950e+01,1.203449100120695670e-01
1.096000000000000085e+01,2.124862024559558693e-01
1.098000000000000043e+01,3.001004560986657022e-01
1.100000000000000000e+01,2.720353254030306589e-01
1.101999999999999957e+01,1.696782590674353330e-01
1.103999999999999915e+01,9.343280908227429016e-02
1.106000000000000050e+01,2.297876848828203367e-01
1.108000000000000007e+01,2.447713901654587632e-01
1.109999999999999964e+01,6.472614609777938011e-01
1.112000000000000099e+01,3.594242324029356950e-01
1.114000000000000057e+01,1.930564405133745054e-01
1.116000000000000014e+01,2.945271645084865386e-01
1.117999999999999972e+01,1.953668470942540036e-01
1.119999999999999929e+01,2.116792172312595699e-01
1.122000000000000064e+01,2.418945105334214529e-01
1.124000000000000021e+01,4.742345118772210433e-01
1.125999999999999979e+01,2.696947528292831797e-01
1.127999999999999936e+01,6.909372619149647399e-01
1.130000000000000071e+01,1.843877885946502981e-01
1.132000000000000028e+01,3.618641090348845846e-01
1.133999999999999986e+01,2.552218625878325264e-01
1.135999999999999943e+01,5.096633552084124386e-01
1.138000000000000078e+01,2.945946365558197444e-01
1.140000000000000036e+01,5.879282332052059301e-01
1.141999999999999993e+01,4.525191955539156208e-01
1.143999999999999950e+01,4.981825050207956407e-01
1.146000000000000085e+01,2.238178697554074892e-01
1.148000000000000043e+01,2.150101995460360904e-01
1.150000000000000000e+01,1.342293820330536236e-01
1.151999999999999957e+01,1.409406621877172250e-01
1.153999999999999915e+01,3.295972818860173348e-01
1.156000000000000050e+01,3.882260793800234588e-01
1.158000000000000007e+01,9.687471790402124583e-02
1.159999999999999964e+01,1.918935683347032795e-01
1.162000000000000099e+01,3.472052685656560889e-01
1.164000000000000057e+01,4.409504269907638663e-01
1.166000000000000014e+01,2.853621619058421266e-01
1.167999999999999972e+01,1.484986070899182442e-01
1.169999999999999929e+01,3.883132036976675305e-01
1.172000000000000064e+01,4.346847063072071804e-01
1.174000000000000021e+01,2.418265019625647216e-01
1.175999999999999979e+01,3.435667689826700788e-01
1.177999999999999936e+01,3.718413194003253319e-01
1.180000000000000071e+01,4.838118388430458494e-01
1.182000000000000028e+01,4.502836040831765807e-01
1.183999999999999986e+01,2.479815574203686479e-01
1.185999999999999943e+01,2.583720574412617932e-01
1.188000000000000078e+01,3.412181522130055544e-01
1.190000000000000036e+01,4.713464759227672385e-01
1.191999999999999993e+01,4.513327693122570761e-01
1.193999999999999950e+01,3.645874055676959768e-01
1.196000000000000085e+01,2.825206095815882001e-01
1.198000000000000043e+01,4.143042988927618797e-01
1.200000000000000000e+01,3.645379946880942801e-01
1.201999999999999957e+01,3.900553920542188524e-01
1.203999999999999915e+01,1.963714652879599842e-01
1.206000000000000050e+01,3.826009244764488892e-01
1.208000000000000007e+01,7.980343927716751495e-02
1.209999999999999964e+01,3.797743540774199955e-01
1.212000000000000099e+01,4.993500039925521938e-01
1.214000000000000057e+01,1.687743589612128725e-01
1.216000000000000014e+01,3.706809694860326299e-01
1.217999999999999972e+01,1.536610468951565278e-01
1.219999999999999929e+01,4.067655351631883076e-01
1.222000000000000064e+01,3.118196504932363444e-01
1.224000000000000021e+01,4.535581308313068050e-01
1.225999999999999979e+01,3.335206922651826056e-01
1.228000000000000114e+01,3.527173627752273610e-01
1.230000000000000071e+01,5.460769450483271559e-01
1.232000000000000028e+01,3.979667164673284518e-01
1.233999999999999986e+01,1.616838334860594140e-01
1.235999999999999943e+01,4.110532510503894232e-01
1.237999999999999901e+01,2.741453055537835803e-01
1.240000000000000036e+01,1.806206625715182368e-01
1.241999999999999993e+01,3.683772417534073584e-01
1.243999999999999950e+01,5.197344229931990522e-01
1.246000000000000085e+01,2.603688549958387277e-01
1.248000000000000043e+01,2.234925794064522853e-01
1.250000000000000000e+01,1.459801784110843492e-01
1.251999999999999957e+01,2.897912464656802745e-01
1.253999999999999915e+01,2.367717995876967019e-01
1.256000000000000050e+01,4.782898892589861339e-01
1.258000000000000007e+01,4.608950334939950211e-01
1.259999999999999964e+01,4.715781158183175448e-01
1.262000000000000099e+01,3.197217472901175417e-01
1.264000000000000057e+01,7.016986832593737067e-02
1.266000000000000014e+01,1.645871512263123448e-01
1.267999999999999972e+01,4.218782262338826028e-01
1.269999999999999929e+01,4.004847909384312565e-01
1.272000000000000064e+01,2.038898579364842589e-01
1.274000000000000021e+01,2.835286184222267636e-01
1.275999999999999979e+01,1.122982689348309415e-01
1.278000000000000114e+01,2.458914261031820703e-01
1.280000000000000071e+01,3.119654617134099972e-01
1.282000000000000028e+01,4.236182615045355759e-01
1.283999999999999986e+01,1.948644673515752823e-01
1.285999999999999943e+01,4.021697231502058267e-01
1.287999999999999901e+01,1.889321990630320747e-01
1.290000000000000036e+01,2.824928972519219483e-01
1.291999999999999993e+01,3.066425607298786660e-01
1.293999999999999950e+01,3.547714645532356048e-01
1.296000000000000085e+01,1.526741129460918445e-01
1.298000000000000043e+01,3.207442653976743663e-01
1.300000000000000000e+01,2.954133580067340170e-01
1.301999999999999957e+01,5.054512748304895720e-01
1.303999999999999915e+01,5.438930150718228607e-01
1.306000000000000050e+01,3.496052368092507634e-01
1.308000000000000007e+01,1.648392796656730497e-01
1.309999999999999964e+01,2.741141869765383321e-01
1.312000000000000099e+01,3.699107561431406177e-01
1.314000000000000057e+01,4.655141227612787924e-01
1.316000000000000014e+01,3.600463420012813276e-01
1.317999999999999972e+01,1.258914302295300602e-01
1.319999999999999929e+01,3.606376977098230685e-01
1.322000000000000064e+01,5.730279225644262509e-01
1.324000000000000021e+01,4.079432753179036419e-01
1.325999999999999979e+01,3.085052185665758673e-01
1.328000000000000114e+01,5.094164803242082762e-01
1.330000000000000071e+01,3.710303756611565973e-01
1.332000000000000028e+01,2.602001883334211785e-01
1.333999999999999986e+01,4.011086483298233474e-01
1.335999999999999943e+01,3.534943574941429301e-01
1.337999999999999901e+01,2.759580467545881266e-01
1.340000000000000036e+01,2.338650561785276250e-01
1.341999999999999993e+01,4.285629631125315031e-01
1.343999999999999950e+01,1.829466422055981700e-01
1.346000000000000085e+01,3.855429511660541930e-01
1.348000000000000043e+01,3.715501237131565992e-01
1.350000000000000000e+01,5.020916282453342649e-01
1.351999999999999957e+01,3.584607700928530427e-01
1.353999999999999915e+01,3.680575346831385652e-01
1.356000000000000050e+01,3.274366252099168983e-01
1.358000000000000007e+01,5.912036822385394741e-01
1.359999999999999964e+01,3.235899213985156675e-01
1.362000000000000099e+01,4.973609072845898149e-01
1.364000000000000057e+01,4.616543184356782237e-01
1.366000000000000014e+01,2.273478471182888150e-01
1.367999999999999972e+01,3.070556989770800160e-01
1.369999999999999929e+01,2.983652099808062341e-01
1.372000000000000064e+01,3.939350731877628853e-01
1.374000000000000021e+01,1.742196646699719631e-01
1.375999999999999979e+01,4.430518307083319285e-01
1.378000000000000114e+01,4.395589933316763620e-01
1.380000000000000071e+01,5.620191776904198688e-01
1.382000000000000028e+01,6.648168075706929470e-01
1.383999999999999986e+01,4.147041175542763858e-01
1.385999999999999943e+01,4.984544704971857199e-01
1.387999999999999901e+01,2.232645838971831220e-01
1.390000000000000036e+01,3.350297530060244999e-01
1.391999999999999993e+01,4.485123403949551335e-01
1.393999999999999950e+01,3.776859985230067163e-01
1.396000000000000085e+01,3.055344446058633756e-01
1.398000000000000043e+01,3.902580884714201281e-01
1.400000000000000000e+01,2.328019135880867452e-01
1.401999999999999957e+01,1.542427716315798447e-01
1.403999999999999915e+01,4.042747094796888541e-01
1.406000000000000050e+01,5.970460074936704276e-01
1.408000000000000007e+01,2.702348747001691032e-01
1.409999999999999964e+01,2.040022844606019514e-01
1.412000000000000099e+01,3.806859522296870968e-01
1.414000000000000057e+01,3.904757684670299711e-01
1.416000000000000014e+01,3.725792413566496597e-01
1.417999999999999972e+01,1.750921321965529243e-01
1.419999999999999929e+01,3.823073456425930550e-01
1.421999999999999886e+01,3.380874544479357535e-01
1.424000000000000021e+01,2.311773149411287254e-01
1.425999999999999979e+01,2.286389340036984463e-01
1.428000000000000114e+01,5.775335784398295813e-03
1.430000000000000071e+01,3.460085020655322419e-01
1.432000000000000028e+01,3.453716398241721275e-01
1.433999999999999986e+01,3.931099364548236719e-01
1.435999999999999943e+01,2.701306099950167017e-01
1.437999999999999901e+01,3.401477180747183859e-02
1.440000000000000036e+01,5.417985684838173555e-01
1.441999999999999993e+01,1.811512441362950754e-01
1.444000000000000128e+01,3.807224243999036695e-01
1.446000000000000085e+01,4.176228682128217962e-01
1.448000000000000043e+01,3.726942707249705222e-01
1.450000000000000000e+01,5.124027497861011193e-01
1.451999999999999957e+01,3.674346006377495755e-01
1.453999999999999915e+01,4.411531702408048039e-01
1.456000000000000050e+01,4.587721848813554604e-01
1.458000000000000007e+01,2.734247206656280071e-01
1.460000000000000142e+01,2.965376101764060079e-01
1.462000000000000099e+01,5.021356766352925716e-01
1.464000000000000057e+01,5.234416360228543175e-01
1.466000000000000014e+01,2.872200538962422778e-01
1.467999999999999972e+01,3.105272606391734636e-01
1.469999999999999929e+01,4.312404359654412045e-01
1.471999999999999886e+01,2.410068246327720376e-01
1.474000000000000021e+01,2.916966714248909742e-01
1.475999999999999979e+01,2.401406835189428546e-01
1.478000000000000114e+01,1.826179617292179591e-01
1.480000000000000071e+01,1.722107728200440446e-01
1.482000000000000028e+01,3.206096658758893492e-01
1.483999999999999986e+01,3.654394760247812735e-01
1.485999999999999943e+01,1.756292188365478346e-01
1.487999999999999901e+01,8.391564565586154267e-02
1.490000000000000036e+01,1.943767592384690324e-01
1.491999999999999993e+01,1.598833513338957235e-01
1.494000000000000128e+01,2.584721431006647974e-01
1.496000000000000085e+01,3.818065405696731418e-02
1.498000000000000043e+01,5.565540445168561945e-01
1.500000000000000000e+01,2.980293568222703304e-01
1.501999999999999957e+01,3.012683680379995566e-01
1.503999999999999915e+01,3.706469712575429232e-01
1.506000000000000050e+01,2.611120883216682120e-01
1.508000000000000007e+01,3.307949543236496925e-01
1.510000000000000142e+01,4.197535175369689897e-01
1.512000000000000099e+01,5.030924550448492294e-01
1.514000000000000057e+01,4.547576777930176228e-02
1.516000000000000014e+01,1.312083713395624796e-01
1.517999999999999972e+01,2.006191247824566926e-01
1.519999999999999929e+01,5.039105267086889661e-01
1.521999999999999886e+01,6.985564956111088852e-01
1.524000000000000021e+01,2.014510571256090676e-01
