# 2Theta,Intensity
1.000000000000000000e+01,7.075547847384895672e-02
1.001999999999999957e+01,2.181118232218935971e-01
1.003999999999999915e+01,1.656686891018144536e-01
1.006000000000000050e+01,1.053805533358457558e-01
1.008000000000000007e+01,1.501975633593761184e-01
1.009999999999999964e+01,7.779508875458286676e-02
1.011999999999999922e+01,-4.641535709948058780e-02
1.014000000000000057e+01,1.697967419887471408e-01
1.016000000000000014e+01,-2.787234545544742953e-02
1.017999999999999972e+01,1.467813502822054861e-01
1.019999999999999929e+01,2.970086957839662145e-01
1.022000000000000064e+01,1.279980574316582909e-01
1.024000000000000021e+01,-1.134187669307716861e-01
1.025999999999999979e+01,-1.207149793848897798e-02
1.027999999999999936e+01,1.674255072348244389e-01
1.030000000000000071e+01,2.243552177571450645e-02
1.032000000000000028e+01,2.606233040546609286e-02
1.033999999999999986e+01,3.541375752306273605e-02
1.035999999999999943e+01,1.121354889978301711e-01
1.038000000000000078e+01,2.808453140928375280e-01
1.040000000000000036e+01,3.034222985245897397e-01
1.041999999999999993e+01,1.196077936435971517e-01
1.043999999999999950e+01,1.336901133781304429e-01
1.046000000000000085e+01,3.607969422392243164e-02
1.048000000000000043e+01,7.311205310303912908e-02
1.050000000000000000e+01,7.454561247362509468e-02
1.051999999999999957e+01,6.988491819021364071e-02
1.053999999999999915e+01,2.771842358366034820e-02
1.056000000000000050e+01,3.820200061133750824e-02
1.058000000000000007e+01,1.638703038917469490e-01
1.059999999999999964e+01,3.461493591194796937e-01
1.061999999999999922e+01,2.111274874696386639e-01
1.064000000000000057e+01,9.497194544751033640e-02
1.066000000000000014e+01,1.635804070508448949e-01
1.067999999999999972e+01,6.683371937369264604e-02
1.069999999999999929e+01,1.788588435494334883e-01
1.072000000000000064e+01,1.002559125874190465e-01
1.074000000000000021e+01,1.152403278239289008e-01
1.075999999999999979e+01,-2.418333455209671114e-03
1.077999999999999936e+01,2.039327462891895038e-01
1.080000000000000071e+01,-8.856552116872461189e-02
1.082000000000000028e+01,1.216099350685639346e-01
1.083999999999999986e+01,-2.022431223031180558e-01
1.085999999999999943e+01,1.360411649625603847e-01
1.088000000000000078e+01,-6.468526556500709714e-03
1.090000000000000036e+01,1.693385242830222903e-01
1.091999999999999993e+01,3.596938551032248244e-01
1.093999999999999950e+01,9.837554950924258523e-02
1.096000000000000085e+01,8.267048839274787619e-03
1.098000000000000043e+01,-1.039459331305499917e-01
1.100000000000000000e+01,2.030018886339208031e-02
1.101999999999999957e+01,5.556258221547630965e-02
1.103999999999999915e+01,-1.929009440781615514e-01
1.106000000000000050e+01,5.638698495465702815e-02
1.108000000000000007e+01,1.790795199318525044e-01
1.109999999999999964e+01,7.516568511609561520e-02
1.112000000000000099e+01,1.413074526847233336e-01
1.114000000000000057e+01,1.502012611740385613e-03
1.116000000000000014e+01,5.462453406000198491e-02
1.117999999999999972e+01,1.649276154054163390e-01
1.119999999999999929e+01,2.214540269759580071e-01
1.122000000000000064e+01,3.856097664370954775e-02
1.124000000000000021e+01,-4.267041275420395408e-02
1.125999999999999979e+01,1.831880647907523918e-01
1.127999999999999936e+01,5.054347433246129256e-02
1.130000000000000071e+01,6.431350825785085018e-03
1.132000000000000028e+01,6.273714554240018837e-02
1.133999999999999986e+01,5.974483044211791050e-02
1.135999999999999943e+01,1.259248651173296984e-01
1.138000000000000078e+01,-5.559758968176718025e-02
1.140000000000000036e+01,8.431727681888666337e-02
1.141999999999999993e+01,1.943395370815719503e-01
1.143999999999999950e+01,1.422811524556382989e-01
1.146000000000000085e+01,-4.200911482188213891e-02
1.148000000000000043e+01,1.312751290998251108e-01
1.150000000000000000e+01,2.234035076070469139e-01
1.151999999999999957e+01,-3.590203962079160233e-02
1.153999999999999915e+01,-7.185090794280503401e-02
1.156000000000000050e+01,-7.962563492155223799e-02
1.158000000000000007e+01,-9.214643854503525022e-03
1.159999999999999964e+01,5.230915733839398146e-03
1.162000000000000099e+01,3.656335817963345947e-01
1.164000000000000057e+01,2.628855227659859101e-02
1.166000000000000014e+01,3.818309030821567113e-02
1.167999999999999972e+01,-1.288365320006977788e-01
1.169999999999999929e+01,9.527076215458860076e-02
1.172000000000000064e+01,-3.497165806934705856e-02
1.174000000000000021e+01,6.507032444325633325e-02
1.175999999999999979e+01,-1.499940614808508987e-01
1.177999999999999936e+01,-1.150794504196683832e-02
1.180000000000000071e+01,2.195756587466554111e-01
1.182000000000000028e+01,1.311277408007116285e-01
1.183999999999999986e+01,2.825223961468866785e-01
1.185999999999999943e+01,-7.122760125213954685e-02
1.188000000000000078e+01,6.813577248050083079e-02
1.190000000000000036e+01,4.301887301418359094e-02
1.191999999999999993e+01,-1.065417507453114421e-01
1.193999999999999950e+01,-8.808223883175227142e-02
1.196000000000000085e+01,8.533391795896069776e-02
1.198000000000000043e+01,-4.033704914211957981e-02
1.200000000000000000e+01,1.208759652329167017e-01
1.201999999999999957e+01,5.967264307082716795e-02
1.203999999999999915e+01,-6.709943036505372493e-02
1.206000000000000050e+01,3.637544948092727437e-02
1.208000000000000007e+01,1.357461500167785051e-01
1.209999999999999964e+01,-8.945048910310746115e-02
1.212000000000000099e+01,9.163534509110649040e-02
1.214000000000000057e+01,1.924176410968240769e-01
1.216000000000000014e+01,2.048099667409339353e-01
1.217999999999999972e+01,7.413230003219765940e-02
1.219999999999999929e+01,1.032156570303232185e-01
1.222000000000000064e+01,1.550950671115393087e-01
1.224000000000000021e+01,3.968875551485834818e-01
