# 2Theta,Intensity
1.000000000000000000e+01,1.226373214432944919e-01
1.001999999999999957e+01,-6.285691953580677116e-02
1.003999999999999915e+01,2.964929562023559395e-01
1.006000000000000050e+01,9.589006867007086876e-02
1.008000000000000007e+01,2.602058186925617078e-01
1.009999999999999964e+01,1.379223618833944898e-01
1.011999999999999922e+01,3.415087194245350344e-01
1.014000000000000057e+01,1.903807052540728850e-01
1.016000000000000014e+01,3.452920143542086429e-01
1.017999999999999972e+01,3.737129515695261084e-01
1.019999999999999929e+01,2.656809668241260636e-01
1.022000000000000064e+01,1.667487094858748631e-01
1.024000000000000021e+01,6.123584454563351515e-02
1.025999999999999979e+01,3.644714786748161628e-01
1.027999999999999936e+01,1.306359984571905664e-01
1.030000000000000071e+01,-2.379771938401943621e-02
1.032000000000000028e+01,2.188527199047765326e-01
1.033999999999999986e+01,8.508492490581807954e-02
1.035999999999999943e+01,1.007094887230514380e-01
1.038000000000000078e+01,3.584731947186415961e-04
1.040000000000000036e+01,-3.922288490592520938e-02
1.041999999999999993e+01,4.004884709095848927e-01
1.043999999999999950e+01,7.177815244968792363e-02
1.046000000000000085e+01,1.637420462864291604e-01
1.048000000000000043e+01,2.519548167939526517e-01
1.050000000000000000e+01,1.105774259527768366e-01
1.051999999999999957e+01,1.468254495033448626e-01
1.053999999999999915e+01,4.849749549057529030e-02
1.056000000000000050e+01,2.295304352691439620e-01
1.058000000000000007e+01,2.964352093771122076e-01
1.059999999999999964e+01,9.334809212643878362e-02
1.061999999999999922e+01,1.023145015543469177e-01
1.064000000000000057e+01,3.505812869655119957e-01
1.066000000000000014e+01,2.419417558890778475e-01
1.067999999999999972e+01,1.655991051103948009e-01
1.069999999999999929e+01,3.282710966101684558e-01
1.072000000000000064e+01,1.225301766125203445e-01
1.074000000000000021e+01,2.613519595594744893e-01
1.075999999999999979e+01,2.412599887477535621e-01
1.077999999999999936e+01,1.374072701116477724e-01
1.080000000000000071e+01,1.863935960399188407e-01
1.082000000000000028e+01,2.965185871170629706e-01
1.083999999999999986e+01,1.870286021345530791e-01
1.085999999999999943e+01,4.696530035745130616e-01
1.088000000000000078e+01,4.134949067235538789e-01
1.090000000000000036e+01,2.463170184529424600e-01
1.091999999999999993e+01,1.898551615105453505e-01
1.093999999999999950e+01,3.558581438982305056e-01
1.096000000000000085e+01,6.844774894394878295e-02
1.098000000000000043e+01,-1.258559179351190736e-02
1.100000000000000000e+01,2.282079779269264030e-01
1.101999999999999957e+01,5.843667147295292241e-02
1.103999999999999915e+01,1.636835497091327085e-01
1.106000000000000050e+01,-3.612470603963351817e-02
1.108000000000000007e+01,1.679754271693830459e-01
1.109999999999999964e+01,1.163988977703574179e-02
1.112000000000000099e+01,2.780985472275845916e-01
1.114000000000000057e+01,-2.325818361670650355e-02
1.116000000000000014e+01,1.993530093159018579e-01
1.117999999999999972e+01,-1.590222447657030913e-01
1.119999999999999929e+01,1.764628555064051418e-01
1.122000000000000064e+01,-7.360336269095642779e-03
1.124000000000000021e+01,3.619810359110081643e-01
1.125999999999999979e+01,2.421690552008476105e-01
1.127999999999999936e+01,-1.334968185741218782e-01
1.130000000000000071e+01,1.129242957831800842e-01
1.132000000000000028e+01,2.837085329840151049e-01
1.133999999999999986e+01,1.534575875714055126e-01
1.135999999999999943e+01,1.391071520138185691e-01
1.138000000000000078e+01,6.998287037580237790e-02
1.140000000000000036e+01,1.387965422576857843e-01
1.141999999999999993e+01,6.030402947909461325e-02
1.143999999999999950e+01,1.508158804645659823e-01
1.146000000000000085e+01,1.132986106284587097e-01
1.148000000000000043e+01,1.725798982484025579e-01
1.150000000000000000e+01,2.758535353907649035e-01
1.151999999999999957e+01,2.184575777192962476e-01
1.153999999999999915e+01,3.099007980533866058e-01
1.156000000000000050e+01,1.647658985553997202e-01
1.158000000000000007e+01,1.030641805074261758e-01
1.159999999999999964e+01,2.326139261251667367e-01
1.162000000000000099e+01,5.690741622127533372e-02
1.164000000000000057e+01,1.161805603009180843e-01
1.166000000000000014e+01,1.599365493080620870e-01
1.167999999999999972e+01,2.437447496423559012e-01
1.169999999999999929e+01,1.808728612245363299e-01
1.172000000000000064e+01,2.114360741942407362e-02
1.174000000000000021e+01,2.066947068586558189e-01
1.175999999999999979e+01,9.391270384609195360e-03
1.177999999999999936e+01,8.302740175758942243e-02
1.180000000000000071e+01,1.226689709439754972e-01
1.182000000000000028e+01,9.162661233542300498e-02
1.183999999999999986e+01,3.071669830126434048e-02
1.185999999999999943e+01,2.450814333185574456e-01
1.188000000000000078e+01,6.499087520690360886e-02
1.190000000000000036e+01,2.423156845317923358e-01
1.191999999999999993e+01,1.871012149816757009e-01
1.193999999999999950e+01,3.793489146822021651e-01
1.196000000000000085e+01,1.051605725585107315e-01
1.198000000000000043e+01,2.586687426257643363e-01
1.200000000000000000e+01,1.689750498797314149e-02
1.201999999999999957e+01,1.545172918894329728e-01
1.203999999999999915e+01,8.483882118787253179e-02
1.206000000000000050e+01,1.732364682993901561e-01
1.208000000000000007e+01,2.425460353178887085e-01
1.209999999999999964e+01,1.504428888722817159e-01
1.212000000000000099e+01,1.081348714547894774e-01
1.214000000000000057e+01,1.353938796285019119e-01
1.216000000000000014e+01,3.459134851990042225e-01
1.217999999999999972e+01,-1.085470795060846927e-01
1.219999999999999929e+01,2.777177461734725572e-01
1.222000000000000064e+01,2.544893004189042740e-01
1.224000000000000021e+01,5.829950450148629199e-02
1.225999999999999979e+01,1.404039947607362560e-01
1.228000000000000114e+01,3.051555277800224730e-01
1.230000000000000071e+01,2.748747554335800314e-01
1.232000000000000028e+01,2.667957589559329379e-01
1.233999999999999986e+01,2.778164497691185206e-03
1.235999999999999943e+01,1.484940737896315588e-01
1.237999999999999901e+01,4.799653919564139670e-02
1.240000000000000036e+01,1.879186628051216779e-01
1.241999999999999993e+01,8.607637057287262361e-02
1.243999999999999950e+01,2.845453523453176370e-01
1.246000000000000085e+01,2.674633630374318449e-01
1.248000000000000043e+01,1.958479173154934472e-01
1.250000000000000000e+01,-5.401166769203016166e-02
1.251999999999999957e+01,1.651442813988660274e-01
1.253999999999999915e+01,1.762528945786730472e-01
1.256000000000000050e+01,-5.929319077731476373e-03
1.258000000000000007e+01,1.809509779221513404e-01
1.259999999999999964e+01,1.687571672800602385e-01
1.262000000000000099e+01,1.112249407776763621e-01
1.264000000000000057e+01,3.506076739457045233e-01
1.266000000000000014e+01,8.688239149622800639e-02
1.267999999999999972e+01,3.311249618198205263e-02
1.269999999999999929e+01,1.611621031344794841e-01
1.272000000000000064e+01,1.568040259782388368e-01
1.274000000000000021e+01,2.383651562580616778e-01
1.275999999999999979e+01,2.706255489453305296e-01
1.278000000000000114e+01,6.589599616992962428e-02
1.280000000000000071e+01,1.927541046553668536e-01
1.282000000000000028e+01,3.192116946885212858e-01
1.283999999999999986e+01,9.981721313480236557e-02
1.285999999999999943e+01,1.636620085153594473e-01
1.287999999999999901e+01,2.113147263431335854e-01
1.290000000000000036e+01,2.264439505883330539e-01
1.291999999999999993e+01,1.169559896383467607e-01
1.293999999999999950e+01,-3.274294213676681026e-02
1.296000000000000085e+01,2.513998802109099762e-01
1.298000000000000043e+01,-8.680747120934967365e-02
1.300000000000000000e+01,2.124375801870336256e-01
1.301999999999999957e+01,3.127328485366868277e-02
1.303999999999999915e+01,2.185293956280137950e-01
1.306000000000000050e+01,2.974150203167118534e-01
1.308000000000000007e+01,1.539021461851518835e-01
1.309999999999999964e+01,8.135507802401721611e-02
1.312000000000000099e+01,-8.687668996490763296e-02
1.314000000000000057e+01,2.074948929613713300e-01
1.316000000000000014e+01,2.396338696311365868e-01
1.317999999999999972e+01,1.897164478453372549e-01
1.319999999999999929e+01,1.034738124844883089e-01
1.322000000000000064e+01,-2.992923128149895667e-02
1.324000000000000021e+01,1.450816375016110993e-01
1.325999999999999979e+01,1.033324521487059416e-01
1.328000000000000114e+01,3.981903772421650500e-01
1.330000000000000071e+01,3.735036821165931276e-01
1.332000000000000028e+01,1.689147457582110615e-02
1.333999999999999986e+01,3.572126899241542253e-01
1.335999999999999943e+01,1.644030789087787547e-01
1.337999999999999901e+01,1.836454943146413610e-01
1.340000000000000036e+01,1.704139269373400323e-01
1.341999999999999993e+01,1.878914299194562113e-02
1.343999999999999950e+01,1.899091222139990820e-01
1.346000000000000085e+01,1.625256363719479735e-01
1.348000000000000043e+01,1.974186146400287445e-01
1.350000000000000000e+01,1.435654742260756844e-01
1.351999999999999957e+01,4.020204869030717665e-02
1.353999999999999915e+01,4.555152726060314461e-02
1.356000000000000050e+01,1.663248117239905788e-01
1.358000000000000007e+01,2.376151060725104763e-02
1.359999999999999964e+01,3.834857152324821494e-01
1.362000000000000099e+01,3.080357163796926812e-01
1.364000000000000057e+01,-5.149532484561543735e-03
1.366000000000000014e+01,9.545523826890373043e-02
1.367999999999999972e+01,1.592799596379187443e-01
1.369999999999999929e+01,1.728563354646823758e-01
1.372000000000000064e+01,1.858304401495269598e-01
1.374000000000000021e+01,1.574612787585607243e-01
1.375999999999999979e+01,5.943892249732782296e-02
1.378000000000000114e+01,1.033336594373718137e-01
1.380000000000000071e+01,1.959028844024009453e-01
1.382000000000000028e+01,2.996521072962555765e-01
1.383999999999999986e+01,-3.473252802924468863e-02
1.385999999999999943e+01,1.514263353912543020e-01
1.387999999999999901e+01,1.238739608352281696e-01
1.390000000000000036e+01,7.454369031265436173e-03
1.391999999999999993e+01,3.218833612310744163e-01
1.393999999999999950e+01,1.831983934099002398e-01
1.396000000000000085e+01,-2.485249148674862144e-02
1.398000000000000043e+01,8.382363118545618774e-02
1.400000000000000000e+01,1.900164075927105733e-01
1.401999999999999957e+01,1.496857109494546811e-01
1.403999999999999915e+01,2.303188680610305794e-01
1.406000000000000050e+01,1.854317438701257037e-01
1.408000000000000007e+01,7.696105999448751844e-02
1.409999999999999964e+01,2.418483896768593711e-01
1.412000000000000099e+01,1.032990165012110870e-03
1.414000000000000057e+01,1.290122066113941375e-02
1.416000000000000014e+01,1.317808659250571390e-01
1.417999999999999972e+01,1.932299503847183242e-01
1.419999999999999929e+01,-1.031435391484191930e-02
1.421999999999999886e+01,1.660902077981461222e-01
1.424000000000000021e+01,3.412018129756028140e-01
1.425999999999999979e+01,8.427817266361228854e-03
1.428000000000000114e+01,2.892833911360999655e-01
1.430000000000000071e+01,9.944430541057776296e-02
1.432000000000000028e+01,2.346106729790015943e-01
1.433999999999999986e+01,3.284863816190904395e-01
1.435999999999999943e+01,3.163672946608760833e-02
1.437999999999999901e+01,5.829466781402527914e-02
1.440000000000000036e+01,1.480024172440591590e-01
1.441999999999999993e+01,1.289480337879179150e-01
1.444000000000000128e+01,1.923689956123115496e-01
1.446000000000000085e+01,7.693077127434493068e-02
1.448000000000000043e+01,8.189530291701752063e-02
1.450000000000000000e+01,1.685347110543566618e-01
1.451999999999999957e+01,3.418680163972971364e-01
1.453999999999999915e+01,4.727047918043399827e-02
1.456000000000000050e+01,5.772298773037634612e-02
1.458000000000000007e+01,2.531864051717028774e-01
1.460000000000000142e+01,3.659348460743012676e-01
1.462000000000000099e+01,2.496663070142615681e-01
1.464000000000000057e+01,2.602136765875709759e-02
1.466000000000000014e+01,1.189424188846282537e-01
1.467999999999999972e+01,2.344267618547080378e-01
1.469999999999999929e+01,1.481032414832099686e-01
1.471999999999999886e+01,3.487271122547647151e-01
1.474000000000000021e+01,3.223700525761397651e-01
1.475999999999999979e+01,3.015561364144697110e-01
1.478000000000000114e+01,7.939863835434664285e-02
1.480000000000000071e+01,1.901402388949359756e-01
1.482000000000000028e+01,8.132089355929773833e-02
1.483999999999999986e+01,2.045355273271268481e-01
1.485999999999999943e+01,-3.054202465295787969e-02
1.487999999999999901e+01,9.004284443449384057e-02
1.490000000000000036e+01,2.057559521595293817e-01
1.491999999999999993e+01,-6.018621306121896969e-02
1.494000000000000128e+01,1.500519715769879081e-01
1.496000000000000085e+01,1.046904451716611090e-01
