# 2Theta,Intensity
1.000000000000000000e+01,6.145784162406585649e-01
1.001999999999999957e+01,4.122076708543829238e-01
1.003999999999999915e+01,5.943167267126024944e-01
1.006000000000000050e+01,6.335802763847019348e-01
1.008000000000000007e+01,6.814629423302864808e-01
1.009999999999999964e+01,5.725412183036159286e-01
1.011999999999999922e+01,6.966939945535162160e-01
1.014000000000000057e+01,5.232196289648968213e-01
1.016000000000000014e+01,4.421718096991296698e-01
1.017999999999999972e+01,4.595027324849397243e-01
1.019999999999999929e+01,5.270476442683859064e-01
1.022000000000000064e+01,4.418347899564495362e-01
1.024000000000000021e+01,5.806460140941867021e-01
1.025999999999999979e+01,4.846934419857316101e-01
1.027999999999999936e+01,6.024284421957019076e-01
1.030000000000000071e+01,5.915190002433476923e-01
1.032000000000000028e+01,6.528834685199961241e-01
1.033999999999999986e+01,7.182229067028770286e-01
1.035999999999999943e+01,3.331055093561549052e-01
1.038000000000000078e+01,5.647845686893377959e-01
1.040000000000000036e+01,5.226341344335894146e-01
1.041999999999999993e+01,5.407592218122060368e-01
1.043999999999999950e+01,6.354089601652870289e-01
1.046000000000000085e+01,5.089138772407674205e-01
1.048000000000000043e+01,8.054189838391747625e-01
1.050000000000000000e+01,5.360113298037576524e-01
1.051999999999999957e+01,7.072588284752004961e-01
1.053999999999999915e+01,6.921768947859079368e-01
1.056000000000000050e+01,5.486920060202152838e-01
1.058000000000000007e+01,4.293232866762198841e-01
1.059999999999999964e+01,6.259679134951898760e-01
1.061999999999999922e+01,4.762153190148955550e-01
1.064000000000000057e+01,5.784620063092804632e-01
1.066000000000000014e+01,6.778789968219314233e-01
1.067999999999999972e+01,6.442221867594282170e-01
1.069999999999999929e+01,7.371134981712625933e-01
1.072000000000000064e+01,6.605732236273453850e-01
1.074000000000000021e+01,8.415478251623248473e-01
1.075999999999999979e+01,7.332136660520373050e-01
1.077999999999999936e+01,9.871999357356648908e-01
1.080000000000000071e+01,5.823343171755247516e-01
1.082000000000000028e+01,4.989935258459954892e-01
1.083999999999999986e+01,4.095297313802558348e-01
1.085999999999999943e+01,8.711196137500104575e-01
1.088000000000000078e+01,6.235707277813835603e-01
1.090000000000000036e+01,8.015245731514109018e-01
1.091999999999999993e+01,7.858409422166994229e-01
1.093999999999999950e+01,5.947493739539372326e-01
1.096000000000000085e+01,5.942562435664159315e-01
1.098000000000000043e+01,5.953372129957940073e-01
1.100000000000000000e+01,6.768484154465753688e-01
1.101999999999999957e+01,3.816605320432033266e-01
1.103999999999999915e+01,5.532264011133353199e-01
1.106000000000000050e+01,5.188683220090591908e-01
1.108000000000000007e+01,6.714090184617427237e-01
1.109999999999999964e+01,5.717919762303107500e-01
1.112000000000000099e+01,6.007122553796461206e-01
1.114000000000000057e+01,8.640845027500572151e-01
1.116000000000000014e+01,6.740317061369927032e-01
1.117999999999999972e+01,6.364085603467903862e-01
1.119999999999999929e+01,4.154565212763651205e-01
1.122000000000000064e+01,4.492157251675141794e-01
1.124000000000000021e+01,3.823331959873195185e-01
1.125999999999999979e+01,6.219259076579167766e-01
1.127999999999999936e+01,6.615154659574505880e-01
1.130000000000000071e+01,6.477650862092984019e-01
1.132000000000000028e+01,5.514653753958945748e-01
1.133999999999999986e+01,4.544005725904513016e-01
1.135999999999999943e+01,5.683802438057281581e-01
1.138000000000000078e+01,6.872052597330328139e-01
1.140000000000000036e+01,6.965331404008288096e-01
1.141999999999999993e+01,4.021018831077811662e-01
1.143999999999999950e+01,6.546916179893830234e-01
1.146000000000000085e+01,3.612160448264291057e-01
1.148000000000000043e+01,5.670139035495334046e-01
1.150000000000000000e+01,4.176490323652344294e-01
1.151999999999999957e+01,8.976617349288797953e-01
1.153999999999999915e+01,4.250031399756505346e-01
1.156000000000000050e+01,6.297665416479587552e-01
1.158000000000000007e+01,6.271424213980952844e-01
1.159999999999999964e+01,4.215340873214713513e-01
1.162000000000000099e+01,6.273247413603393330e-01
1.164000000000000057e+01,9.087138509593164493e-01
1.166000000000000014e+01,6.764859914494272264e-01
1.167999999999999972e+01,4.735883153546014412e-01
1.169999999999999929e+01,5.587171052765235180e-01
1.172000000000000064e+01,5.188684309053295252e-01
1.174000000000000021e+01,5.854417816572109468e-01
1.175999999999999979e+01,6.771960582400586848e-01
1.177999999999999936e+01,7.135883856269901182e-01
1.180000000000000071e+01,5.737265303707516084e-01
1.182000000000000028e+01,4.619146201178360722e-01
1.183999999999999986e+01,6.717358782739211165e-01
1.185999999999999943e+01,9.340011757845061435e-01
1.188000000000000078e+01,4.349747241410318876e-01
1.190000000000000036e+01,4.717362926171881354e-01
1.191999999999999993e+01,7.286822739935511217e-01
1.193999999999999950e+01,3.956976504756237745e-01
1.196000000000000085e+01,3.384489866725330920e-01
1.198000000000000043e+01,3.689868200506074558e-01
1.200000000000000000e+01,5.347705923283148088e-01
1.201999999999999957e+01,8.387140923411491311e-01
1.203999999999999915e+01,8.100260946681993035e-01
1.206000000000000050e+01,5.777428628618058726e-01
1.208000000000000007e+01,7.705419797749186728e-01
1.209999999999999964e+01,6.545339782619292723e-01
1.212000000000000099e+01,8.819690359147801528e-01
1.214000000000000057e+01,8.248584635716248448e-01
1.216000000000000014e+01,4.742340318745459360e-01
1.217999999999999972e+01,4.247911728940172438e-01
1.219999999999999929e+01,4.823501104130377692e-01
1.222000000000000064e+01,8.056841666037857230e-01
1.224000000000000021e+01,5.619450071897161836e-01
1.225999999999999979e+01,6.968159149621626636e-01
1.228000000000000114e+01,4.677373589393454267e-01
1.230000000000000071e+01,9.617082358026098898e-01
1.232000000000000028e+01,8.421702487091238254e-01
1.233999999999999986e+01,5.497092354873601705e-01
1.235999999999999943e+01,6.668182383415699466e-01
1.237999999999999901e+01,5.588498494213085532e-01
1.240000000000000036e+01,6.946456114716299535e-01
1.241999999999999993e+01,5.397448922365228885e-01
1.243999999999999950e+01,7.192638151925672130e-01
1.246000000000000085e+01,4.770610650325610713e-01
1.248000000000000043e+01,3.116215432931526697e-01
1.250000000000000000e+01,7.354130473987493533e-01
1.251999999999999957e+01,5.850365269222786990e-01
1.253999999999999915e+01,5.312681195431450121e-01
1.256000000000000050e+01,6.109372740866623186e-01
1.258000000000000007e+01,5.256983596400176539e-01
