# 2Theta,Intensity
1.000000000000000000e+01,5.547111194322121297e-02
1.001999999999999957e+01,4.994089327631236197e-02
1.003999999999999915e+01,9.680369131054249177e-02
1.006000000000000050e+01,1.639686159044805025e-01
1.008000000000000007e+01,2.904254571394900841e-01
1.009999999999999964e+01,9.857723932875002426e-02
1.011999999999999922e+01,-1.151157493746587379e-01
1.014000000000000057e+01,-3.247761749003114096e-02
1.016000000000000014e+01,9.094049152731159547e-02
1.017999999999999972e+01,1.057828207463514525e-01
1.019999999999999929e+01,1.561044210028274537e-01
1.022000000000000064e+01,2.853308265744686212e-02
1.024000000000000021e+01,9.725016845957616674e-02
1.025999999999999979e+01,1.668219150174884979e-01
1.027999999999999936e+01,3.693757087445302401e-01
1.030000000000000071e+01,-3.252694943253990612e-02
1.032000000000000028e+01,2.262549428506986371e-01
1.033999999999999986e+01,1.467835214069857230e-01
1.035999999999999943e+01,-7.471968518665172976e-02
1.038000000000000078e+01,-3.275849273022139740e-02
1.040000000000000036e+01,3.796246141026986265e-02
1.041999999999999993e+01,2.393221065292809244e-02
1.043999999999999950e+01,1.193770594377129846e-01
1.046000000000000085e+01,1.337883905143561758e-01
1.048000000000000043e+01,-2.437938009229551062e-02
1.050000000000000000e+01,1.007053953294481247e-01
1.051999999999999957e+01,1.111950479694824856e-01
1.053999999999999915e+01,6.502023333843513775e-02
1.056000000000000050e+01,2.229039077132524138e-01
1.058000000000000007e+01,2.141232015531920607e-01
1.059999999999999964e+01,3.951788328748795931e-01
1.061999999999999922e+01,1.759562009740709143e-01
1.064000000000000057e+01,1.527656718329351571e-01
1.066000000000000014e+01,2.224845534221625010e-01
1.067999999999999972e+01,3.539013247263851358e-01
1.069999999999999929e+01,-1.037022622080617518e-02
1.072000000000000064e+01,-1.499430956062274556e-01
1.074000000000000021e+01,1.877309648338247872e-01
1.075999999999999979e+01,1.192188512244469617e-01
1.077999999999999936e+01,2.924729248276047855e-01
1.080000000000000071e+01,2.510261680893695682e-02
1.082000000000000028e+01,1.375500780323766492e-01
1.083999999999999986e+01,2.026926631374703358e-01
1.085999999999999943e+01,8.112468387235190204e-02
1.088000000000000078e+01,1.062302476998500111e-01
1.090000000000000036e+01,8.679724830606148911e-02
1.091999999999999993e+01,4.833848982122847526e-01
1.093999999999999950e+01,1.933040979793871350e-01
1.096000000000000085e+01,-8.872486039300065547e-03
1.098000000000000043e+01,8.352410253948515384e-02
1.100000000000000000e+01,2.375174223037813670e-01
1.101999999999999957e+01,1.343735022861034523e-01
1.103999999999999915e+01,3.379117463966636592e-01
1.106000000000000050e+01,1.754878786976795946e-01
1.108000000000000007e+01,1.801125670814068269e-01
1.109999999999999964e+01,3.827449145324169910e-01
1.112000000000000099e+01,2.460400269637035842e-01
1.114000000000000057e+01,1.920358961979875267e-01
1.116000000000000014e+01,6.409189615803093099e-02
1.117999999999999972e+01,1.383982612954232638e-01
1.119999999999999929e+01,1.976485113238528324e-01
1.122000000000000064e+01,-2.862675060698795671e-03
1.124000000000000021e+01,3.456430544147052752e-01
1.125999999999999979e+01,2.001492649258527767e-01
1.127999999999999936e+01,-8.945028691345691466e-04
1.130000000000000071e+01,2.348375835025528213e-01
1.132000000000000028e+01,1.593459752220951486e-01
1.133999999999999986e+01,1.684537571275738499e-01
1.135999999999999943e+01,4.881450128037809894e-02
1.138000000000000078e+01,1.504607208573489896e-01
1.140000000000000036e+01,4.258222759123387463e-02
1.141999999999999993e+01,1.536036138011566687e-01
1.143999999999999950e+01,9.001650187608534193e-02
1.146000000000000085e+01,5.778925142583845459e-02
1.148000000000000043e+01,3.001347738394798403e-01
1.150000000000000000e+01,-1.283253122198547425e-01
1.151999999999999957e+01,1.381154261785620119e-01
1.153999999999999915e+01,-8.991149287530623979e-02
1.156000000000000050e+01,3.132868404071189466e-02
1.158000000000000007e+01,6.034601273046218128e-02
1.159999999999999964e+01,-3.810457158525010560e-03
1.162000000000000099e+01,1.060115390817008840e-01
1.164000000000000057e+01,1.932954870917994450e-01
1.166000000000000014e+01,-7.375090057755315232e-02
1.167999999999999972e+01,1.629950844959206224e-01
1.169999999999999929e+01,1.652772288749955742e-01
1.172000000000000064e+01,1.105096883240849065e-01
1.174000000000000021e+01,1.087839443945357865e-01
1.175999999999999979e+01,-4.623252251771030330e-02
1.177999999999999936e+01,1.610771868948573105e-01
1.180000000000000071e+01,6.515819551296100909e-02
1.182000000000000028e+01,6.781530806785106280e-02
1.183999999999999986e+01,2.186378095325757775e-01
1.185999999999999943e+01,5.151821380269323153e-02
1.188000000000000078e+01,8.247704235002598083e-02
1.190000000000000036e+01,2.350103415946713237e-01
1.191999999999999993e+01,3.732210624196208304e-02
1.193999999999999950e+01,4.003107994787310359e-02
1.196000000000000085e+01,8.530682123667009120e-02
1.198000000000000043e+01,1.339675110233038979e-01
1.200000000000000000e+01,1.131750921645633956e-01
1.201999999999999957e+01,1.668567268425769912e-01
1.203999999999999915e+01,1.186912645113886583e-01
1.206000000000000050e+01,5.214361326960428866e-02
1.208000000000000007e+01,-1.483519218177575295e-02
1.209999999999999964e+01,6.028598174258535669e-02
1.212000000000000099e+01,1.761872176702890536e-01
1.214000000000000057e+01,2.212369148709838335e-02
1.216000000000000014e+01,-7.844510239333473897e-03
1.217999999999999972e+01,1.297047521091788946e-01
1.219999999999999929e+01,4.000741547008569016e-02
1.222000000000000064e+01,8.861737660641307024e-02
1.224000000000000021e+01,2.802430156809739281e-01
1.225999999999999979e+01,8.551477132015361526e-02
1.228000000000000114e+01,1.567292792494404674e-01
1.230000000000000071e+01,-2.023086395639735191e-01
1.232000000000000028e+01,-2.921749791612368238e-02
1.233999999999999986e+01,2.058451759474214660e-01
1.235999999999999943e+01,2.346275218352726066e-01
1.237999999999999901e+01,3.749977406324383478e-01
1.240000000000000036e+01,-8.984051192344565118e-02
1.241999999999999993e+01,1.516180495050391264e-01
1.243999999999999950e+01,-6.210492397483844546e-02
1.246000000000000085e+01,2.617470057432495500e-01
1.248000000000000043e+01,8.222518621860125387e-02
1.250000000000000000e+01,1.736686343491870010e-01
1.251999999999999957e+01,-5.695226693724858569e-02
1.253999999999999915e+01,2.072414237732977393e-01
1.256000000000000050e+01,9.966308502364093491e-02
1.258000000000000007e+01,-5.425410757066764095e-02
1.259999999999999964e+01,1.010638289837881842e-01
1.262000000000000099e+01,2.187257123678044424e-01
1.264000000000000057e+01,-1.435618575291330856e-01
1.266000000000000014e+01,1.910109844329321294e-01
1.267999999999999972e+01,3.874218967490907634e-02
1.269999999999999929e+01,2.541906231148560180e-01
1.272000000000000064e+01,4.021987328252741439e-02
1.274000000000000021e+01,-8.829768450291176907e-02
1.275999999999999979e+01,8.316949767812527317e-02
1.278000000000000114e+01,1.198326141859947375e-01
1.280000000000000071e+01,1.293591875751760045e-01
1.282000000000000028e+01,2.354039930744958042e-01
1.283999999999999986e+01,3.663600292930057484e-02
1.285999999999999943e+01,2.127972346133726322e-01
1.287999999999999901e+01,2.384137845752417051e-01
1.290000000000000036e+01,-8.061996096015804081e-02
1.291999999999999993e+01,2.861168903737793534e-01
1.293999999999999950e+01,3.194949835017402845e-02
1.296000000000000085e+01,1.125486171001422869e-01
1.298000000000000043e+01,1.065231927005100276e-01
1.300000000000000000e+01,4.623015795782158682e-02
1.301999999999999957e+01,2.100047037205491629e-01
1.303999999999999915e+01,2.104946606260814923e-01
1.306000000000000050e+01,4.106259414256341334e-01
1.308000000000000007e+01,5.844275652188572756e-02
1.309999999999999964e+01,2.511511354940276775e-01
