# 2Theta,Intensity
1.000000000000000000e+01,1.183868940996011032e+00
1.001999999999999957e+01,1.124108115154127674e+00
1.003999999999999915e+01,1.003122029757997913e+00
1.006000000000000050e+01,8.798493007565673096e-01
1.008000000000000007e+01,1.333190767188918713e+00
1.009999999999999964e+01,1.549570258963161695e+00
1.011999999999999922e+01,1.505628334788692735e+00
1.014000000000000057e+01,1.217775202364252740e+00
1.016000000000000014e+01,1.448117583956291199e+00
1.017999999999999972e+01,8.118054535140201144e-01
1.019999999999999929e+01,1.020566630335369984e+00
1.022000000000000064e+01,9.087674835814355534e-01
1.024000000000000021e+01,1.171835587951410629e+00
1.025999999999999979e+01,1.045839119366961834e+00
1.027999999999999936e+01,1.141735783826694384e+00
1.030000000000000071e+01,1.052977863316935103e+00
1.032000000000000028e+01,1.310798520617384000e+00
1.033999999999999986e+01,9.225020845905762545e-01
1.035999999999999943e+01,1.262911507590935845e+00
1.038000000000000078e+01,1.070029947919353130e+00
1.040000000000000036e+01,1.006846121549591633e+00
1.041999999999999993e+01,1.057781558599926619e+00
1.043999999999999950e+01,8.701801721670578971e-01
1.046000000000000085e+01,1.331402477526907102e+00
1.048000000000000043e+01,1.024940868212371514e+00
1.050000000000000000e+01,1.200613178941119630e+00
1.051999999999999957e+01,1.021567876492663896e+00
1.053999999999999915e+01,9.211170230137843973e-01
1.056000000000000050e+01,8.263629263926967061e-01
1.058000000000000007e+01,1.128387209578098016e+00
1.059999999999999964e+01,9.763425968659651399e-01
1.061999999999999922e+01,1.141736664204711982e+00
1.064000000000000057e+01,1.041391403438849395e+00
1.066000000000000014e+01,1.254375755009700777e+00
1.067999999999999972e+01,9.361226659403431016e-01
1.069999999999999929e+01,1.171973028259232441e+00
1.072000000000000064e+01,1.253905333719792736e+00
1.074000000000000021e+01,1.050048949327005099e+00
1.075999999999999979e+01,1.135876620163023043e+00
1.077999999999999936e+01,1.024064132597695798e+00
1.080000000000000071e+01,8.961967055507147339e-01
1.082000000000000028e+01,9.481361335166651472e-01
1.083999999999999986e+01,9.542744968830612073e-01
1.085999999999999943e+01,9.225878821168079780e-01
1.088000000000000078e+01,9.799305896721801634e-01
1.090000000000000036e+01,8.140482851396115827e-01
1.091999999999999993e+01,1.147400913854186078e+00
1.093999999999999950e+01,9.905613624737550360e-01
1.096000000000000085e+01,1.386385603924433330e+00
1.098000000000000043e+01,1.033810080406580623e+00
1.100000000000000000e+01,1.120906487628885673e+00
1.101999999999999957e+01,1.152579163198433232e+00
1.103999999999999915e+01,1.016058938206884310e+00
1.106000000000000050e+01,1.249965201764121625e+00
1.108000000000000007e+01,7.212974750433658322e-01
1.109999999999999964e+01,9.224274197151500765e-01
1.112000000000000099e+01,9.165416254710931909e-01
1.114000000000000057e+01,1.185011044990304407e+00
1.116000000000000014e+01,9.409017191579179817e-01
1.117999999999999972e+01,1.204318449890406484e+00
1.119999999999999929e+01,9.906692180431750927e-01
1.122000000000000064e+01,1.026955448035323570e+00
1.124000000000000021e+01,1.212195610801271917e+00
1.125999999999999979e+01,1.075225589617153865e+00
1.127999999999999936e+01,1.062240850360782751e+00
1.130000000000000071e+01,1.406657533272253069e+00
1.132000000000000028e+01,1.334622479477068246e+00
1.133999999999999986e+01,1.221231804576920599e+00
1.135999999999999943e+01,1.119939465029242909e+00
