# 2Theta,Intensity
1.000000000000000000e+01,5.525783882657693269e-01
1.001999999999999957e+01,6.214514536513117138e-01
1.003999999999999915e+01,2.927523267437399102e-01
1.006000000000000050e+01,5.242361489468017055e-01
1.008000000000000007e+01,3.593993616628523013e-01
1.009999999999999964e+01,1.626663949554195132e-01
1.011999999999999922e+01,4.286828487049501035e-01
1.014000000000000057e+01,3.655966238739626339e-01
1.016000000000000014e+01,5.602172629926051028e-01
1.017999999999999972e+01,3.596789824792402945e-01
1.019999999999999929e+01,4.291394628076152240e-01
1.022000000000000064e+01,6.006096619686679405e-01
1.024000000000000021e+01,5.969207529240201371e-01
1.025999999999999979e+01,4.889271349565740832e-01
1.027999999999999936e+01,4.652603072726182454e-01
1.030000000000000071e+01,2.429428232928423081e-01
1.032000000000000028e+01,4.724149758287871093e-01
1.033999999999999986e+01,4.805453835253741257e-01
1.035999999999999943e+01,4.915568356234947256e-01
1.038000000000000078e+01,3.724985044975465676e-01
1.040000000000000036e+01,5.751269771731639668e-01
1.041999999999999993e+01,3.013718353259871585e-01
1.043999999999999950e+01,4.083413145801355615e-01
1.046000000000000085e+01,4.377896876983504160e-01
1.048000000000000043e+01,5.467643274944119502e-01
1.050000000000000000e+01,3.985118084471739874e-01
1.051999999999999957e+01,5.220596618518109633e-01
1.053999999999999915e+01,3.974892911712448185e-01
1.056000000000000050e+01,6.038678195189792763e-01
1.058000000000000007e+01,4.678011874252095414e-01
1.059999999999999964e+01,7.358150638377849440e-01
1.061999999999999922e+01,4.821174039910082199e-01
1.064000000000000057e+01,6.177521456016126233e-01
1.066000000000000014e+01,5.652389456453396077e-01
1.067999999999999972e+01,3.880496334582426154e-01
1.069999999999999929e+01,3.275179324638512468e-01
1.072000000000000064e+01,6.624506075152002404e-01
1.074000000000000021e+01,1.896708984289016964e-01
1.075999999999999979e+01,8.070080746472307887e-01
1.077999999999999936e+01,7.765439598453360848e-01
1.080000000000000071e+01,3.044454003788223395e-01
1.082000000000000028e+01,4.935559436164699831e-01
1.083999999999999986e+01,4.523834097057017889e-01
1.085999999999999943e+01,3.444898490314101669e-01
1.088000000000000078e+01,3.972073516157419437e-01
1.090000000000000036e+01,3.249735694094984528e-01
1.091999999999999993e+01,4.686651657514763758e-01
1.093999999999999950e+01,3.173614496085434555e-01
1.096000000000000085e+01,5.276688220947037822e-01
1.098000000000000043e+01,3.013667161374143921e-01
1.100000000000000000e+01,3.956056822781880422e-01
1.101999999999999957e+01,4.173097105638142179e-01
1.103999999999999915e+01,6.531028847040759588e-01
1.106000000000000050e+01,2.046125603722976360e-01
1.108000000000000007e+01,4.063135692758367834e-01
1.109999999999999964e+01,3.943903186695805196e-01
1.112000000000000099e+01,5.374752825944261181e-01
1.114000000000000057e+01,4.243621137397666776e-01
1.116000000000000014e+01,4.046295474913588763e-01
1.117999999999999972e+01,3.929506620830907626e-01
1.119999999999999929e+01,4.258014405133964675e-01
1.122000000000000064e+01,5.027577641117934037e-01
1.124000000000000021e+01,4.833381575113268047e-01
1.125999999999999979e+01,4.369061005485588289e-01
1.127999999999999936e+01,5.259388197994891989e-01
1.130000000000000071e+01,4.152717941950735403e-01
1.132000000000000028e+01,3.668719597041978364e-01
1.133999999999999986e+01,4.165724565858664463e-01
1.135999999999999943e+01,3.481325990153120720e-01
1.138000000000000078e+01,3.485480016536119385e-01
1.140000000000000036e+01,4.288521310670782571e-01
1.141999999999999993e+01,4.426326721607747317e-01
1.143999999999999950e+01,6.237373639535340741e-01
1.146000000000000085e+01,5.456925836558881304e-01
1.148000000000000043e+01,5.933882151489067169e-01
1.150000000000000000e+01,3.259713838032445854e-01
1.151999999999999957e+01,2.744001254813319690e-01
1.153999999999999915e+01,4.714597629770049814e-01
1.156000000000000050e+01,5.709860336183282259e-01
1.158000000000000007e+01,3.068385615535669242e-01
1.159999999999999964e+01,7.247434882344512275e-01
1.162000000000000099e+01,4.491233452021211048e-01
1.164000000000000057e+01,4.382589921821864465e-01
1.166000000000000014e+01,1.596451533911658061e-01
1.167999999999999972e+01,7.995194459017233024e-01
1.169999999999999929e+01,5.225663383008597451e-01
1.172000000000000064e+01,2.988996596473297851e-01
1.174000000000000021e+01,5.348047001839038028e-01
1.175999999999999979e+01,3.537317506351471130e-01
1.177999999999999936e+01,6.089060364885128251e-01
1.180000000000000071e+01,2.506345732599947196e-01
1.182000000000000028e+01,5.347092395496333417e-01
1.183999999999999986e+01,3.917579496298432273e-01
