# 2Theta,Intensity
1.000000000000000000e+01,3.629095388487358909e-01
1.001999999999999957e+01,1.065832093038143469e-01
1.003999999999999915e+01,4.460534142075139319e-01
1.006000000000000050e+01,1.712830343106641964e-02
1.008000000000000007e+01,4.691064165249456686e-01
1.009999999999999964e+01,3.972023377664329336e-01
1.011999999999999922e+01,3.930696185861158876e-01
1.014000000000000057e+01,2.949426757308309388e-01
1.016000000000000014e+01,2.691634683767384351e-01
1.017999999999999972e+01,2.474049683974211267e-01
1.019999999999999929e+01,2.720654753657152369e-01
1.022000000000000064e+01,3.214357805056258233e-01
1.024000000000000021e+01,4.433343350091645263e-01
1.025999999999999979e+01,2.747274818163368271e-01
1.027999999999999936e+01,4.755432250093427071e-01
1.030000000000000071e+01,4.823953673600022141e-01
1.032000000000000028e+01,4.465952176890756742e-01
1.033999999999999986e+01,5.428440785896793130e-01
1.035999999999999943e+01,8.605142310917415771e-02
1.038000000000000078e+01,1.709290957805852662e-01
1.040000000000000036e+01,1.771683668105549780e-01
1.041999999999999993e+01,2.979397130198196963e-01
1.043999999999999950e+01,3.320511434083514013e-01
1.046000000000000085e+01,3.510400645508354733e-01
1.048000000000000043e+01,2.435822734468534312e-01
1.050000000000000000e+01,2.900263790123398522e-01
1.051999999999999957e+01,4.248094178094453111e-01
1.053999999999999915e+01,2.422529065921528724e-01
1.056000000000000050e+01,5.021281507026038593e-01
1.058000000000000007e+01,4.189875743597197832e-01
1.059999999999999964e+01,4.482942267027682504e-01
1.061999999999999922e+01,2.954811617281238312e-01
1.064000000000000057e+01,2.139889285445408518e-01
1.066000000000000014e+01,1.959468565945566565e-01
1.067999999999999972e+01,9.818927733198884455e-02
1.069999999999999929e+01,2.539387604490499495e-01
1.072000000000000064e+01,2.283800427365287877e-01
1.074000000000000021e+01,3.717093828966291369e-01
1.075999999999999979e+01,4.774629933655968328e-01
1.077999999999999936e+01,4.270768459878310219e-01
1.080000000000000071e+01,2.044947062692604733e-01
1.082000000000000028e+01,4.133457859976875648e-01
1.083999999999999986e+01,3.485386536830966109e-01
1.085999999999999943e+01,4.637904524734269840e-01
1.088000000000000078e+01,3.080918016931566417e-01
1.090000000000000036e+01,2.632321488722227931e-01
1.091999999999999993e+01,3.395865447024841721e-01
1.093999999999999950e+01,3.109128693212835914e-01
1.096000000000000085e+01,3.413441164087848700e-01
1.098000000000000043e+01,5.806711910767412554e-01
1.100000000000000000e+01,3.633818926088621115e-01
1.101999999999999957e+01,-1.202190954340616041e-01
1.103999999999999915e+01,5.907659135697047592e-01
1.106000000000000050e+01,1.617666313902742792e-01
1.108000000000000007e+01,4.652359211354245017e-01
1.109999999999999964e+01,3.984183736872233261e-01
1.112000000000000099e+01,3.682123802265049317e-01
1.114000000000000057e+01,2.888655347637508752e-01
1.116000000000000014e+01,1.236339154739119900e-01
1.117999999999999972e+01,2.844045699985534581e-01
1.119999999999999929e+01,2.789851380247924117e-01
1.122000000000000064e+01,4.118447764723719429e-01
1.124000000000000021e+01,3.215378506366162181e-01
1.125999999999999979e+01,3.780193289412713264e-01
1.127999999999999936e+01,3.440739816181567212e-01
1.130000000000000071e+01,1.522212970431698620e-01
1.132000000000000028e+01,3.527642798792959833e-01
1.133999999999999986e+01,1.605572780267515431e-02
1.135999999999999943e+01,2.391234487410118792e-01
1.138000000000000078e+01,4.065819673204405515e-01
1.140000000000000036e+01,2.858010755916612355e-01
1.141999999999999993e+01,3.481925210223732470e-01
1.143999999999999950e+01,4.287766107108599845e-01
1.146000000000000085e+01,3.414277586992836566e-01
1.148000000000000043e+01,2.522439923419007579e-01
1.150000000000000000e+01,2.414483519899945085e-01
1.151999999999999957e+01,5.520485218804482841e-01
1.153999999999999915e+01,2.401098889571745554e-01
1.156000000000000050e+01,3.822670355986962365e-01
1.158000000000000007e+01,3.383292404204525927e-01
1.159999999999999964e+01,3.479628336534411059e-01
1.162000000000000099e+01,3.299189589462887540e-01
1.164000000000000057e+01,5.336465202205260550e-01
1.166000000000000014e+01,4.338693259207377917e-01
1.167999999999999972e+01,6.600580319429275034e-02
1.169999999999999929e+01,1.870087161346175864e-01
1.172000000000000064e+01,-3.594218600605326042e-03
1.174000000000000021e+01,1.781957795360999963e-01
1.175999999999999979e+01,2.627457554158585395e-01
1.177999999999999936e+01,3.484636948470701268e-01
1.180000000000000071e+01,1.625081952658129492e-01
1.182000000000000028e+01,3.445023928541816605e-01
1.183999999999999986e+01,5.103179125103778357e-01
1.185999999999999943e+01,2.665027501635576224e-01
1.188000000000000078e+01,2.593878964864592129e-01
1.190000000000000036e+01,3.305227647907254540e-01
1.191999999999999993e+01,3.830376715562036627e-01
1.193999999999999950e+01,2.127185564328622769e-01
1.196000000000000085e+01,4.862884011330232403e-01
1.198000000000000043e+01,2.671082486718460713e-01
1.200000000000000000e+01,1.154976040977471197e-01
1.201999999999999957e+01,6.611966815435940115e-01
1.203999999999999915e+01,3.161087990781339535e-02
1.206000000000000050e+01,6.193526922348625563e-01
1.208000000000000007e+01,4.136874201198676437e-01
1.209999999999999964e+01,2.292564871776094082e-01
1.212000000000000099e+01,2.406562436119077664e-01
1.214000000000000057e+01,3.982002320721193533e-01
1.216000000000000014e+01,3.571700417953671547e-01
1.217999999999999972e+01,3.531786943911543464e-01
1.219999999999999929e+01,-4.632041275034740752e-02
1.222000000000000064e+01,3.513153751210193465e-01
1.224000000000000021e+01,3.163689679241794561e-01
1.225999999999999979e+01,3.249320667494781101e-01
1.228000000000000114e+01,4.534274965552188008e-01
1.230000000000000071e+01,1.706041397012785510e-01
1.232000000000000028e+01,3.191967225320475610e-01
1.233999999999999986e+01,6.084531914122471852e-01
1.235999999999999943e+01,5.419015747926591020e-01
1.237999999999999901e+01,2.751690419513516117e-01
1.240000000000000036e+01,4.059238497572211224e-01
1.241999999999999993e+01,4.932870861849127375e-01
1.243999999999999950e+01,3.920272897235866916e-01
1.246000000000000085e+01,3.233674340339029452e-01
1.248000000000000043e+01,3.580402168464477675e-01
1.250000000000000000e+01,4.018024021137518997e-01
1.251999999999999957e+01,3.653861542909178639e-01
1.253999999999999915e+01,1.820578030336207909e-01
1.256000000000000050e+01,2.698916756722123944e-01
1.258000000000000007e+01,5.397122172866671841e-01
1.259999999999999964e+01,2.901558451818550544e-01
1.262000000000000099e+01,4.678215536024768473e-01
1.264000000000000057e+01,2.691526366130275738e-01
1.266000000000000014e+01,4.203825294322627304e-01
1.267999999999999972e+01,2.900181115360291884e-01
1.269999999999999929e+01,2.398864202592452533e-01
1.272000000000000064e+01,2.312502563065179373e-01
1.274000000000000021e+01,5.088703821300172292e-01
1.275999999999999979e+01,5.165802977431934728e-01
1.278000000000000114e+01,4.842711405434531047e-01
1.280000000000000071e+01,3.342987061124053083e-01
1.282000000000000028e+01,3.556187938927828918e-01
1.283999999999999986e+01,2.918283979405804640e-01
1.285999999999999943e+01,4.621263961638141793e-01
1.287999999999999901e+01,3.183836470914247485e-01
1.290000000000000036e+01,3.411031643117946599e-01
1.291999999999999993e+01,3.063038610727916167e-01
1.293999999999999950e+01,1.374485395924751052e-01
1.296000000000000085e+01,3.332932508451385001e-01
1.298000000000000043e+01,4.053100552665489520e-01
1.300000000000000000e+01,3.931874817095214469e-01
1.301999999999999957e+01,3.568290519387686266e-01
1.303999999999999915e+01,3.205665914062859612e-01
1.306000000000000050e+01,3.088638782677667338e-01
1.308000000000000007e+01,3.447929208127770845e-02
1.309999999999999964e+01,6.116816756116797427e-01
1.312000000000000099e+01,2.767359796181919074e-01
1.314000000000000057e+01,2.529178202972156009e-01
1.316000000000000014e+01,3.164405276516206733e-01
1.317999999999999972e+01,3.665964837514737451e-01
1.319999999999999929e+01,1.178996584567071626e-01
1.322000000000000064e+01,4.370804258985781510e-01
1.324000000000000021e+01,2.066232753623198359e-01
1.325999999999999979e+01,4.857189175948677939e-01
1.328000000000000114e+01,5.129392133477479465e-01
1.330000000000000071e+01,3.526685731137357838e-01
1.332000000000000028e+01,3.313134722808230848e-01
1.333999999999999986e+01,5.565526379906353682e-01
1.335999999999999943e+01,5.730969751791537004e-01
1.337999999999999901e+01,4.573971456823955894e-01
1.340000000000000036e+01,2.794051907972788795e-01
1.341999999999999993e+01,3.533546491436840853e-01
1.343999999999999950e+01,3.096635455293750283e-01
1.346000000000000085e+01,2.380723542954339966e-01
1.348000000000000043e+01,5.399008111564679302e-01
1.350000000000000000e+01,4.904706731309073087e-01
1.351999999999999957e+01,4.167645176862960210e-01
1.353999999999999915e+01,4.003177163435835406e-01
1.356000000000000050e+01,4.210106159614838695e-01
1.358000000000000007e+01,4.675371668130701153e-01
1.359999999999999964e+01,7.268090714344154213e-01
1.362000000000000099e+01,8.713212568685899662e-01
1.364000000000000057e+01,2.750804598908601406e+00
1.366000000000000014e+01,6.190238006274008775e+00
1.367999999999999972e+01,9.296865273601341073e+00
1.369999999999999929e+01,7.105855736655921184e+00
1.372000000000000064e+01,2.740949878222267877e+00
1.374000000000000021e+01,1.152685249915323729e+00
1.375999999999999979e+01,6.286540679835254108e-01
1.378000000000000114e+01,4.066181159930989941e-01
1.380000000000000071e+01,3.040359565983385415e-01
1.382000000000000028e+01,2.405374971867322020e-01
1.383999999999999986e+01,3.279306806786350115e-01
1.385999999999999943e+01,4.272506947782343523e-01
1.387999999999999901e+01,3.463281380237980267e-01
1.390000000000000036e+01,3.120121067629147427e-01
1.391999999999999993e+01,5.547231316840373072e-01
1.393999999999999950e+01,2.530149083691622391e-01
1.396000000000000085e+01,5.287595786150502963e-01
1.398000000000000043e+01,3.129417140416048682e-01
1.400000000000000000e+01,3.237331002127251112e-01
1.401999999999999957e+01,5.140326751421618878e-01
1.403999999999999915e+01,3.569734953904693531e-01
1.406000000000000050e+01,5.373411422109082292e-01
1.408000000000000007e+01,-1.890189073078506589e-03
