# 2Theta,Intensity
1.000000000000000000e+01,1.584042788763180831e-01
1.001999999999999957e+01,-1.167096999137918339e-01
1.003999999999999915e+01,1.057297775000992368e-01
1.006000000000000050e+01,-8.118029075523523763e-02
1.008000000000000007e+01,1.228065660466964998e-01
1.009999999999999964e+01,6.506700057680596394e-02
1.011999999999999922e+01,2.456889361131322225e-01
1.014000000000000057e+01,1.387634148907125886e-01
1.016000000000000014e+01,1.928932808533249943e-01
1.017999999999999972e+01,2.175274047112847053e-01
1.019999999999999929e+01,6.465449872129945541e-02
1.022000000000000064e+01,4.350434706701031273e-02
1.024000000000000021e+01,1.444592003284865256e-01
1.025999999999999979e+01,1.893349683058195843e-01
1.027999999999999936e+01,6.952500578583752089e-02
1.030000000000000071e+01,7.281554973015365306e-02
1.032000000000000028e+01,8.094439080199267514e-03
1.033999999999999986e+01,5.780964230008687338e-02
1.035999999999999943e+01,2.460000062514054037e-02
1.038000000000000078e+01,-9.748359861248775959e-02
1.040000000000000036e+01,2.621650330954030661e-01
1.041999999999999993e+01,1.877808803771437440e-01
1.043999999999999950e+01,-1.706434203825540619e-01
1.046000000000000085e+01,1.673011796650994976e-01
1.048000000000000043e+01,3.674130856584814642e-02
1.050000000000000000e+01,-1.064065299819434152e-01
1.051999999999999957e+01,1.200661610658711187e-02
1.053999999999999915e+01,8.818246095588855304e-02
1.056000000000000050e+01,-4.148391456556418944e-02
1.058000000000000007e+01,1.392664974454655147e-01
1.059999999999999964e+01,1.577693510490855711e-01
1.061999999999999922e+01,7.608815042503699888e-02
1.064000000000000057e+01,8.848740631320031746e-02
1.066000000000000014e+01,1.308384631847581692e-01
1.067999999999999972e+01,-6.700555719638490171e-02
1.069999999999999929e+01,5.157579344324197262e-02
1.072000000000000064e+01,2.441555525132846696e-02
1.074000000000000021e+01,-3.724656359629587021e-02
1.075999999999999979e+01,1.044721166984402816e-01
1.077999999999999936e+01,1.322815139348146596e-01
1.080000000000000071e+01,-8.094044613697226609e-02
1.082000000000000028e+01,1.717579366767776616e-01
1.083999999999999986e+01,5.922758931357157558e-02
1.085999999999999943e+01,-1.712970321418478409e-02
1.088000000000000078e+01,4.770752114586251924e-02
1.090000000000000036e+01,2.998571752804579105e-01
1.091999999999999993e+01,8.397691260722750517e-02
1.093999999999999950e+01,1.571508987679757496e-01
1.096000000000000085e+01,-1.302078882376987191e-02
1.098000000000000043e+01,4.045895305960769961e-02
1.100000000000000000e+01,2.087958066020864922e-01
1.101999999999999957e+01,7.419120430391490384e-02
1.103999999999999915e+01,1.212661531669074338e-01
1.106000000000000050e+01,-5.613255853878860308e-02
1.108000000000000007e+01,1.917933711915197070e-01
1.109999999999999964e+01,8.968216590202726657e-02
1.112000000000000099e+01,1.238878645877791729e-02
1.114000000000000057e+01,8.740572627622951452e-02
1.116000000000000014e+01,1.351012005111546233e-01
1.117999999999999972e+01,-1.781153761068474464e-02
1.119999999999999929e+01,5.768431931981869709e-02
1.122000000000000064e+01,4.389219530645025596e-02
1.124000000000000021e+01,3.740203068439935247e-02
1.125999999999999979e+01,2.712653530434996352e-01
1.127999999999999936e+01,3.686317633550725836e-02
1.130000000000000071e+01,3.031304179003723731e-01
1.132000000000000028e+01,1.359601650188231592e-01
1.133999999999999986e+01,1.420915873927706095e-02
1.135999999999999943e+01,6.947576912204200816e-02
1.138000000000000078e+01,-1.026320777632711151e-01
1.140000000000000036e+01,9.666130562317101771e-02
1.141999999999999993e+01,5.909988804354605885e-02
1.143999999999999950e+01,6.962127104442743242e-02
1.146000000000000085e+01,2.956031397304435537e-01
1.148000000000000043e+01,2.734171939540502166e-02
1.150000000000000000e+01,6.377992331951860827e-02
1.151999999999999957e+01,1.825324789490003485e-01
1.153999999999999915e+01,3.833108876867843962e-02
1.156000000000000050e+01,3.817021402418300374e-02
