# 2Theta,Intensity
1.000000000000000000e+01,7.205761093451902577e-02
1.001999999999999957e+01,2.869077131440006534e-01
1.003999999999999915e+01,-9.255852296183662842e-02
1.006000000000000050e+01,2.674405720255569330e-01
1.008000000000000007e+01,1.948170724935249232e-01
1.009999999999999964e+01,1.515413854993031828e-01
1.011999999999999922e+01,1.135837092073497256e-01
1.014000000000000057e+01,1.812597737265731757e-01
1.016000000000000014e+01,9.494547935907638597e-03
1.017999999999999972e+01,1.880827526362681135e-01
1.019999999999999929e+01,2.411284571710539115e-01
1.022000000000000064e+01,3.314829287437404681e-01
1.024000000000000021e+01,1.840573865239101825e-01
1.025999999999999979e+01,1.356579662951057710e-02
1.027999999999999936e+01,8.531692331881965408e-02
1.030000000000000071e+01,1.982271482534905260e-01
1.032000000000000028e+01,1.600021927708791813e-02
1.033999999999999986e+01,5.959297177351260272e-02
1.035999999999999943e+01,1.263846977396737847e-01
1.038000000000000078e+01,2.774005531021256354e-01
1.040000000000000036e+01,1.911231468740842987e-01
1.041999999999999993e+01,2.215749999310174523e-01
1.043999999999999950e+01,1.798064396698086376e-01
1.046000000000000085e+01,1.685405513160052604e-01
1.048000000000000043e+01,2.250664836982240735e-01
1.050000000000000000e+01,2.663949858284523145e-02
1.051999999999999957e+01,1.871531842228196241e-01
1.053999999999999915e+01,2.174409190841406492e-01
1.056000000000000050e+01,1.933413048680736324e-01
1.058000000000000007e+01,6.009752947247696403e-02
1.059999999999999964e+01,7.711685803525807070e-02
1.061999999999999922e+01,2.208831213422433326e-01
1.064000000000000057e+01,1.051441806960103920e-01
1.066000000000000014e+01,1.765331408400780955e-01
1.067999999999999972e+01,3.661843805703048765e-02
1.069999999999999929e+01,2.635786485567088722e-01
1.072000000000000064e+01,2.642216153980945226e-01
1.074000000000000021e+01,1.715647944873806285e-01
1.075999999999999979e+01,1.196658617403871250e-01
1.077999999999999936e+01,2.025572580596915750e-01
1.080000000000000071e+01,4.674389405983410406e-02
1.082000000000000028e+01,-9.120685788178629905e-02
