# 2Theta,Intensity
1.000000000000000000e+01,1.638892049004494478e-01
1.001999999999999957e+01,-2.236801031465298142e-02
1.003999999999999915e+01,2.043507618925730074e-01
1.006000000000000050e+01,-6.753695152105222699e-02
1.008000000000000007e+01,7.651794955668669851e-02
1.009999999999999964e+01,2.741480272397403550e-02
1.011999999999999922e+01,2.037556108456137494e-01
1.014000000000000057e+01,-2.437772278443162827e-02
1.016000000000000014e+01,1.674967171173516196e-03
1.017999999999999972e+01,1.792596503641763206e-01
1.019999999999999929e+01,-5.651582943685128091e-02
1.022000000000000064e+01,1.019937216067480501e-02
1.024000000000000021e+01,7.147407834385682834e-02
1.025999999999999979e+01,1.435018189083911433e-01
1.027999999999999936e+01,-9.313073617601810850e-02
1.030000000000000071e+01,2.407898224378352547e-01
1.032000000000000028e+01,2.054763407122188190e-01
1.033999999999999986e+01,-1.953450680359361188e-02
1.035999999999999943e+01,5.580299169710047080e-02
1.038000000000000078e+01,2.012677543945672054e-01
1.040000000000000036e+01,4.336673988587680384e-02
1.041999999999999993e+01,-1.439569407800527813e-02
1.043999999999999950e+01,-4.953388993408472385e-02
1.046000000000000085e+01,2.019573620834722721e-02
1.048000000000000043e+01,1.084678818054935212e-01
1.050000000000000000e+01,-1.811844471422190475e-02
1.051999999999999957e+01,1.958305757087563381e-01
1.053999999999999915e+01,-3.581888076906251245e-02
1.056000000000000050e+01,1.335493544177540903e-01
1.058000000000000007e+01,1.745406834988717446e-02
1.059999999999999964e+01,3.513914366764342989e-01
1.061999999999999922e+01,1.714740483283151012e-02
1.064000000000000057e+01,-1.366617027237942150e-01
1.066000000000000014e+01,-1.020622377345159204e-01
1.067999999999999972e+01,8.427603993477559424e-03
1.069999999999999929e+01,2.676641136088476758e-01
1.072000000000000064e+01,4.786344280209995500e-02
1.074000000000000021e+01,-1.060748451053113717e-01
1.075999999999999979e+01,2.444952618058895966e-02
1.077999999999999936e+01,2.886153930982670798e-02
1.080000000000000071e+01,4.247621380190815671e-02
1.082000000000000028e+01,-4.280296555226628663e-02
1.083999999999999986e+01,-1.039904284576957383e-01
1.085999999999999943e+01,4.377386019614500079e-02
1.088000000000000078e+01,-1.165135884714457205e-02
1.090000000000000036e+01,8.176146206662779359e-02
1.091999999999999993e+01,-1.545900007033990109e-02
1.093999999999999950e+01,8.798838962799478136e-02
1.096000000000000085e+01,1.753736850270576630e-01
1.098000000000000043e+01,1.081605829734228960e-02
1.100000000000000000e+01,-3.966651740554740652e-02
1.101999999999999957e+01,2.003605551829552300e-01
1.103999999999999915e+01,8.712021967636307540e-02
