# 2Theta,Intensity
1.000000000000000000e+01,-6.684081970422982300e-02
1.001999999999999957e+01,1.679778544428494613e-01
1.003999999999999915e+01,1.797712450954485480e-02
1.006000000000000050e+01,1.582781877238546020e-01
1.008000000000000007e+01,1.570961401911931399e-01
1.009999999999999964e+01,1.612846355628774209e-01
1.011999999999999922e+01,1.159620168829373320e-02
1.014000000000000057e+01,7.101757967481188427e-02
1.016000000000000014e+01,4.592199100378593218e-02
1.017999999999999972e+01,-6.047108208287511194e-03
1.019999999999999929e+01,2.400722687940588448e-02
1.022000000000000064e+01,1.290724745050446723e-02
1.024000000000000021e+01,-8.770860834784883694e-03
1.025999999999999979e+01,2.277770676533403538e-01
1.027999999999999936e+01,1.296661488022252465e-02
1.030000000000000071e+01,-1.451684052937281776e-02
1.032000000000000028e+01,1.038175069604790335e-01
1.033999999999999986e+01,1.182849014487814265e-01
1.035999999999999943e+01,1.175071335191416322e-01
1.038000000000000078e+01,1.504389046272491259e-01
1.040000000000000036e+01,2.283451258629574931e-01
1.041999999999999993e+01,1.185479578268857914e-01
1.043999999999999950e+01,6.698038433079187004e-02
1.046000000000000085e+01,8.408649491786998609e-02
1.048000000000000043e+01,-2.201692552642581929e-02
1.050000000000000000e+01,2.632086753713624994e-01
1.051999999999999957e+01,1.273319283228959709e-01
1.053999999999999915e+01,1.845223523971561974e-01
1.056000000000000050e+01,1.231669328103518618e-01
1.058000000000000007e+01,1.720072990987759620e-01
1.059999999999999964e+01,9.670370029451329230e-02
1.061999999999999922e+01,8.665482996477927302e-02
1.064000000000000057e+01,1.356693343689828191e-01
1.066000000000000014e+01,-1.018322659989296802e-01
1.067999999999999972e+01,1.197848699811036172e-01
1.069999999999999929e+01,2.674223231269988177e-01
1.072000000000000064e+01,7.844261499785845637e-02
1.074000000000000021e+01,1.100844990292702968e-01
1.075999999999999979e+01,-1.238571600173959605e-02
1.077999999999999936e+01,1.421554768309412353e-01
1.080000000000000071e+01,3.825470359491621453e-02
1.082000000000000028e+01,3.030583950148607042e-01
1.083999999999999986e+01,1.937810955477897445e-01
1.085999999999999943e+01,8.415191693001465578e-02
1.088000000000000078e+01,2.388168352233638603e-01
1.090000000000000036e+01,-4.776175653300730154e-04
1.091999999999999993e+01,6.970129609848156604e-02
1.093999999999999950e+01,-1.191569772139141649e-02
1.096000000000000085e+01,2.156517065637469921e-01
1.098000000000000043e+01,2.440786636600929815e-01
1.100000000000000000e+01,3.117633177519187337e-01
1.101999999999999957e+01,3.345136837249771539e-02
1.103999999999999915e+01,1.545261889403221900e-01
1.106000000000000050e+01,2.225745088010686601e-01
