# 2Theta,Intensity
1.000000000000000000e+01,7.062980894467464632e-02
1.001999999999999957e+01,1.283220785048082291e-01
1.003999999999999915e+01,1.776173208566274031e-01
1.006000000000000050e+01,2.794562772765791236e-01
1.008000000000000007e+01,2.326690779284785737e-01
1.009999999999999964e+01,8.200004275173235213e-02
1.011999999999999922e+01,1.052943727388207795e-01
1.014000000000000057e+01,1.671798822621989866e-01
1.016000000000000014e+01,1.433021660594419322e-01
1.017999999999999972e+01,2.208875760655658049e-01
1.019999999999999929e+01,1.731268007570899714e-01
1.022000000000000064e+01,1.737014573868752576e-01
1.024000000000000021e+01,4.953376109954736872e-01
1.025999999999999979e+01,4.721336924162903431e-02
1.027999999999999936e+01,2.149044113528501831e-01
1.030000000000000071e+01,4.799573951889411771e-02
1.032000000000000028e+01,1.362197626673757045e-01
1.033999999999999986e+01,1.068260925710808329e-01
1.035999999999999943e+01,1.922016763881616574e-01
1.038000000000000078e+01,2.632832900995434044e-02
1.040000000000000036e+01,1.273559810978834583e-02
1.041999999999999993e+01,1.559560895662444324e-01
1.043999999999999950e+01,2.221393014534349397e-01
1.046000000000000085e+01,1.682908519409562764e-01
1.048000000000000043e+01,3.707351609353184280e-02
1.050000000000000000e+01,3.055681920787821637e-01
1.051999999999999957e+01,2.513746322724080273e-01
1.053999999999999915e+01,2.783634221638517370e-01
1.056000000000000050e+01,-4.153713959066679395e-02
1.058000000000000007e+01,2.145804676541557821e-01
1.059999999999999964e+01,5.735061347728694775e-02
1.061999999999999922e+01,2.389984278146118080e-01
1.064000000000000057e+01,-1.957186481252005950e-02
1.066000000000000014e+01,3.064448344878202835e-01
1.067999999999999972e+01,1.726967102441084034e-01
1.069999999999999929e+01,1.698287606919872128e-01
1.072000000000000064e+01,1.766532518151354980e-01
1.074000000000000021e+01,1.653407367042267762e-01
1.075999999999999979e+01,6.387939774566081530e-02
1.077999999999999936e+01,3.919795554058727038e-01
1.080000000000000071e+01,4.124302612015724456e-01
1.082000000000000028e+01,-4.182582103574954135e-02
1.083999999999999986e+01,1.120614926971730957e-01
1.085999999999999943e+01,-1.303365970666245637e-03
1.088000000000000078e+01,1.881478047627236916e-01
1.090000000000000036e+01,1.208252268217428482e-01
1.091999999999999993e+01,1.308786211097205388e-01
1.093999999999999950e+01,5.494814437636552640e-02
1.096000000000000085e+01,1.741762453015247014e-01
1.098000000000000043e+01,6.016197172978960533e-02
1.100000000000000000e+01,1.855658743160064905e-01
1.101999999999999957e+01,1.689460372275389810e-01
1.103999999999999915e+01,3.340283466941347257e-01
1.106000000000000050e+01,1.929206943060044754e-01
1.108000000000000007e+01,3.766766721164032522e-02
1.109999999999999964e+01,2.775390137642942401e-01
1.112000000000000099e+01,2.805487080061732641e-01
1.114000000000000057e+01,4.273852455289288699e-01
1.116000000000000014e+01,6.447719503389195972e-02
1.117999999999999972e+01,4.617410404852795303e-01
1.119999999999999929e+01,3.820281417276055191e-01
1.122000000000000064e+01,5.250186267336612866e-01
1.124000000000000021e+01,2.212788644994830856e-01
1.125999999999999979e+01,4.434871815246608229e-01
1.127999999999999936e+01,4.301835672816313183e-01
1.130000000000000071e+01,3.749932270011835378e-01
1.132000000000000028e+01,7.517792720302577392e-01
1.133999999999999986e+01,1.016355229900902435e+00
1.135999999999999943e+01,1.194399950621245932e+00
1.138000000000000078e+01,3.923142115381542894e+00
1.140000000000000036e+01,1.202191346637114933e+01
1.141999999999999993e+01,2.895386088027163041e+01
1.143999999999999950e+01,3.868612628777709261e+01
1.146000000000000085e+01,2.746469160848827329e+01
1.148000000000000043e+01,1.226398592778954111e+01
1.150000000000000000e+01,3.516545587158607766e+00
1.151999999999999957e+01,1.292033970924103992e+00
1.153999999999999915e+01,8.498185199775732945e-01
1.156000000000000050e+01,5.140243335755931842e-01
1.158000000000000007e+01,6.834091596815898839e-01
1.159999999999999964e+01,5.355732171351192950e-01
1.162000000000000099e+01,2.947022638137678507e-01
1.164000000000000057e+01,5.842074789783822247e-02
1.166000000000000014e+01,2.714782060411406461e-01
1.167999999999999972e+01,1.955468580975762427e-01
1.169999999999999929e+01,2.421613903404547796e-01
1.172000000000000064e+01,1.355951819805623904e-01
1.174000000000000021e+01,2.388513607322074739e-01
1.175999999999999979e+01,5.591970349913253369e-01
1.177999999999999936e+01,3.117520589540307974e-01
1.180000000000000071e+01,1.999128894505907417e-01
1.182000000000000028e+01,2.934205067534678690e-01
1.183999999999999986e+01,3.359573433718392454e-01
1.185999999999999943e+01,3.022290866916074181e-01
1.188000000000000078e+01,1.646366952519775217e-01
1.190000000000000036e+01,2.771543631977928523e-01
1.191999999999999993e+01,3.414127219066656060e-01
1.193999999999999950e+01,1.807187972841991230e-01
1.196000000000000085e+01,2.973442219864381175e-01
1.198000000000000043e+01,9.956081665820522286e-02
1.200000000000000000e+01,2.895713648878845969e-01
1.201999999999999957e+01,1.109823440976665521e-01
1.203999999999999915e+01,1.838458105266752296e-01
1.206000000000000050e+01,2.811084507696858248e-01
1.208000000000000007e+01,6.942792159187137491e-02
1.209999999999999964e+01,1.929529180161748125e-01
1.212000000000000099e+01,6.570390673350555433e-02
1.214000000000000057e+01,4.248684754740450487e-01
1.216000000000000014e+01,2.137420783319330386e-01
1.217999999999999972e+01,1.591734061276235401e-01
1.219999999999999929e+01,3.424075428733623638e-02
1.222000000000000064e+01,2.116457313161310694e-01
1.224000000000000021e+01,2.064478216071024552e-01
1.225999999999999979e+01,1.255822182898570505e-01
1.228000000000000114e+01,8.368776166601160638e-02
1.230000000000000071e+01,2.576760118861692872e-01
1.232000000000000028e+01,3.153326060934886765e-01
1.233999999999999986e+01,1.724306439400642987e-01
1.235999999999999943e+01,1.753518605336774894e-01
1.237999999999999901e+01,9.943232347362647439e-02
1.240000000000000036e+01,1.503772096021370464e-01
1.241999999999999993e+01,2.629070954921328696e-01
1.243999999999999950e+01,2.359888495847159984e-01
1.246000000000000085e+01,3.224358296500527410e-01
1.248000000000000043e+01,5.797170675272542151e-02
1.250000000000000000e+01,2.691651267688621174e-01
1.251999999999999957e+01,-4.102039936109977414e-02
1.253999999999999915e+01,7.080703714882362332e-02
1.256000000000000050e+01,2.134830959180896159e-01
1.258000000000000007e+01,1.027043223878257722e-01
1.259999999999999964e+01,1.708138949590960465e-01
1.262000000000000099e+01,1.300955590331425993e-01
1.264000000000000057e+01,1.055646123092046085e-01
1.266000000000000014e+01,2.379623857958480249e-01
1.267999999999999972e+01,6.323897472294839894e-02
1.269999999999999929e+01,4.430193402197121766e-01
1.272000000000000064e+01,-1.077729271977907188e-01
1.274000000000000021e+01,1.280612549098266717e-01
1.275999999999999979e+01,-1.219254650206990365e-01
1.278000000000000114e+01,1.704573092312543225e-01
1.280000000000000071e+01,6.024923188531167845e-02
1.282000000000000028e+01,6.107079699150790714e-02
1.283999999999999986e+01,1.635610729348696835e-01
1.285999999999999943e+01,8.453966416350272225e-03
1.287999999999999901e+01,8.243415733858096284e-02
1.290000000000000036e+01,2.113872339526385036e-01
1.291999999999999993e+01,2.706194468141486231e-01
1.293999999999999950e+01,9.750238103909621146e-02
1.296000000000000085e+01,1.311672128450490638e-01
1.298000000000000043e+01,1.190320592469921168e-01
1.300000000000000000e+01,1.240295289807999413e-01
1.301999999999999957e+01,4.991393303724277891e-02
1.303999999999999915e+01,1.668176970635771028e-01
1.306000000000000050e+01,2.417530251742156314e-02
1.308000000000000007e+01,3.507112688987968491e-02
1.309999999999999964e+01,3.116707097309477370e-01
1.312000000000000099e+01,1.563625215403798285e-01
1.314000000000000057e+01,1.636304317293279798e-01
1.316000000000000014e+01,2.628617613564505628e-01
1.317999999999999972e+01,2.938817156523632623e-01
1.319999999999999929e+01,-1.122131029470048724e-01
1.322000000000000064e+01,2.764576957588478212e-01
1.324000000000000021e+01,9.291218200306322617e-02
1.325999999999999979e+01,2.023084531604176228e-01
1.328000000000000114e+01,1.852003011798269705e-01
1.330000000000000071e+01,4.363304060185600741e-02
1.332000000000000028e+01,1.739444456480754297e-01
1.333999999999999986e+01,-4.564325790003689876e-02
1.335999999999999943e+01,-2.871305272934540978e-02
1.337999999999999901e+01,1.962397584608382428e-01
1.340000000000000036e+01,1.818921209507029235e-01
1.341999999999999993e+01,1.648433640196772521e-01
1.343999999999999950e+01,7.701310712550744897e-02
1.346000000000000085e+01,3.211927223440643742e-01
1.348000000000000043e+01,2.655149379564726297e-01
1.350000000000000000e+01,3.650728529135678913e-01
1.351999999999999957e+01,2.460378632174093916e-01
1.353999999999999915e+01,1.673397160393294003e-01
1.356000000000000050e+01,3.022289698655275525e-02
1.358000000000000007e+01,2.844734291758689304e-01
1.359999999999999964e+01,1.487700799321695078e-01
1.362000000000000099e+01,1.587809765374036119e-01
1.364000000000000057e+01,-1.313973476210274563e-02
1.366000000000000014e+01,2.657631232767918572e-01
1.367999999999999972e+01,5.177952912522255924e-02
1.369999999999999929e+01,1.223187205559573831e-01
1.372000000000000064e+01,2.699589591534976019e-01
1.374000000000000021e+01,-6.334344835553883113e-02
1.375999999999999979e+01,2.166712232421895423e-01
1.378000000000000114e+01,8.701411958609094055e-02
1.380000000000000071e+01,9.829442521793015086e-02
1.382000000000000028e+01,1.443321577012001977e-01
1.383999999999999986e+01,1.040814447629121176e-01
1.385999999999999943e+01,1.409807888661063768e-01
1.387999999999999901e+01,7.212349422972814950e-02
1.390000000000000036e+01,1.600150398572364741e-01
1.391999999999999993e+01,1.115217598293611195e-01
1.393999999999999950e+01,1.383543909875458167e-01
1.396000000000000085e+01,2.695224145611843647e-01
