# 2Theta,Intensity
1.000000000000000000e+01,1.021748813906147614e-02
1.001999999999999957e+01,-2.177392059695071672e-02
1.003999999999999915e+01,1.440312610881721855e-01
1.006000000000000050e+01,-1.500460442839528785e-01
1.008000000000000007e+01,9.420540843874501691e-02
1.009999999999999964e+01,-3.512508491678510009e-02
1.011999999999999922e+01,2.713929955677494288e-01
1.014000000000000057e+01,1.065435334306647913e-01
1.016000000000000014e+01,1.555763791392291984e-01
1.017999999999999972e+01,-1.731953119865016488e-01
1.019999999999999929e+01,8.280039129169972090e-02
1.022000000000000064e+01,3.270823754537739020e-02
1.024000000000000021e+01,-1.210530555378281081e-01
1.025999999999999979e+01,9.872098838434945067e-02
1.027999999999999936e+01,2.012006179182972143e-01
1.030000000000000071e+01,3.125086013464947743e-01
1.032000000000000028e+01,2.563881426613803111e-02
1.033999999999999986e+01,-1.533555990992407740e-03
1.035999999999999943e+01,1.060892461400051306e-01
1.038000000000000078e+01,-1.241788992669675962e-01
1.040000000000000036e+01,-5.762215953814501385e-02
1.041999999999999993e+01,1.626726461875030449e-01
1.043999999999999950e+01,-1.587926508696688860e-02
1.046000000000000085e+01,-7.932774799196673499e-02
1.048000000000000043e+01,1.009760023217227271e-02
1.050000000000000000e+01,1.183928594728925893e-01
1.051999999999999957e+01,-9.497919552328300263e-02
1.053999999999999915e+01,-9.654013815431836121e-02
1.056000000000000050e+01,1.428788345322259436e-02
1.058000000000000007e+01,6.190627594751445251e-02
1.059999999999999964e+01,-1.397686931951111211e-01
1.061999999999999922e+01,2.708804371154093782e-01
1.064000000000000057e+01,2.322651352745051107e-02
1.066000000000000014e+01,-1.524418479181399166e-01
1.067999999999999972e+01,-5.004815007256688264e-02
1.069999999999999929e+01,1.106008829424243167e-01
1.072000000000000064e+01,1.593099639412771662e-01
1.074000000000000021e+01,-7.673826121361462804e-02
1.075999999999999979e+01,1.033358466438365902e-01
1.077999999999999936e+01,9.532874424732580565e-02
1.080000000000000071e+01,9.923074237255574692e-02
1.082000000000000028e+01,1.386489034293643396e-01
1.083999999999999986e+01,-1.082036657546662090e-01
1.085999999999999943e+01,1.742111232704756374e-01
1.088000000000000078e+01,-2.016807121363432126e-02
1.090000000000000036e+01,4.666773405481807781e-03
1.091999999999999993e+01,2.066982478453716077e-01
1.093999999999999950e+01,1.477537832609056578e-01
1.096000000000000085e+01,-9.988538333908633660e-02
1.098000000000000043e+01,-3.927194289286406459e-02
1.100000000000000000e+01,7.054890351700691953e-02
1.101999999999999957e+01,5.875050778377540611e-02
1.103999999999999915e+01,1.266105195679347872e-01
1.106000000000000050e+01,-1.908561974349905557e-02
1.108000000000000007e+01,2.651201681865661963e-01
1.109999999999999964e+01,-1.352652959709605418e-01
1.112000000000000099e+01,-1.915493299947725395e-02
1.114000000000000057e+01,1.109405953286567680e-02
1.116000000000000014e+01,-8.205465788402800664e-02
1.117999999999999972e+01,8.612325464281254950e-02
1.119999999999999929e+01,3.074578818627954346e-02
1.122000000000000064e+01,-5.168200307519219688e-03
1.124000000000000021e+01,-1.849662322080453114e-01
1.125999999999999979e+01,-9.261831484059684927e-02
1.127999999999999936e+01,9.826923756459102210e-02
1.130000000000000071e+01,-4.954046303364321308e-02
1.132000000000000028e+01,1.933062456725194167e-01
1.133999999999999986e+01,-7.476373510573652847e-02
1.135999999999999943e+01,1.229063931985490132e-01
1.138000000000000078e+01,1.630821838943904978e-02
1.140000000000000036e+01,-3.331462184963532996e-02
1.141999999999999993e+01,6.667244336639913116e-02
1.143999999999999950e+01,-1.786353259775964918e-03
1.146000000000000085e+01,1.398109315579739165e-01
1.148000000000000043e+01,8.940735526548361511e-02
1.150000000000000000e+01,-9.459197635111049607e-03
1.151999999999999957e+01,1.930777434716015040e-01
1.153999999999999915e+01,9.516659650112320457e-02
1.156000000000000050e+01,7.871804195653558933e-02
1.158000000000000007e+01,7.128626993834701053e-02
1.159999999999999964e+01,6.104353172030289182e-02
1.162000000000000099e+01,8.691595000650634284e-02
1.164000000000000057e+01,3.172095220405969640e-02
1.166000000000000014e+01,9.533863527586232400e-02
1.167999999999999972e+01,-2.380916928185068324e-02
1.169999999999999929e+01,1.646161104506421377e-02
1.172000000000000064e+01,2.638119341210389771e-03
1.174000000000000021e+01,1.002379256301947213e-01
1.175999999999999979e+01,9.114380602934779585e-02
1.177999999999999936e+01,1.539166798863244590e-01
1.180000000000000071e+01,1.079470609584203267e-01
1.182000000000000028e+01,-4.510914186174184992e-02
1.183999999999999986e+01,-3.855431528411745745e-02
1.185999999999999943e+01,6.990928465762667743e-02
1.188000000000000078e+01,-3.238453172839243083e-02
1.190000000000000036e+01,3.822366475129187341e-02
1.191999999999999993e+01,-3.081570333370223583e-02
1.193999999999999950e+01,6.289397414529451780e-02
1.196000000000000085e+01,1.962327709276548704e-01
1.198000000000000043e+01,-3.266665238562817958e-02
1.200000000000000000e+01,-9.141533483154726594e-03
1.201999999999999957e+01,6.551333778098998584e-02
1.203999999999999915e+01,9.037958502085341461e-02
1.206000000000000050e+01,-9.779295538380178288e-02
1.208000000000000007e+01,1.284899533858734622e-01
1.209999999999999964e+01,-8.116146303880505952e-02
1.212000000000000099e+01,1.893704496176724927e-02
1.214000000000000057e+01,1.405950011459759438e-02
1.216000000000000014e+01,1.673335872376022215e-01
1.217999999999999972e+01,-4.536229712393460844e-02
1.219999999999999929e+01,1.522851181525876341e-01
1.222000000000000064e+01,-1.186470109490600361e-01
1.224000000000000021e+01,-1.787585835083183028e-02
1.225999999999999979e+01,1.320039769749397074e-01
1.228000000000000114e+01,1.442394577207601614e-01
1.230000000000000071e+01,1.961617013755293654e-02
1.232000000000000028e+01,3.611831716901566652e-02
1.233999999999999986e+01,8.506286066950637104e-02
1.235999999999999943e+01,1.605219991450235473e-01
1.237999999999999901e+01,-2.468468049135634154e-02
1.240000000000000036e+01,-2.720363894859291129e-02
1.241999999999999993e+01,-2.075596690456048624e-02
1.243999999999999950e+01,2.230709922554494073e-01
1.246000000000000085e+01,-8.724219953645521997e-02
1.248000000000000043e+01,-1.158066006074621873e-01
1.250000000000000000e+01,9.052240435911387828e-02
1.251999999999999957e+01,5.524719350344861613e-03
1.253999999999999915e+01,-1.001215047963291971e-01
1.256000000000000050e+01,2.630131036082206802e-02
1.258000000000000007e+01,5.061308964234826485e-02
1.259999999999999964e+01,2.164370431335593467e-02
1.262000000000000099e+01,2.849852272603197942e-02
1.264000000000000057e+01,1.327956378081168176e-01
1.266000000000000014e+01,7.580097770238032606e-02
1.267999999999999972e+01,-1.950426034412967857e-02
1.269999999999999929e+01,7.207982342156455009e-03
1.272000000000000064e+01,-8.936151243291215462e-02
1.274000000000000021e+01,-5.003678770307416063e-02
