# 2Theta,Intensity
1.000000000000000000e+01,2.177830034632172868e-02
1.001999999999999957e+01,-1.295809299444805086e-02
1.003999999999999915e+01,3.565418079692404124e-02
1.006000000000000050e+01,4.275298206243358795e-02
1.008000000000000007e+01,2.476472566395543362e-01
1.009999999999999964e+01,1.596850353764465644e-02
1.011999999999999922e+01,-1.375830219896461565e-02
1.014000000000000057e+01,2.422969413652048543e-01
1.016000000000000014e+01,1.382428110015028744e-01
1.017999999999999972e+01,3.206195375977152762e-02
1.019999999999999929e+01,1.302146457985471802e-02
1.022000000000000064e+01,8.912422987708615296e-02
1.024000000000000021e+01,9.807368382984829949e-03
1.025999999999999979e+01,-7.471321210810690470e-03
1.027999999999999936e+01,1.656790654084484837e-01
1.030000000000000071e+01,1.347490840026467351e-01
1.032000000000000028e+01,1.248622891841958127e-01
1.033999999999999986e+01,9.515456410015854516e-02
1.035999999999999943e+01,2.066889674958313217e-01
1.038000000000000078e+01,2.629202179469265488e-01
1.040000000000000036e+01,6.024073996804515940e-02
1.041999999999999993e+01,1.406393034831844302e-01
1.043999999999999950e+01,3.506013779891616750e-02
1.046000000000000085e+01,-8.985902700595754800e-02
1.048000000000000043e+01,8.008082211748046575e-02
1.050000000000000000e+01,1.602989309200109347e-01
1.051999999999999957e+01,1.078512782880690218e-01
1.053999999999999915e+01,-7.049067537291464625e-02
1.056000000000000050e+01,3.330015788252408543e-02
1.058000000000000007e+01,-5.804591608448147338e-02
1.059999999999999964e+01,2.888132701827389806e-02
1.061999999999999922e+01,5.673911479356431170e-02
1.064000000000000057e+01,1.357694845464302302e-01
1.066000000000000014e+01,7.409118576076344220e-02
1.067999999999999972e+01,1.241073989588383497e-01
1.069999999999999929e+01,-6.090334176722081438e-02
1.072000000000000064e+01,1.839048543515132972e-01
1.074000000000000021e+01,1.720849578540803726e-01
1.075999999999999979e+01,1.725229206914500879e-01
1.077999999999999936e+01,5.911467270213328906e-02
1.080000000000000071e+01,2.431822555370876937e-01
1.082000000000000028e+01,2.924037017552193543e-02
1.083999999999999986e+01,3.301735780003662302e-01
1.085999999999999943e+01,-7.369204347355008677e-02
1.088000000000000078e+01,1.868719258437540748e-02
1.090000000000000036e+01,9.949793212280534649e-02
1.091999999999999993e+01,2.164183254424043024e-01
1.093999999999999950e+01,1.715604880641977970e-01
1.096000000000000085e+01,-5.165435555362763581e-02
1.098000000000000043e+01,1.290142924674005653e-01
1.100000000000000000e+01,8.605461562374482065e-02
1.101999999999999957e+01,4.266252495417515063e-03
1.103999999999999915e+01,8.875973323592260822e-02
1.106000000000000050e+01,3.653899841815353433e-01
1.108000000000000007e+01,-5.983110471557272908e-02
1.109999999999999964e+01,1.109733846525011447e-01
1.112000000000000099e+01,1.049723703884914566e-01
1.114000000000000057e+01,-3.292054502376527692e-02
1.116000000000000014e+01,-4.606215965027952997e-02
1.117999999999999972e+01,1.609195491504455677e-01
1.119999999999999929e+01,1.468074290691702699e-01
1.122000000000000064e+01,3.057095429646290441e-01
1.124000000000000021e+01,1.012751673236564204e-01
1.125999999999999979e+01,9.884782615027062902e-02
1.127999999999999936e+01,9.669569281734788357e-02
1.130000000000000071e+01,2.379975915794290686e-01
1.132000000000000028e+01,-8.320759471401028076e-03
1.133999999999999986e+01,-8.686536215938855943e-02
1.135999999999999943e+01,-9.805839719454291503e-03
1.138000000000000078e+01,2.190173467898179904e-01
1.140000000000000036e+01,1.607593050705885263e-01
1.141999999999999993e+01,9.054191731097468998e-02
1.143999999999999950e+01,-3.592834848359500316e-02
1.146000000000000085e+01,-2.819873297829381467e-02
1.148000000000000043e+01,1.477969088072514647e-01
1.150000000000000000e+01,1.075233364355217547e-01
1.151999999999999957e+01,4.090607958230658703e-01
1.153999999999999915e+01,1.267761463826675983e-01
1.156000000000000050e+01,6.634967769011179684e-02
1.158000000000000007e+01,5.715983383696408848e-02
1.159999999999999964e+01,2.281198500187756606e-01
1.162000000000000099e+01,8.074498393321782527e-03
1.164000000000000057e+01,1.409105656134656825e-01
1.166000000000000014e+01,-5.100493701096089211e-02
1.167999999999999972e+01,3.900177678292496286e-03
1.169999999999999929e+01,4.928401216643344546e-02
1.172000000000000064e+01,1.163620011259177411e-01
1.174000000000000021e+01,9.224198513029219226e-02
1.175999999999999979e+01,4.577533145814712684e-02
1.177999999999999936e+01,9.229192329750071644e-02
1.180000000000000071e+01,1.324318494082267206e-01
1.182000000000000028e+01,2.501208383164463256e-02
1.183999999999999986e+01,-3.013332718464096713e-02
1.185999999999999943e+01,6.987380039927411357e-02
1.188000000000000078e+01,-1.695824141567828236e-02
1.190000000000000036e+01,1.928230204504269851e-01
1.191999999999999993e+01,1.672026821370810601e-01
1.193999999999999950e+01,1.912276587276430795e-01
1.196000000000000085e+01,2.617957045115341108e-01
1.198000000000000043e+01,6.590180523139345381e-02
1.200000000000000000e+01,-1.617307965936837580e-02
1.201999999999999957e+01,7.584824231831076291e-02
1.203999999999999915e+01,2.505482239836696046e-01
1.206000000000000050e+01,1.290848617917386143e-01
1.208000000000000007e+01,6.139788706332144352e-02
1.209999999999999964e+01,9.643810879998068741e-02
1.212000000000000099e+01,1.132188960457252286e-01
1.214000000000000057e+01,1.398826210612683640e-01
1.216000000000000014e+01,1.167954173154726605e-01
1.217999999999999972e+01,1.362656483714916322e-02
1.219999999999999929e+01,1.888651829515274327e-01
1.222000000000000064e+01,-7.714974504200244887e-02
1.224000000000000021e+01,1.964857328206554288e-01
