# 2Theta,Intensity
1.000000000000000000e+01,1.607322966913503903e-01
1.001999999999999957e+01,2.552245576900049051e-01
1.003999999999999915e+01,2.647733987817841791e-02
1.006000000000000050e+01,-4.394708178121690262e-02
1.008000000000000007e+01,2.128221644010958313e-01
1.009999999999999964e+01,1.269074870015911849e-01
1.011999999999999922e+01,1.724482192703825079e-01
1.014000000000000057e+01,-8.591122872929515819e-02
1.016000000000000014e+01,-2.194561566082432399e-02
1.017999999999999972e+01,7.155639086922857550e-02
1.019999999999999929e+01,2.060361895230094498e-01
1.022000000000000064e+01,1.063177686182014831e-01
1.024000000000000021e+01,1.895411028766151931e-02
1.025999999999999979e+01,1.338815875245346620e-01
1.027999999999999936e+01,5.355205236524870037e-03
1.030000000000000071e+01,1.038839679517721964e-01
1.032000000000000028e+01,7.834494574934781908e-02
1.033999999999999986e+01,1.825802973913714378e-01
1.035999999999999943e+01,7.540421928025685394e-02
1.038000000000000078e+01,9.966190740832729655e-02
1.040000000000000036e+01,1.030410828841302473e-01
1.041999999999999993e+01,8.638355729546567940e-02
1.043999999999999950e+01,3.069271174255916446e-01
1.046000000000000085e+01,6.684422407106611896e-02
1.048000000000000043e+01,1.288200609804099894e-01
1.050000000000000000e+01,1.211215213776336980e-01
1.051999999999999957e+01,1.823583855584866020e-01
1.053999999999999915e+01,2.830565360715721068e-01
1.056000000000000050e+01,-1.945500938038253330e-02
1.058000000000000007e+01,1.606356057808636661e-01
1.059999999999999964e+01,3.394361884123203721e-01
1.061999999999999922e+01,-7.033090511659742528e-02
1.064000000000000057e+01,1.728336300490183192e-02
1.066000000000000014e+01,2.353074577870600814e-01
1.067999999999999972e+01,1.267143810355219891e-01
1.069999999999999929e+01,1.381672294260585798e-01
1.072000000000000064e+01,2.050784573966958069e-01
1.074000000000000021e+01,-5.555832759172046886e-02
1.075999999999999979e+01,3.868342551996342693e-01
1.077999999999999936e+01,1.232709693972836862e-01
1.080000000000000071e+01,2.565280523339893426e-01
1.082000000000000028e+01,1.850608312855616666e-01
1.083999999999999986e+01,7.342947959958021076e-02
1.085999999999999943e+01,2.050509151302992994e-01
1.088000000000000078e+01,1.626692533999388179e-01
1.090000000000000036e+01,1.562446535740646680e-01
1.091999999999999993e+01,7.440666754625703538e-02
1.093999999999999950e+01,1.992201804851643498e-01
1.096000000000000085e+01,7.932651860806524957e-02
1.098000000000000043e+01,1.431746522012224132e-01
1.100000000000000000e+01,1.981688579880517831e-01
1.101999999999999957e+01,1.574660168941411642e-01
1.103999999999999915e+01,1.179398447662169808e-01
1.106000000000000050e+01,6.929508921016012957e-02
1.108000000000000007e+01,2.253614707532310968e-01
1.109999999999999964e+01,-1.939063561903494638e-03
1.112000000000000099e+01,-7.319163181551352482e-02
1.114000000000000057e+01,1.155820208375557545e-01
1.116000000000000014e+01,6.028491105221892021e-02
