# 2Theta,Intensity
1.000000000000000000e+01,1.973333112937677436e-01
1.001999999999999957e+01,2.015688885903767213e-01
1.003999999999999915e+01,1.532100622753462538e-01
1.006000000000000050e+01,4.353295497718345786e-01
1.008000000000000007e+01,2.394648814704916917e-01
1.009999999999999964e+01,2.571304803987320420e-01
1.011999999999999922e+01,4.304663384471195675e-01
1.014000000000000057e+01,1.068429536570224270e-01
1.016000000000000014e+01,7.707977989420582154e-02
1.017999999999999972e+01,9.192691978291914201e-02
1.019999999999999929e+01,3.662177842878437950e-01
1.022000000000000064e+01,1.799203308812521718e-01
1.024000000000000021e+01,-1.133675926425338487e-02
1.025999999999999979e+01,2.977655628019685863e-01
1.027999999999999936e+01,2.515232188934700686e-01
1.030000000000000071e+01,1.346548200528037142e-01
1.032000000000000028e+01,7.857178947362900012e-02
1.033999999999999986e+01,4.508557800314219252e-03
1.035999999999999943e+01,3.691773804746020793e-01
1.038000000000000078e+01,1.835254795653541160e-01
1.040000000000000036e+01,1.269485817321628907e-01
1.041999999999999993e+01,-4.406008080486584211e-02
1.043999999999999950e+01,1.719461233482947882e-01
1.046000000000000085e+01,2.465338856452774230e-01
1.048000000000000043e+01,9.640874543190057488e-02
1.050000000000000000e+01,-7.919417753405816676e-03
1.051999999999999957e+01,8.933207066736617574e-02
1.053999999999999915e+01,1.333527513331914105e-01
1.056000000000000050e+01,-1.555539835317388923e-02
1.058000000000000007e+01,-1.738988916770556337e-02
1.059999999999999964e+01,2.870688038459834890e-01
1.061999999999999922e+01,1.750712420647105028e-01
1.064000000000000057e+01,3.499976230861163648e-03
1.066000000000000014e+01,9.423329981589194382e-02
1.067999999999999972e+01,5.778727735990961401e-02
1.069999999999999929e+01,2.739679336071731974e-01
1.072000000000000064e+01,2.084286477827378137e-01
1.074000000000000021e+01,6.943618535133593006e-02
1.075999999999999979e+01,3.056753242145515692e-01
1.077999999999999936e+01,3.776426373869069542e-01
1.080000000000000071e+01,1.535361810568550978e-01
1.082000000000000028e+01,1.631999761758658463e-01
1.083999999999999986e+01,1.124922835298794999e-01
1.085999999999999943e+01,4.089849681338624254e-01
1.088000000000000078e+01,2.242517894775160614e-01
1.090000000000000036e+01,8.923706740404535598e-02
1.091999999999999993e+01,5.196735124215945412e-01
1.093999999999999950e+01,6.579498694706172046e-02
1.096000000000000085e+01,5.400342292296270164e-02
1.098000000000000043e+01,3.088523764476596156e-01
1.100000000000000000e+01,1.418257995506984892e-01
1.101999999999999957e+01,-6.141252178562011527e-02
1.103999999999999915e+01,2.270041878699145532e-01
1.106000000000000050e+01,3.988857906041607393e-01
1.108000000000000007e+01,9.492464491048030473e-02
1.109999999999999964e+01,8.285938219602763388e-02
1.112000000000000099e+01,1.106262389962995862e-01
1.114000000000000057e+01,1.057190204710208303e-01
1.116000000000000014e+01,2.220034490264589100e-01
1.117999999999999972e+01,2.670954971102580400e-01
1.119999999999999929e+01,1.900292383665896367e-01
1.122000000000000064e+01,4.428279320129934193e-01
1.124000000000000021e+01,4.075038682873654561e-01
1.125999999999999979e+01,1.922343247667843980e-01
1.127999999999999936e+01,4.038333051886105508e-03
1.130000000000000071e+01,7.140266572619059782e-02
1.132000000000000028e+01,2.452509397648023337e-01
1.133999999999999986e+01,2.648897217004311799e-01
1.135999999999999943e+01,2.772439946213509088e-01
1.138000000000000078e+01,1.445088168838131459e-01
1.140000000000000036e+01,7.003527780882461140e-02
1.141999999999999993e+01,3.410780104821939385e-02
1.143999999999999950e+01,1.354283953364104065e-01
1.146000000000000085e+01,1.280486773472884476e-01
1.148000000000000043e+01,1.533655331695578383e-01
1.150000000000000000e+01,2.489605039770968475e-01
1.151999999999999957e+01,3.164553097629738826e-02
1.153999999999999915e+01,3.674229889738334087e-01
1.156000000000000050e+01,3.112431150386026357e-01
1.158000000000000007e+01,3.366880990862594625e-01
1.159999999999999964e+01,1.782872358269303459e-01
1.162000000000000099e+01,1.430241347614130132e-01
1.164000000000000057e+01,1.848345890617373311e-01
1.166000000000000014e+01,2.520851517292733990e-02
1.167999999999999972e+01,2.665358804222284217e-02
1.169999999999999929e+01,1.950104869860032619e-01
1.172000000000000064e+01,1.228255484751889642e-01
1.174000000000000021e+01,1.085070298683508960e-01
1.175999999999999979e+01,3.367587495225131677e-01
1.177999999999999936e+01,7.618455628743724117e-02
1.180000000000000071e+01,3.417325737857913187e-02
1.182000000000000028e+01,2.013953936324969496e-01
1.183999999999999986e+01,-1.947732707125003904e-01
1.185999999999999943e+01,2.526881910831272338e-01
1.188000000000000078e+01,1.439829645071297737e-01
1.190000000000000036e+01,2.291508427894997368e-01
1.191999999999999993e+01,2.554436400189334933e-01
1.193999999999999950e+01,2.769091950813952208e-01
1.196000000000000085e+01,3.427866823827098175e-01
1.198000000000000043e+01,1.400419864545145165e-01
1.200000000000000000e+01,1.466750520359355880e-01
1.201999999999999957e+01,1.678520155176383422e-01
1.203999999999999915e+01,1.253568061542466305e-01
1.206000000000000050e+01,3.362131328049191570e-01
1.208000000000000007e+01,2.537513489624015905e-01
1.209999999999999964e+01,2.490939627126481093e-01
1.212000000000000099e+01,2.225206854731593131e-01
1.214000000000000057e+01,1.776029452171914436e-01
1.216000000000000014e+01,3.568031110417463903e-01
1.217999999999999972e+01,5.597974394913166063e-02
1.219999999999999929e+01,2.364949952633278729e-02
1.222000000000000064e+01,5.166344124251399939e-02
1.224000000000000021e+01,9.710168966301478688e-02
1.225999999999999979e+01,2.469030416958888641e-01
1.228000000000000114e+01,3.872187240594968660e-01
1.230000000000000071e+01,2.698738651717820791e-01
1.232000000000000028e+01,2.792078722640291555e-01
1.233999999999999986e+01,5.734198527972087650e-02
1.235999999999999943e+01,2.836466145947788564e-01
1.237999999999999901e+01,1.369497668051566225e-02
1.240000000000000036e+01,3.932613329114199863e-02
1.241999999999999993e+01,2.434164970333010380e-01
1.243999999999999950e+01,1.122038910341836560e-01
1.246000000000000085e+01,1.417589552365188799e-01
1.248000000000000043e+01,2.862673914382868334e-01
1.250000000000000000e+01,6.031087942602815499e-02
1.251999999999999957e+01,3.057550471554535410e-01
1.253999999999999915e+01,6.973434721994195909e-03
1.256000000000000050e+01,6.166532054915339206e-02
1.258000000000000007e+01,2.102862663801653431e-01
1.259999999999999964e+01,4.201487540602765747e-01
1.262000000000000099e+01,1.217422775822401410e-02
1.264000000000000057e+01,2.666195308163285191e-02
1.266000000000000014e+01,3.676860722109884239e-02
1.267999999999999972e+01,1.148347900536327848e-01
1.269999999999999929e+01,2.025806782343288481e-01
1.272000000000000064e+01,1.570278788514868906e-01
1.274000000000000021e+01,1.049282582858303836e-01
1.275999999999999979e+01,1.891493217887237066e-01
1.278000000000000114e+01,2.329450792433561679e-01
1.280000000000000071e+01,1.081725861295648045e-01
1.282000000000000028e+01,1.488284960452982732e-02
1.283999999999999986e+01,3.010143934648996100e-01
1.285999999999999943e+01,5.327652142664509455e-02
1.287999999999999901e+01,3.740218737114955200e-02
1.290000000000000036e+01,2.921700178556979055e-01
1.291999999999999993e+01,1.906761696228628788e-01
1.293999999999999950e+01,2.607214589354903689e-01
1.296000000000000085e+01,-2.291617472531199892e-02
1.298000000000000043e+01,1.693588329023782146e-01
1.300000000000000000e+01,2.595793741785502526e-02
1.301999999999999957e+01,1.012398177595265625e-01
1.303999999999999915e+01,2.728692427633561124e-01
1.306000000000000050e+01,2.163880231547185562e-01
1.308000000000000007e+01,1.633646977461161720e-01
1.309999999999999964e+01,-4.250381051688118667e-02
1.312000000000000099e+01,7.980394266761665911e-02
1.314000000000000057e+01,2.539161826186190352e-01
1.316000000000000014e+01,2.701730645889806603e-01
1.317999999999999972e+01,2.642786499706828440e-01
1.319999999999999929e+01,3.493393627865959417e-01
1.322000000000000064e+01,1.530511134224870062e-01
1.324000000000000021e+01,8.403153996058186637e-02
1.325999999999999979e+01,1.321688162394860644e-01
1.328000000000000114e+01,1.701897123699869785e-01
1.330000000000000071e+01,1.357563686418630511e-01
1.332000000000000028e+01,3.161301803522403864e-01
1.333999999999999986e+01,3.319109430068677979e-01
1.335999999999999943e+01,1.364291363056663597e-01
1.337999999999999901e+01,1.064493736679232860e-01
1.340000000000000036e+01,1.180829541225665857e-01
1.341999999999999993e+01,1.885742302800775538e-01
1.343999999999999950e+01,3.333176267910991086e-01
1.346000000000000085e+01,3.061854845849341644e-01
1.348000000000000043e+01,1.383446989391081960e-01
1.350000000000000000e+01,3.112563546878872045e-01
1.351999999999999957e+01,3.448922952529837049e-01
1.353999999999999915e+01,1.358341044053557045e-02
1.356000000000000050e+01,1.568042629347996680e-02
1.358000000000000007e+01,6.484710975996077487e-02
1.359999999999999964e+01,1.526555683735422199e-03
1.362000000000000099e+01,1.395876748734256878e-01
1.364000000000000057e+01,-2.715407583515429268e-02
1.366000000000000014e+01,9.892855481741645585e-02
1.367999999999999972e+01,1.205486825566837311e-01
1.369999999999999929e+01,3.138193197936286483e-01
1.372000000000000064e+01,6.918428055711760283e-02
1.374000000000000021e+01,-8.096312017573055464e-03
1.375999999999999979e+01,2.905077488545118047e-01
1.378000000000000114e+01,3.898329909294404039e-01
1.380000000000000071e+01,1.880563371078462775e-01
1.382000000000000028e+01,3.443057669839428292e-01
1.383999999999999986e+01,2.056689694098995658e-01
1.385999999999999943e+01,1.242280221554438596e-01
1.387999999999999901e+01,1.411295937471099826e-01
1.390000000000000036e+01,2.421024578919973025e-01
1.391999999999999993e+01,1.657528690713112041e-01
1.393999999999999950e+01,3.982760082856703909e-02
1.396000000000000085e+01,1.413654636499923900e-01
1.398000000000000043e+01,1.966211492058863586e-01
1.400000000000000000e+01,-3.760788544665832553e-03
1.401999999999999957e+01,1.776407871950973494e-01
1.403999999999999915e+01,2.096527123139420856e-01
1.406000000000000050e+01,4.836655488946030590e-01
1.408000000000000007e+01,6.069263306950177517e-02
1.409999999999999964e+01,1.933282551813870487e-01
1.412000000000000099e+01,4.371641453209652584e-01
1.414000000000000057e+01,7.878442100288175765e-02
1.416000000000000014e+01,1.370409001709217978e-01
1.417999999999999972e+01,1.407875039564666086e-01
1.419999999999999929e+01,1.785052761329554982e-01
1.421999999999999886e+01,3.211463192011702016e-03
1.424000000000000021e+01,1.801605964130038040e-01
1.425999999999999979e+01,2.106636616672866169e-01
1.428000000000000114e+01,1.696608796739651828e-02
1.430000000000000071e+01,-9.238778421559359477e-05
1.432000000000000028e+01,1.278998073858880757e-01
1.433999999999999986e+01,8.803592325050886569e-02
1.435999999999999943e+01,6.757544279799986009e-02
1.437999999999999901e+01,1.987517884485762165e-01
1.440000000000000036e+01,2.740957897528853437e-01
1.441999999999999993e+01,1.944970902116980871e-01
1.444000000000000128e+01,1.009895843493687495e-01
1.446000000000000085e+01,1.030291646683515749e-01
1.448000000000000043e+01,3.937647128016303344e-01
1.450000000000000000e+01,1.067598872443431268e-01
1.451999999999999957e+01,2.246909583406593580e-02
1.453999999999999915e+01,-3.655614093893328614e-02
1.456000000000000050e+01,1.395021137923432575e-01
1.458000000000000007e+01,2.036464147449776330e-01
1.460000000000000142e+01,2.233021121809331544e-01
1.462000000000000099e+01,1.987064968509868745e-01
1.464000000000000057e+01,1.842297262958076942e-01
1.466000000000000014e+01,1.529686227466920123e-01
1.467999999999999972e+01,1.090388638075374533e-01
1.469999999999999929e+01,3.047530191039405367e-01
1.471999999999999886e+01,2.404632717525229668e-01
1.474000000000000021e+01,1.922007553339585839e-01
1.475999999999999979e+01,2.729234986786235884e-01
1.478000000000000114e+01,4.111053138724510281e-01
1.480000000000000071e+01,5.218505668001313658e-02
1.482000000000000028e+01,3.277029146352923306e-01
1.483999999999999986e+01,2.904527126514242497e-01
1.485999999999999943e+01,2.468867121111288920e-01
1.487999999999999901e+01,1.686350704331132655e-01
1.490000000000000036e+01,1.848802132713860125e-01
1.491999999999999993e+01,3.925300129710641017e-01
1.494000000000000128e+01,1.387682475732243126e-01
1.496000000000000085e+01,1.344815895000060213e-01
1.498000000000000043e+01,1.887641751514298472e-01
1.500000000000000000e+01,1.494302401441895134e-01
1.501999999999999957e+01,3.737549409969184722e-01
1.503999999999999915e+01,2.615667706462210806e-01
1.506000000000000050e+01,1.860272741391230666e-01
1.508000000000000007e+01,3.057453250048078330e-01
1.510000000000000142e+01,6.157397181395713598e-02
1.512000000000000099e+01,2.846946206126288459e-01
1.514000000000000057e+01,3.611474332597648385e-01
1.516000000000000014e+01,6.960621756680163141e-03
1.517999999999999972e+01,2.877032560815334095e-01
1.519999999999999929e+01,1.379123610180368054e-01
1.521999999999999886e+01,1.244561613231379288e-01
1.524000000000000021e+01,2.867683779378984998e-01
1.525999999999999979e+01,2.479895412145231848e-01
1.528000000000000114e+01,1.026034318517452248e-01
1.530000000000000071e+01,5.665357166259240435e-02
1.532000000000000028e+01,2.479020370672949669e-01
1.533999999999999986e+01,-4.660666373446391286e-02
1.535999999999999943e+01,2.471454920667531530e-01
1.537999999999999901e+01,2.778911763490578002e-01
1.540000000000000036e+01,3.489123821568121953e-01
1.541999999999999993e+01,1.011171952486436890e-02
1.544000000000000128e+01,3.549966693720892907e-01
1.546000000000000085e+01,1.724758971538777608e-01
1.548000000000000043e+01,1.497780414062541698e-01
