# 2Theta,Intensity
1.000000000000000000e+01,6.969459124958818363e-02
1.001999999999999957e+01,-1.263704380359993162e-01
1.003999999999999915e+01,-1.710978673800213623e-01
1.006000000000000050e+01,2.208680895514387177e-01
1.008000000000000007e+01,-3.230929758030982608e-03
1.009999999999999964e+01,4.911959850642399344e-02
1.011999999999999922e+01,6.669155023990853970e-03
1.014000000000000057e+01,1.037966969105659359e-01
1.016000000000000014e+01,1.082557407349157563e-01
1.017999999999999972e+01,1.486458543628054185e-01
1.019999999999999929e+01,-4.672040614610867282e-02
1.022000000000000064e+01,1.301289828199103382e-01
1.024000000000000021e+01,-9.974500140874037121e-03
1.025999999999999979e+01,1.742542024233080800e-01
1.027999999999999936e+01,1.775844648079205057e-01
1.030000000000000071e+01,9.637479347887599468e-02
1.032000000000000028e+01,3.490737872267797581e-02
1.033999999999999986e+01,1.499594245923262237e-01
1.035999999999999943e+01,1.108610673582212242e-01
1.038000000000000078e+01,-6.236931616480745171e-03
1.040000000000000036e+01,4.275977804991284298e-02
1.041999999999999993e+01,2.621874524421984320e-01
1.043999999999999950e+01,4.825030717980578060e-02
1.046000000000000085e+01,-7.491614280623837274e-02
1.048000000000000043e+01,2.298666367145427505e-02
1.050000000000000000e+01,1.028390928329348392e-01
1.051999999999999957e+01,1.247609058988562308e-01
1.053999999999999915e+01,-1.208464029536961441e-03
1.056000000000000050e+01,1.854894980703365448e-01
1.058000000000000007e+01,1.225245163666932452e-01
1.059999999999999964e+01,-4.429432429658478748e-02
1.061999999999999922e+01,2.379816715226784340e-01
1.064000000000000057e+01,7.765812803118922469e-02
1.066000000000000014e+01,-1.298501372639446205e-01
1.067999999999999972e+01,1.001675780857755882e-01
1.069999999999999929e+01,7.927355528309511234e-03
1.072000000000000064e+01,1.153184475278314254e-02
1.074000000000000021e+01,1.311370019417176964e-02
1.075999999999999979e+01,9.974063271512567663e-03
1.077999999999999936e+01,-1.136232969131066757e-02
1.080000000000000071e+01,-2.276560138913757969e-02
1.082000000000000028e+01,-7.878649022677861047e-02
1.083999999999999986e+01,1.171452779019852286e-01
1.085999999999999943e+01,6.696248631012227670e-02
1.088000000000000078e+01,-3.322316012554234199e-02
1.090000000000000036e+01,2.292784377192709222e-01
1.091999999999999993e+01,-9.646144425153045654e-02
1.093999999999999950e+01,1.213737951172963849e-03
1.096000000000000085e+01,-1.732599927158669506e-01
