# 2Theta,Intensity
1.000000000000000000e+01,3.223152038226689275e-01
1.001999999999999957e+01,1.348470495655557100e-01
1.003999999999999915e+01,4.815422381726539025e-02
1.006000000000000050e+01,2.057892577975719839e-01
1.008000000000000007e+01,4.609993345974297552e-02
1.009999999999999964e+01,2.601700175731010978e-01
1.011999999999999922e+01,8.485855835199375419e-02
1.014000000000000057e+01,-1.520812561433369965e-02
1.016000000000000014e+01,1.531056317737582995e-01
1.017999999999999972e+01,1.274754027489602148e-01
1.019999999999999929e+01,4.769002224317370198e-02
1.022000000000000064e+01,-1.471177958442527189e-01
1.024000000000000021e+01,3.113465829068369842e-02
1.025999999999999979e+01,3.362244806229192085e-01
1.027999999999999936e+01,6.452974554912833949e-02
1.030000000000000071e+01,1.210224470395025870e-01
1.032000000000000028e+01,6.994328811765383735e-02
1.033999999999999986e+01,1.115402188736524108e-01
1.035999999999999943e+01,9.694257759525390372e-02
1.038000000000000078e+01,1.996050349220074016e-01
1.040000000000000036e+01,7.111900203662183118e-02
1.041999999999999993e+01,1.599931828810789158e-01
1.043999999999999950e+01,6.256851153910120145e-02
1.046000000000000085e+01,-4.831080613549118704e-04
1.048000000000000043e+01,3.125903579149852396e-01
1.050000000000000000e+01,1.002578152393604344e-01
1.051999999999999957e+01,-1.426174786065076937e-02
1.053999999999999915e+01,5.145527051468201662e-03
1.056000000000000050e+01,3.331268749651566385e-01
1.058000000000000007e+01,1.801632715418127056e-02
1.059999999999999964e+01,1.681131459876059053e-01
1.061999999999999922e+01,9.971746191005328996e-02
1.064000000000000057e+01,1.081306136047533173e-01
1.066000000000000014e+01,-5.130053616676400613e-02
1.067999999999999972e+01,8.696849131368569741e-02
1.069999999999999929e+01,1.502626128024839580e-01
1.072000000000000064e+01,3.924865372245359835e-02
1.074000000000000021e+01,9.921243352069969434e-02
1.075999999999999979e+01,2.206557069472274701e-01
1.077999999999999936e+01,1.141166140811915586e-01
1.080000000000000071e+01,2.806555593291222839e-01
1.082000000000000028e+01,1.121310549470273636e-02
1.083999999999999986e+01,1.021163427557665593e-01
1.085999999999999943e+01,2.078419658902259659e-01
1.088000000000000078e+01,2.219496319038572196e-01
1.090000000000000036e+01,1.422288646532725020e-01
1.091999999999999993e+01,7.357027067496310635e-02
1.093999999999999950e+01,1.466763632162417785e-01
1.096000000000000085e+01,-1.221532681016738661e-02
1.098000000000000043e+01,2.354166971185783774e-01
1.100000000000000000e+01,1.685867085674654098e-01
1.101999999999999957e+01,2.387899990471244738e-01
1.103999999999999915e+01,-5.146649691341943778e-02
1.106000000000000050e+01,1.839182352315675006e-01
1.108000000000000007e+01,-9.309826138853065326e-04
1.109999999999999964e+01,2.394699130233549633e-01
1.112000000000000099e+01,2.479452664816609864e-01
1.114000000000000057e+01,1.911953099505852849e-01
1.116000000000000014e+01,1.465999340268107909e-01
1.117999999999999972e+01,4.280949889814771037e-02
1.119999999999999929e+01,3.401305413086627011e-02
1.122000000000000064e+01,9.985322164393956035e-02
1.124000000000000021e+01,7.743117541586348740e-02
1.125999999999999979e+01,1.169229363962654838e-01
1.127999999999999936e+01,8.598335311814010729e-02
1.130000000000000071e+01,2.316161047081168045e-01
1.132000000000000028e+01,1.224003146740164499e-01
