# 2Theta,Intensity
1.000000000000000000e+01,3.222993667938940932e-01
1.001999999999999957e+01,1.240301916519103986e-01
1.003999999999999915e+01,1.389807320162522453e-01
1.006000000000000050e+01,1.604666823997865643e-01
1.008000000000000007e+01,4.107127496524527570e-03
1.009999999999999964e+01,-7.764996442162321044e-02
1.011999999999999922e+01,2.582839874560353133e-01
1.014000000000000057e+01,3.201224509148262870e-02
1.016000000000000014e+01,-1.046118133174342262e-02
1.017999999999999972e+01,7.178701763963396543e-02
1.019999999999999929e+01,2.747188009292090838e-01
1.022000000000000064e+01,1.668574165707715495e-01
1.024000000000000021e+01,6.148320080277350913e-02
1.025999999999999979e+01,1.400061965520247032e-01
1.027999999999999936e+01,1.339503286946199523e-01
1.030000000000000071e+01,-7.109972885006925376e-03
1.032000000000000028e+01,1.486044324469732725e-01
1.033999999999999986e+01,1.203443464985299860e-01
1.035999999999999943e+01,-4.423268065533467880e-02
1.038000000000000078e+01,9.153075323870728253e-02
1.040000000000000036e+01,2.036914996239242229e-02
1.041999999999999993e+01,2.834127927213223597e-01
1.043999999999999950e+01,-6.901021224813242913e-03
1.046000000000000085e+01,1.465570956520641233e-01
1.048000000000000043e+01,1.060779817094440053e-01
1.050000000000000000e+01,1.434550480979709386e-01
1.051999999999999957e+01,-5.935269967828055507e-03
1.053999999999999915e+01,2.287098244758601073e-01
1.056000000000000050e+01,1.350357085081852100e-02
1.058000000000000007e+01,-2.296202617314240663e-02
1.059999999999999964e+01,9.567153524726675073e-02
1.061999999999999922e+01,2.101676894918655392e-01
1.064000000000000057e+01,-2.004392898268346837e-02
1.066000000000000014e+01,6.063552224838175686e-02
1.067999999999999972e+01,3.639370183381702706e-01
1.069999999999999929e+01,-8.250263312035628627e-02
1.072000000000000064e+01,4.750594333110994862e-03
1.074000000000000021e+01,1.808297406851576139e-01
1.075999999999999979e+01,6.516601549959433041e-05
1.077999999999999936e+01,1.304338106016265375e-01
1.080000000000000071e+01,-7.938719793762094579e-03
1.082000000000000028e+01,1.014428792807319478e-02
1.083999999999999986e+01,3.776215779896173463e-02
1.085999999999999943e+01,2.600794486794973277e-03
1.088000000000000078e+01,5.022031478089327566e-02
1.090000000000000036e+01,2.361722065709744578e-01
1.091999999999999993e+01,8.302656213230866222e-02
1.093999999999999950e+01,2.053590531517955620e-01
1.096000000000000085e+01,-4.001358563460392925e-02
1.098000000000000043e+01,1.211542123872301063e-01
1.100000000000000000e+01,1.552304523007204118e-01
1.101999999999999957e+01,1.268371641188964331e-02
1.103999999999999915e+01,1.436223044107323432e-01
1.106000000000000050e+01,-8.287955565868332722e-03
1.108000000000000007e+01,1.998262679244746098e-01
1.109999999999999964e+01,1.700141543737417882e-01
1.112000000000000099e+01,-6.414615658401037063e-03
1.114000000000000057e+01,6.813158845660988172e-02
1.116000000000000014e+01,-1.715645784742522162e-01
1.117999999999999972e+01,2.007612235550629565e-01
1.119999999999999929e+01,3.928654088167943953e-02
1.122000000000000064e+01,3.441099091388516440e-02
1.124000000000000021e+01,1.520445021817117548e-01
1.125999999999999979e+01,-4.226739798675954035e-02
1.127999999999999936e+01,3.855889935136409818e-02
1.130000000000000071e+01,2.401911230355024685e-01
1.132000000000000028e+01,3.043089901331261227e-01
1.133999999999999986e+01,2.487289701608470793e-01
1.135999999999999943e+01,-1.975848759789334275e-01
1.138000000000000078e+01,1.455855087211360976e-01
1.140000000000000036e+01,1.920029491856128090e-01
1.141999999999999993e+01,2.610407860148400983e-01
1.143999999999999950e+01,4.090266293830319838e-02
1.146000000000000085e+01,-6.457029543407401262e-02
1.148000000000000043e+01,-4.902415941710336345e-02
1.150000000000000000e+01,6.813967591668008972e-02
1.151999999999999957e+01,1.796345235665861295e-01
1.153999999999999915e+01,1.783662666021481047e-01
1.156000000000000050e+01,8.409713204063687386e-02
1.158000000000000007e+01,4.445430335417052681e-02
1.159999999999999964e+01,5.712882498240987039e-02
1.162000000000000099e+01,-8.003830359359172253e-02
1.164000000000000057e+01,1.581205368422123614e-01
1.166000000000000014e+01,1.500412811532692292e-01
1.167999999999999972e+01,5.844381192887185272e-02
1.169999999999999929e+01,3.416021827052824478e-02
1.172000000000000064e+01,4.093148323964196367e-02
1.174000000000000021e+01,4.322306818041900950e-02
1.175999999999999979e+01,1.004041755139079145e-01
1.177999999999999936e+01,5.092015432804018055e-02
1.180000000000000071e+01,6.362964525738769306e-02
1.182000000000000028e+01,-1.702992639094464203e-02
1.183999999999999986e+01,1.793795640837800853e-01
1.185999999999999943e+01,-5.547251339555194644e-02
1.188000000000000078e+01,-1.462751174107642382e-01
1.190000000000000036e+01,2.265565175194794167e-01
1.191999999999999993e+01,5.464446201794272151e-02
1.193999999999999950e+01,2.185633642590907588e-02
1.196000000000000085e+01,-4.143864098196587548e-02
1.198000000000000043e+01,-8.301238275600764105e-02
1.200000000000000000e+01,1.849017497818935818e-01
1.201999999999999957e+01,1.885726539184032491e-01
1.203999999999999915e+01,1.778808267070670357e-01
1.206000000000000050e+01,3.710766182690417025e-02
1.208000000000000007e+01,1.681894715808100182e-01
1.209999999999999964e+01,4.855257060875210057e-02
1.212000000000000099e+01,-1.144907650300957813e-01
1.214000000000000057e+01,9.997553858926556958e-02
1.216000000000000014e+01,1.184871000504913729e-01
1.217999999999999972e+01,-3.514178155880418736e-02
1.219999999999999929e+01,1.955191981597472969e-02
1.222000000000000064e+01,2.897949528084846696e-02
1.224000000000000021e+01,-1.692860087334716740e-02
1.225999999999999979e+01,9.556892925759591373e-02
1.228000000000000114e+01,1.999674597084006786e-02
1.230000000000000071e+01,2.864179426517288879e-02
1.232000000000000028e+01,1.812199859214968234e-01
1.233999999999999986e+01,1.545248593120672753e-01
1.235999999999999943e+01,1.017421415530267714e-01
1.237999999999999901e+01,1.195003744566258963e-01
1.240000000000000036e+01,-1.200216329145505217e-01
1.241999999999999993e+01,-1.602679210489222072e-01
1.243999999999999950e+01,2.421530534746163532e-02
1.246000000000000085e+01,9.930161446113502932e-02
1.248000000000000043e+01,2.955930035178452875e-01
1.250000000000000000e+01,3.043922628563681121e-01
1.251999999999999957e+01,1.332494658547463684e-01
1.253999999999999915e+01,1.286144419312029441e-01
1.256000000000000050e+01,1.689875795543350212e-01
1.258000000000000007e+01,7.327305721650406202e-04
1.259999999999999964e+01,1.424849998661094630e-01
1.262000000000000099e+01,1.588400927557259146e-01
1.264000000000000057e+01,-6.894878578548618853e-02
1.266000000000000014e+01,-1.026037172184657287e-02
1.267999999999999972e+01,1.926442330091214794e-01
