# 2Theta,Intensity
1.000000000000000000e+01,3.965372846880598628e-02
1.001999999999999957e+01,-8.466098796196844245e-02
1.003999999999999915e+01,-1.925097743263379513e-01
1.006000000000000050e+01,-7.141254341313442444e-02
1.008000000000000007e+01,3.064359608051718878e-02
1.009999999999999964e+01,-7.284968711724792989e-02
1.011999999999999922e+01,1.110366451173520896e-01
1.014000000000000057e+01,1.208457634822876769e-01
1.016000000000000014e+01,6.844501998866613080e-05
1.017999999999999972e+01,1.004439657616132547e-01
1.019999999999999929e+01,1.587290856469985301e-01
1.022000000000000064e+01,-1.504706977640573595e-01
1.024000000000000021e+01,-1.837234147668780626e-01
1.025999999999999979e+01,1.139894171096463155e-01
1.027999999999999936e+01,1.452510439919813823e-01
1.030000000000000071e+01,1.001475419429252306e-01
1.032000000000000028e+01,-3.713147627531262485e-01
1.033999999999999986e+01,1.727275424425749328e-01
1.035999999999999943e+01,-5.136782693964710156e-02
1.038000000000000078e+01,1.319007579181445400e-01
1.040000000000000036e+01,1.214576783278893124e-01
1.041999999999999993e+01,1.279815923918002363e-01
1.043999999999999950e+01,-6.603801216538222885e-02
1.046000000000000085e+01,1.556588188917299997e-01
1.048000000000000043e+01,3.918695772906439362e-02
1.050000000000000000e+01,5.133127263786210065e-02
1.051999999999999957e+01,-4.200602455558930665e-02
1.053999999999999915e+01,-1.465840149575680373e-01
1.056000000000000050e+01,1.374908222365722743e-01
1.058000000000000007e+01,-1.635278969638155958e-02
1.059999999999999964e+01,4.857183687189729066e-02
1.061999999999999922e+01,3.997884088753685811e-02
1.064000000000000057e+01,-8.263083336013631042e-03
1.066000000000000014e+01,-1.929469171815697548e-01
1.067999999999999972e+01,4.571421061083158488e-02
1.069999999999999929e+01,9.437396390529402546e-02
1.072000000000000064e+01,9.697054263032045887e-03
1.074000000000000021e+01,2.049185476334989542e-01
1.075999999999999979e+01,-7.695864828667683954e-02
1.077999999999999936e+01,6.531200653136884360e-02
1.080000000000000071e+01,8.255718515467327934e-02
1.082000000000000028e+01,1.460207083820872775e-01
1.083999999999999986e+01,-1.009725780433814307e-02
1.085999999999999943e+01,-5.738557400236000972e-02
1.088000000000000078e+01,-1.020982156995263040e-01
1.090000000000000036e+01,2.362394933690014839e-02
1.091999999999999993e+01,-9.148729659038448703e-02
1.093999999999999950e+01,-1.123119842449170902e-01
1.096000000000000085e+01,3.509509561166801461e-02
1.098000000000000043e+01,-5.957467953480310996e-02
1.100000000000000000e+01,-1.466699961611933334e-01
1.101999999999999957e+01,-3.046942386966830160e-02
1.103999999999999915e+01,1.011422641876698753e-01
1.106000000000000050e+01,9.964660108412401462e-02
1.108000000000000007e+01,1.902899798845782142e-01
1.109999999999999964e+01,5.528861716348922040e-02
1.112000000000000099e+01,-5.251114151613771319e-02
1.114000000000000057e+01,7.334081592174139519e-02
1.116000000000000014e+01,-9.864650589557713567e-02
1.117999999999999972e+01,-2.938438593557121323e-02
1.119999999999999929e+01,-2.235540080737762753e-02
1.122000000000000064e+01,1.207907496653350676e-01
1.124000000000000021e+01,1.717153312109535590e-01
1.125999999999999979e+01,4.810072440259159643e-02
1.127999999999999936e+01,1.320592160623959392e-02
1.130000000000000071e+01,1.655031192972712950e-01
1.132000000000000028e+01,1.551082983118783065e-02
1.133999999999999986e+01,-3.852732441872099012e-02
1.135999999999999943e+01,1.131132599237680003e-01
1.138000000000000078e+01,8.929230594794637654e-02
1.140000000000000036e+01,2.883529937321111514e-01
1.141999999999999993e+01,5.167044839445160409e-02
1.143999999999999950e+01,-9.685835068414486160e-02
1.146000000000000085e+01,-1.341452293975463061e-01
1.148000000000000043e+01,1.341888593305541333e-01
1.150000000000000000e+01,-8.359881694118095896e-02
1.151999999999999957e+01,-3.917428339213862437e-02
1.153999999999999915e+01,3.935788975005580920e-02
1.156000000000000050e+01,1.840930616298011580e-01
1.158000000000000007e+01,-7.124325880288881474e-02
1.159999999999999964e+01,-1.829786761822354557e-01
1.162000000000000099e+01,2.102569770502142957e-02
1.164000000000000057e+01,1.561403083840676442e-01
1.166000000000000014e+01,6.595764523054406525e-02
1.167999999999999972e+01,2.829128629357892111e-01
1.169999999999999929e+01,1.065341485387305831e-01
1.172000000000000064e+01,-1.334072959561893035e-01
1.174000000000000021e+01,2.992079026683849147e-02
1.175999999999999979e+01,4.855241913782527147e-02
1.177999999999999936e+01,1.716337513229111711e-01
1.180000000000000071e+01,1.319693703525495199e-01
1.182000000000000028e+01,1.704205675031117417e-01
1.183999999999999986e+01,-5.847770062364515686e-02
1.185999999999999943e+01,7.254075223360798019e-02
1.188000000000000078e+01,-1.588389869967831713e-01
1.190000000000000036e+01,5.106773176224359279e-02
1.191999999999999993e+01,-8.769228016069985365e-02
1.193999999999999950e+01,1.371837773221593060e-01
1.196000000000000085e+01,-1.979122185932715994e-01
1.198000000000000043e+01,-2.567191555253611757e-02
1.200000000000000000e+01,9.085344641608748828e-02
1.201999999999999957e+01,1.316273893356973215e-02
1.203999999999999915e+01,4.394421231642461206e-02
1.206000000000000050e+01,4.766386964092356876e-02
1.208000000000000007e+01,3.710710634467721813e-02
1.209999999999999964e+01,3.034126967883494785e-01
1.212000000000000099e+01,4.024504238995307848e-02
1.214000000000000057e+01,1.828114827886699323e-01
1.216000000000000014e+01,-9.149684289423925740e-03
1.217999999999999972e+01,-4.230585719187792901e-03
1.219999999999999929e+01,-1.348749577384230069e-01
1.222000000000000064e+01,-2.712854391670710408e-02
1.224000000000000021e+01,-3.764428746479544369e-02
1.225999999999999979e+01,-4.775292735238466368e-02
1.228000000000000114e+01,1.819260613534329218e-01
1.230000000000000071e+01,-2.282549466454886905e-02
1.232000000000000028e+01,-2.046563822805310406e-01
1.233999999999999986e+01,1.645111829063956033e-01
1.235999999999999943e+01,2.103438636171996723e-01
1.237999999999999901e+01,2.789906358553405075e-01
1.240000000000000036e+01,-5.399616531533066310e-02
1.241999999999999993e+01,-5.563243111053660893e-03
1.243999999999999950e+01,-4.290299520868186278e-03
1.246000000000000085e+01,2.408981911123310102e-02
1.248000000000000043e+01,8.202467305873399617e-02
1.250000000000000000e+01,2.049703101667819591e-02
1.251999999999999957e+01,1.101268542907026665e-01
1.253999999999999915e+01,-2.719093974549900705e-02
1.256000000000000050e+01,-1.051510853190519984e-01
1.258000000000000007e+01,9.060152367456472677e-02
1.259999999999999964e+01,-8.546640026673513191e-02
1.262000000000000099e+01,-3.790273556854859699e-02
1.264000000000000057e+01,2.461639058252464707e-01
1.266000000000000014e+01,-7.772691162065319126e-02
1.267999999999999972e+01,1.124226506936458342e-01
1.269999999999999929e+01,8.952307947523424625e-02
1.272000000000000064e+01,-5.844033888485840322e-02
1.274000000000000021e+01,-1.600335865481066280e-02
1.275999999999999979e+01,-1.681448174879218438e-01
1.278000000000000114e+01,1.511734744367215777e-01
1.280000000000000071e+01,1.029211370704777168e-01
1.282000000000000028e+01,1.948150613432844958e-01
1.283999999999999986e+01,4.237523330932125298e-01
1.285999999999999943e+01,-1.595733029086899291e-01
1.287999999999999901e+01,2.966525670304773210e-02
1.290000000000000036e+01,-9.913922056209360789e-02
