# 2Theta,Intensity
1.000000000000000000e+01,1.064243132735013808e-01
1.001999999999999957e+01,6.130841020228540786e-03
1.003999999999999915e+01,2.876098837317518919e-01
1.006000000000000050e+01,-1.023036776003986709e-01
1.008000000000000007e+01,7.883097186076486185e-03
1.009999999999999964e+01,1.138989386568651785e-01
1.011999999999999922e+01,3.053294509668960655e-02
1.014000000000000057e+01,7.170754999051255629e-02
1.016000000000000014e+01,2.185160516501666872e-01
1.017999999999999972e+01,8.412015441392806103e-02
1.019999999999999929e+01,-2.558702282553739285e-02
1.022000000000000064e+01,1.834254227284489586e-02
1.024000000000000021e+01,1.019332475363206175e-01
1.025999999999999979e+01,8.123540645811090644e-02
1.027999999999999936e+01,1.562493768940433903e-01
1.030000000000000071e+01,1.789714745244424740e-02
1.032000000000000028e+01,8.896993316665330331e-02
1.033999999999999986e+01,-1.764825980512085835e-02
1.035999999999999943e+01,2.763189729333899169e-01
1.038000000000000078e+01,1.509958102334491570e-01
1.040000000000000036e+01,4.091296865948153977e-02
1.041999999999999993e+01,8.760524235798977655e-02
1.043999999999999950e+01,1.099518383004729344e-01
1.046000000000000085e+01,1.301203638670214713e-01
1.048000000000000043e+01,1.220276328133104993e-01
1.050000000000000000e+01,5.015155613079014252e-02
1.051999999999999957e+01,5.151860730728242271e-02
1.053999999999999915e+01,1.255309515591633562e-02
1.056000000000000050e+01,3.664557221738697079e-02
1.058000000000000007e+01,-8.691489578813581252e-02
1.059999999999999964e+01,3.738899615553819417e-02
1.061999999999999922e+01,1.755052731815350334e-02
1.064000000000000057e+01,-2.784788209496186911e-02
1.066000000000000014e+01,7.825863232105266520e-02
1.067999999999999972e+01,1.440603572504695618e-01
1.069999999999999929e+01,2.688877898874965089e-01
1.072000000000000064e+01,1.558832494933203583e-01
1.074000000000000021e+01,9.809389346125318987e-02
1.075999999999999979e+01,2.923974822992295164e-01
1.077999999999999936e+01,1.407976866036039221e-01
1.080000000000000071e+01,3.667877813971707757e-01
1.082000000000000028e+01,4.263411126214303737e-01
1.083999999999999986e+01,-7.718008618722853320e-02
1.085999999999999943e+01,-3.005075132128574508e-02
1.088000000000000078e+01,-3.891782246365140668e-02
1.090000000000000036e+01,5.262464436289563535e-02
1.091999999999999993e+01,-1.351611239918733103e-02
1.093999999999999950e+01,2.058189256942330458e-01
1.096000000000000085e+01,7.620914500274948711e-02
1.098000000000000043e+01,1.887366697940840998e-01
1.100000000000000000e+01,1.663144469702629580e-01
1.101999999999999957e+01,5.600207397569121476e-02
1.103999999999999915e+01,1.115281009471579404e-01
1.106000000000000050e+01,2.031979464726237361e-01
1.108000000000000007e+01,5.923586389535834967e-02
1.109999999999999964e+01,1.496943368178758338e-01
1.112000000000000099e+01,1.172091576126806922e-01
1.114000000000000057e+01,-4.226261150895609109e-02
1.116000000000000014e+01,7.457171768401703663e-03
1.117999999999999972e+01,-6.761843210457976761e-02
1.119999999999999929e+01,1.180737546850676783e-03
1.122000000000000064e+01,-1.578249243280144543e-01
1.124000000000000021e+01,-7.624803625236659110e-02
1.125999999999999979e+01,-8.231625238994479121e-02
1.127999999999999936e+01,7.380976363238977989e-02
1.130000000000000071e+01,4.870107792889190323e-02
1.132000000000000028e+01,6.259860680187173676e-02
1.133999999999999986e+01,6.016371352794433469e-02
1.135999999999999943e+01,8.393135591742167945e-02
1.138000000000000078e+01,5.815352170250959185e-02
1.140000000000000036e+01,1.716310163352922635e-01
1.141999999999999993e+01,1.949281419366098722e-01
1.143999999999999950e+01,1.608439516872101072e-01
1.146000000000000085e+01,-3.423783202668570502e-02
1.148000000000000043e+01,1.793335519132836509e-01
1.150000000000000000e+01,2.125394400530057626e-01
1.151999999999999957e+01,1.813194109698315071e-01
1.153999999999999915e+01,1.044166667994910203e-01
1.156000000000000050e+01,8.511752015164629481e-02
1.158000000000000007e+01,1.884990042623793105e-01
1.159999999999999964e+01,2.868188608616817348e-01
1.162000000000000099e+01,1.006653042108822393e-02
1.164000000000000057e+01,1.128210473045966472e-01
1.166000000000000014e+01,1.469992739907751145e-01
1.167999999999999972e+01,8.801710700876708149e-03
1.169999999999999929e+01,5.298426977070910121e-02
1.172000000000000064e+01,6.645202481121628701e-02
1.174000000000000021e+01,-7.498405142706926485e-02
1.175999999999999979e+01,-2.318387446032479579e-02
1.177999999999999936e+01,4.453218458587688416e-02
1.180000000000000071e+01,8.724485132260852149e-02
1.182000000000000028e+01,9.397775203590029089e-03
1.183999999999999986e+01,1.537182883433180214e-01
1.185999999999999943e+01,5.275179928055290929e-02
1.188000000000000078e+01,1.557612624833183690e-01
1.190000000000000036e+01,7.284351562321306206e-02
1.191999999999999993e+01,-9.171522128079567793e-02
1.193999999999999950e+01,1.391878380955303696e-01
1.196000000000000085e+01,3.032482158322737931e-01
1.198000000000000043e+01,2.836892979613271359e-01
1.200000000000000000e+01,-2.624262358404968326e-02
1.201999999999999957e+01,1.241127359513682776e-01
1.203999999999999915e+01,1.996918682883799118e-02
1.206000000000000050e+01,2.660343107277776120e-01
1.208000000000000007e+01,6.174053349992991713e-02
1.209999999999999964e+01,1.250517769334979490e-01
1.212000000000000099e+01,8.220553243229152332e-03
1.214000000000000057e+01,-7.957597253152896843e-02
1.216000000000000014e+01,1.234522203435299698e-01
1.217999999999999972e+01,1.850590694954535320e-01
1.219999999999999929e+01,1.300247244974339356e-01
1.222000000000000064e+01,-7.191834422039160291e-02
1.224000000000000021e+01,8.477568454751174820e-02
1.225999999999999979e+01,3.029400345542522244e-01
1.228000000000000114e+01,1.674506374369627293e-01
1.230000000000000071e+01,1.190512234310894535e-01
1.232000000000000028e+01,1.194519811399376991e-01
1.233999999999999986e+01,8.119563244646882394e-02
1.235999999999999943e+01,3.943930274599184438e-01
1.237999999999999901e+01,1.780704842093044915e-02
1.240000000000000036e+01,-4.204236331750788036e-02
1.241999999999999993e+01,5.634218579196247079e-02
1.243999999999999950e+01,7.815474635720710828e-02
1.246000000000000085e+01,1.897404305674585123e-01
1.248000000000000043e+01,9.410110430278235960e-02
1.250000000000000000e+01,1.569346432428599392e-01
1.251999999999999957e+01,5.732385768706162871e-02
1.253999999999999915e+01,2.569255379825264862e-01
1.256000000000000050e+01,3.470974919177899354e-01
1.258000000000000007e+01,8.347400463014860439e-02
1.259999999999999964e+01,1.862123456149326894e-01
1.262000000000000099e+01,1.421758913521361384e-02
1.264000000000000057e+01,6.833513442764281576e-02
1.266000000000000014e+01,4.989187969783995258e-02
1.267999999999999972e+01,1.474194621412472928e-01
1.269999999999999929e+01,1.647648300788477627e-01
1.272000000000000064e+01,-2.930635087848148732e-02
1.274000000000000021e+01,1.038647442787380692e-01
1.275999999999999979e+01,-3.585199562553625929e-03
1.278000000000000114e+01,1.574882076406546993e-03
1.280000000000000071e+01,3.284486884377813692e-02
1.282000000000000028e+01,2.203107137688292694e-01
1.283999999999999986e+01,6.082851311205707268e-02
1.285999999999999943e+01,7.093718214512260978e-02
1.287999999999999901e+01,1.174913794715520265e-01
1.290000000000000036e+01,4.881797685794584535e-02
1.291999999999999993e+01,1.234691787825893672e-01
1.293999999999999950e+01,1.233647970201744715e-01
1.296000000000000085e+01,-1.005179824970728608e-01
1.298000000000000043e+01,1.866256143881629137e-01
1.300000000000000000e+01,-5.618288014285761911e-02
