# 2Theta,Intensity
1.000000000000000000e+01,1.746665894023891330e-01
1.001999999999999957e+01,-9.513263973862606804e-02
1.003999999999999915e+01,4.392838797364354703e-02
1.006000000000000050e+01,1.292089816959935134e-01
1.008000000000000007e+01,4.235111698903794991e-02
1.009999999999999964e+01,7.023142677147218085e-03
1.011999999999999922e+01,1.739532455253519905e-01
1.014000000000000057e+01,1.186697841087156480e-01
1.016000000000000014e+01,7.907911130895836638e-02
1.017999999999999972e+01,-4.037292167530671938e-02
1.019999999999999929e+01,1.951514862722769639e-01
1.022000000000000064e+01,1.818316173296413152e-01
1.024000000000000021e+01,-1.518956135271007715e-02
1.025999999999999979e+01,7.020477728870505585e-02
1.027999999999999936e+01,2.481947831259623538e-01
1.030000000000000071e+01,7.947578281281356127e-04
1.032000000000000028e+01,1.522296761440042612e-01
1.033999999999999986e+01,-2.646653396517652940e-02
1.035999999999999943e+01,5.390216657679525875e-02
1.038000000000000078e+01,4.177352027626485970e-02
1.040000000000000036e+01,2.711558258564329693e-02
1.041999999999999993e+01,4.322349389039195633e-01
1.043999999999999950e+01,8.509980929206364952e-02
1.046000000000000085e+01,7.274095460158108706e-02
1.048000000000000043e+01,8.999308391449009625e-02
1.050000000000000000e+01,3.248003015560964046e-01
1.051999999999999957e+01,1.033385651666077765e-01
1.053999999999999915e+01,2.620405825831356172e-01
1.056000000000000050e+01,-1.257330153377805293e-01
1.058000000000000007e+01,8.653693488903595188e-02
1.059999999999999964e+01,5.289558009438507895e-03
1.061999999999999922e+01,-6.052537233540006278e-02
1.064000000000000057e+01,1.009452550160298695e-01
1.066000000000000014e+01,-9.905898203530456858e-02
1.067999999999999972e+01,9.224495403903763824e-02
1.069999999999999929e+01,1.080887372783684991e-01
1.072000000000000064e+01,1.436981318018406006e-01
1.074000000000000021e+01,1.523212363712038719e-01
1.075999999999999979e+01,4.705529756862555923e-02
1.077999999999999936e+01,1.886909397117309817e-01
1.080000000000000071e+01,-1.169356427551388466e-01
1.082000000000000028e+01,1.132815993108808594e-01
1.083999999999999986e+01,1.203490026273693891e-01
1.085999999999999943e+01,5.719425492449905363e-02
1.088000000000000078e+01,2.342466712614832136e-01
1.090000000000000036e+01,2.588675903954686108e-02
1.091999999999999993e+01,1.103471394238303704e-01
1.093999999999999950e+01,7.468904016874292062e-02
1.096000000000000085e+01,1.187904537037156594e-01
1.098000000000000043e+01,1.664052064243079498e-01
1.100000000000000000e+01,1.177535587529820044e-01
1.101999999999999957e+01,2.654934709245879154e-02
1.103999999999999915e+01,1.714153115751076983e-01
1.106000000000000050e+01,1.354745122287577819e-01
1.108000000000000007e+01,2.424600465041369945e-01
1.109999999999999964e+01,-4.103048759289262132e-02
1.112000000000000099e+01,-1.151118657102921106e-01
1.114000000000000057e+01,8.832734908806373630e-02
1.116000000000000014e+01,-5.350649205742673276e-02
1.117999999999999972e+01,3.607950927370726785e-02
1.119999999999999929e+01,8.053426417821919758e-02
1.122000000000000064e+01,-9.841625612316770577e-02
1.124000000000000021e+01,-7.719460585992279911e-02
1.125999999999999979e+01,1.431458959502871497e-01
1.127999999999999936e+01,9.400725481786273430e-02
1.130000000000000071e+01,7.250773786654911290e-02
1.132000000000000028e+01,9.179389053604843085e-02
1.133999999999999986e+01,5.435287751316886240e-02
1.135999999999999943e+01,5.693267752345796545e-02
1.138000000000000078e+01,6.974189096346455896e-02
1.140000000000000036e+01,-4.620530236572537724e-02
1.141999999999999993e+01,-3.795092636857728269e-02
1.143999999999999950e+01,2.110093877244965110e-01
1.146000000000000085e+01,-5.055512556413289948e-02
1.148000000000000043e+01,5.380634683332083390e-02
1.150000000000000000e+01,-2.735038572821958322e-02
1.151999999999999957e+01,1.570483504029819288e-01
1.153999999999999915e+01,4.030688005983426581e-02
1.156000000000000050e+01,2.881502315622167520e-01
1.158000000000000007e+01,2.246031885593244015e-01
1.159999999999999964e+01,1.226344622349586494e-01
1.162000000000000099e+01,-3.745771211857536892e-02
1.164000000000000057e+01,2.507049956953532610e-01
1.166000000000000014e+01,1.061446043061878702e-01
1.167999999999999972e+01,9.051009328488393568e-02
1.169999999999999929e+01,-2.980212378944577419e-03
1.172000000000000064e+01,1.271266102814672116e-01
1.174000000000000021e+01,-2.969470120915626565e-02
1.175999999999999979e+01,4.664319540416503318e-02
1.177999999999999936e+01,-5.105268786488949100e-03
1.180000000000000071e+01,1.112417847210660227e-01
1.182000000000000028e+01,1.061737637702134252e-01
1.183999999999999986e+01,-3.146999551384526556e-02
1.185999999999999943e+01,-1.040681773024251279e-02
1.188000000000000078e+01,1.060218691827259085e-01
1.190000000000000036e+01,7.217178845621260996e-02
1.191999999999999993e+01,-1.389364807997741091e-01
1.193999999999999950e+01,2.588050685863737543e-01
1.196000000000000085e+01,7.608496662713377934e-02
1.198000000000000043e+01,5.553141617741695624e-02
1.200000000000000000e+01,7.430393894251433040e-02
1.201999999999999957e+01,3.169890153682121126e-01
1.203999999999999915e+01,1.903874003986634478e-02
1.206000000000000050e+01,6.143930925154728571e-03
1.208000000000000007e+01,1.855731627568511233e-01
1.209999999999999964e+01,9.297002674854433490e-02
1.212000000000000099e+01,-7.161629972400430921e-02
1.214000000000000057e+01,1.275399567931714828e-01
1.216000000000000014e+01,1.589528780350596415e-01
1.217999999999999972e+01,-7.283054511846117317e-03
1.219999999999999929e+01,2.009630122387107837e-02
1.222000000000000064e+01,1.495821307173207937e-01
1.224000000000000021e+01,-4.037584834760239022e-02
1.225999999999999979e+01,1.202551890655243344e-01
1.228000000000000114e+01,3.524739960131561406e-02
1.230000000000000071e+01,3.162149273141228178e-01
1.232000000000000028e+01,1.035622408038845421e-01
1.233999999999999986e+01,6.698427672456577775e-02
1.235999999999999943e+01,1.155959639608330064e-01
1.237999999999999901e+01,1.127144186416901769e-02
1.240000000000000036e+01,9.679433822876083726e-02
1.241999999999999993e+01,-9.405111559924883222e-03
1.243999999999999950e+01,5.304356465986008462e-02
1.246000000000000085e+01,4.744207048567469776e-02
1.248000000000000043e+01,1.024689765709630718e-01
1.250000000000000000e+01,-9.773997742903794972e-02
1.251999999999999957e+01,3.120672414402110573e-02
1.253999999999999915e+01,9.347528471914565151e-02
1.256000000000000050e+01,1.703189877133562680e-01
1.258000000000000007e+01,3.755852979382041934e-02
1.259999999999999964e+01,-2.988016397393799747e-03
1.262000000000000099e+01,-7.203368483749314488e-02
1.264000000000000057e+01,-1.756145863976487850e-02
1.266000000000000014e+01,1.793987779260727555e-01
1.267999999999999972e+01,9.264562906144695187e-02
1.269999999999999929e+01,3.364756379643951689e-02
1.272000000000000064e+01,1.612951343116246494e-01
1.274000000000000021e+01,1.361483591673117444e-01
1.275999999999999979e+01,-1.099121157274759591e-01
1.278000000000000114e+01,5.141127516761723193e-02
1.280000000000000071e+01,-9.102801407486045548e-03
1.282000000000000028e+01,2.463186996669617379e-01
1.283999999999999986e+01,1.627486870288875620e-01
1.285999999999999943e+01,2.096568232110049002e-01
1.287999999999999901e+01,1.247267571363457235e-02
1.290000000000000036e+01,7.492999010719092468e-02
1.291999999999999993e+01,1.877963724401442436e-01
1.293999999999999950e+01,1.806301288013978656e-01
1.296000000000000085e+01,9.230649148507641399e-02
1.298000000000000043e+01,-4.514779779094240525e-02
1.300000000000000000e+01,-1.801524145616812192e-02
1.301999999999999957e+01,1.095976011770285891e-01
1.303999999999999915e+01,-1.378194291652725875e-02
1.306000000000000050e+01,1.192071999666185350e-01
1.308000000000000007e+01,1.432469490642934717e-01
1.309999999999999964e+01,1.316718540963968953e-01
1.312000000000000099e+01,1.250211957013070418e-01
1.314000000000000057e+01,2.920472114915717218e-02
1.316000000000000014e+01,1.010822421867346166e-01
1.317999999999999972e+01,1.020365923965489280e-01
1.319999999999999929e+01,1.358704287327986704e-01
1.322000000000000064e+01,1.907620302715328231e-01
1.324000000000000021e+01,1.866136079920145685e-01
1.325999999999999979e+01,4.074434998555483134e-02
1.328000000000000114e+01,-7.084211720721241001e-02
1.330000000000000071e+01,-3.496063709980747058e-02
1.332000000000000028e+01,1.254758530014511986e-01
1.333999999999999986e+01,3.946016801364085613e-02
1.335999999999999943e+01,9.233501199294658068e-02
1.337999999999999901e+01,8.530509107358027988e-04
1.340000000000000036e+01,-2.921659199948099112e-02
1.341999999999999993e+01,2.057440773987957716e-01
1.343999999999999950e+01,5.493566772000946924e-02
1.346000000000000085e+01,2.904955850856305588e-01
1.348000000000000043e+01,1.173808392265605627e-01
1.350000000000000000e+01,7.180683700406473857e-01
1.351999999999999957e+01,1.410555178259413012e+00
1.353999999999999915e+01,2.362985080399544469e+00
1.356000000000000050e+01,1.503876542364169788e+00
1.358000000000000007e+01,5.955783614559386763e-01
1.359999999999999964e+01,2.718869201058556340e-01
1.362000000000000099e+01,-6.166270703932714807e-03
1.364000000000000057e+01,-1.133201761437135080e-01
1.366000000000000014e+01,6.839346189235134821e-02
1.367999999999999972e+01,7.719606095225904629e-02
1.369999999999999929e+01,7.466951115228395719e-02
1.372000000000000064e+01,-6.086117514262056466e-02
1.374000000000000021e+01,8.360640659043908074e-02
1.375999999999999979e+01,1.206681174565654019e-01
1.378000000000000114e+01,6.356212756851062351e-02
1.380000000000000071e+01,1.241646475145773143e-01
1.382000000000000028e+01,5.895666789770521998e-02
1.383999999999999986e+01,7.486444276707177048e-02
1.385999999999999943e+01,-6.243638330438146256e-02
1.387999999999999901e+01,-3.281682867116126473e-02
1.390000000000000036e+01,1.076848550526450787e-01
1.391999999999999993e+01,1.918237529519505047e-01
1.393999999999999950e+01,2.256129092405363690e-01
1.396000000000000085e+01,8.170183430997342289e-02
1.398000000000000043e+01,1.893448670424848213e-01
1.400000000000000000e+01,1.790711879562221220e-01
1.401999999999999957e+01,9.851957028478100509e-02
1.403999999999999915e+01,1.808626954808274234e-01
1.406000000000000050e+01,5.065338749523327910e-02
1.408000000000000007e+01,6.749239434603407362e-02
1.409999999999999964e+01,1.362663399680539011e-01
1.412000000000000099e+01,1.064019646159506394e-01
1.414000000000000057e+01,-5.493849339702466111e-02
