# 2Theta,Intensity
1.000000000000000000e+01,2.282469751619373988e-01
1.001999999999999957e+01,4.414754169989337784e-01
1.003999999999999915e+01,5.374885807761644596e-01
1.006000000000000050e+01,5.188815008148019992e-01
1.008000000000000007e+01,5.312485720243314002e-01
1.009999999999999964e+01,3.985997649947383703e-01
1.011999999999999922e+01,3.736628522163309984e-01
1.014000000000000057e+01,2.525560714113308514e-01
1.016000000000000014e+01,2.981745093549411085e-01
1.017999999999999972e+01,3.340579010370022250e-01
1.019999999999999929e+01,5.793233461218068037e-01
1.022000000000000064e+01,1.035607554658881102e-01
1.024000000000000021e+01,3.512549032122234682e-01
1.025999999999999979e+01,5.053305161343448759e-01
1.027999999999999936e+01,3.100002998369448814e-01
1.030000000000000071e+01,2.666550504719222836e-01
1.032000000000000028e+01,2.965913312350388908e-01
1.033999999999999986e+01,2.997278896435082857e-02
1.035999999999999943e+01,3.220749201878767010e-01
1.038000000000000078e+01,5.861965204656477413e-01
1.040000000000000036e+01,3.581938706869173816e-01
1.041999999999999993e+01,4.606898765876781821e-01
1.043999999999999950e+01,3.741524440792591277e-01
1.046000000000000085e+01,4.340754564304423746e-01
1.048000000000000043e+01,2.015574912465021851e-01
1.050000000000000000e+01,3.355233380026784729e-01
1.051999999999999957e+01,3.083259488120453362e-01
1.053999999999999915e+01,4.362858900899194703e-01
1.056000000000000050e+01,3.291665045391331534e-01
1.058000000000000007e+01,5.036384342042913298e-01
1.059999999999999964e+01,4.808131904828615855e-01
1.061999999999999922e+01,3.219636685064051207e-01
1.064000000000000057e+01,4.074090355893801862e-01
1.066000000000000014e+01,3.459485711137919584e-01
1.067999999999999972e+01,1.603003764647612517e-01
1.069999999999999929e+01,4.604175957807272179e-01
1.072000000000000064e+01,5.224782220444628145e-01
1.074000000000000021e+01,1.599092604034453302e-01
1.075999999999999979e+01,4.009253832890887215e-01
1.077999999999999936e+01,1.503763762184003316e-01
1.080000000000000071e+01,2.821718764685785530e-01
1.082000000000000028e+01,2.643799184942174918e-01
1.083999999999999986e+01,2.595191855936907488e-01
1.085999999999999943e+01,3.706587166608298345e-01
1.088000000000000078e+01,3.598160686615426984e-01
1.090000000000000036e+01,2.798853425446883314e-01
1.091999999999999993e+01,3.747585930024316947e-01
1.093999999999999950e+01,5.213109616451326866e-01
1.096000000000000085e+01,4.366367445719163132e-01
1.098000000000000043e+01,4.764830997880328267e-01
1.100000000000000000e+01,4.209760608107538937e-01
1.101999999999999957e+01,1.712197444421318937e-01
1.103999999999999915e+01,4.098659621388545116e-01
1.106000000000000050e+01,1.924782331927241130e-01
1.108000000000000007e+01,2.033914135145994950e-01
1.109999999999999964e+01,1.804038678737330537e-01
1.112000000000000099e+01,4.247625768875898378e-01
1.114000000000000057e+01,4.878105283697639627e-01
1.116000000000000014e+01,1.011738347776201391e-01
1.117999999999999972e+01,2.244337406752343889e-01
1.119999999999999929e+01,5.166466147358341754e-01
1.122000000000000064e+01,4.068835542329879429e-01
1.124000000000000021e+01,3.301081802039034230e-01
1.125999999999999979e+01,1.353393522500783985e-01
1.127999999999999936e+01,5.330284595297558603e-01
1.130000000000000071e+01,2.631181643325392061e-01
1.132000000000000028e+01,1.264177539288484191e-02
1.133999999999999986e+01,2.562916646482140126e-01
1.135999999999999943e+01,3.432365489074998277e-01
1.138000000000000078e+01,3.582606599268521319e-01
1.140000000000000036e+01,4.794950491723437014e-01
1.141999999999999993e+01,1.469500751055504706e-01
1.143999999999999950e+01,2.414773246647482774e-01
1.146000000000000085e+01,9.338595846265125566e-02
1.148000000000000043e+01,3.710657640853440853e-01
1.150000000000000000e+01,2.631428133173699391e-01
1.151999999999999957e+01,2.275672803577334369e-01
1.153999999999999915e+01,2.391099786834642305e-01
1.156000000000000050e+01,3.902091453163994972e-01
1.158000000000000007e+01,2.616355456093835130e-01
1.159999999999999964e+01,4.264615054602923783e-01
1.162000000000000099e+01,5.744262410926489482e-01
1.164000000000000057e+01,2.109627323759779571e-01
1.166000000000000014e+01,5.667292033356030601e-01
1.167999999999999972e+01,2.157520333838260085e-01
1.169999999999999929e+01,3.329491439348283843e-01
1.172000000000000064e+01,2.990193571789807048e-01
1.174000000000000021e+01,3.867888301853506516e-01
1.175999999999999979e+01,5.912644556403987561e-01
1.177999999999999936e+01,3.227145215242419041e-01
1.180000000000000071e+01,5.109859678842020303e-01
1.182000000000000028e+01,2.982692832953790507e-01
1.183999999999999986e+01,1.623585140972214416e-02
1.185999999999999943e+01,2.197213090948431924e-01
1.188000000000000078e+01,3.595720746465205786e-01
1.190000000000000036e+01,2.667258238471265086e-01
1.191999999999999993e+01,6.608538095273938651e-02
1.193999999999999950e+01,5.222157502845173882e-01
1.196000000000000085e+01,4.797795664314458142e-01
1.198000000000000043e+01,3.268063747848296008e-01
1.200000000000000000e+01,1.407332139153143757e-01
1.201999999999999957e+01,2.449263372211152590e-01
1.203999999999999915e+01,1.779690968617314573e-01
1.206000000000000050e+01,4.099407245799364941e-02
1.208000000000000007e+01,2.935406656562254413e-01
1.209999999999999964e+01,3.332276302512907629e-01
1.212000000000000099e+01,3.424192575768283953e-01
1.214000000000000057e+01,3.419714651988460252e-01
1.216000000000000014e+01,2.732536705698750956e-01
1.217999999999999972e+01,2.487432892730922496e-01
1.219999999999999929e+01,6.251912154516513498e-01
1.222000000000000064e+01,1.952642299221363786e-01
1.224000000000000021e+01,4.103943370599877905e-01
1.225999999999999979e+01,2.520753380607980709e-01
1.228000000000000114e+01,1.546084451940269999e-01
1.230000000000000071e+01,4.573354229318516984e-01
1.232000000000000028e+01,4.017235480143542259e-01
1.233999999999999986e+01,6.811140962057900261e-02
1.235999999999999943e+01,6.418699032549464167e-01
1.237999999999999901e+01,-6.067105843760183664e-02
1.240000000000000036e+01,1.470730833899509815e-01
1.241999999999999993e+01,1.335131601589578387e-01
1.243999999999999950e+01,2.173339695462413734e-01
1.246000000000000085e+01,4.197458895916872934e-01
1.248000000000000043e+01,3.204683515530258320e-01
1.250000000000000000e+01,3.880129703512292250e-01
1.251999999999999957e+01,4.569847903343270956e-01
1.253999999999999915e+01,5.903485478216902171e-01
1.256000000000000050e+01,2.592821298181448575e-01
1.258000000000000007e+01,2.117636635559838609e-01
1.259999999999999964e+01,2.265268504096530078e-01
1.262000000000000099e+01,3.051059829769303677e-01
1.264000000000000057e+01,3.644216262146999785e-01
1.266000000000000014e+01,8.989978278545608659e-02
1.267999999999999972e+01,1.093337053207153048e-01
1.269999999999999929e+01,2.920159174986236006e-01
1.272000000000000064e+01,2.293242675378189543e-01
1.274000000000000021e+01,3.344372706546889229e-01
1.275999999999999979e+01,2.638958779966105173e-01
1.278000000000000114e+01,4.150397177590914310e-01
1.280000000000000071e+01,5.577361192177648919e-01
1.282000000000000028e+01,3.562832573633855637e-01
1.283999999999999986e+01,1.287463023977196419e-01
1.285999999999999943e+01,2.190622785535979167e-01
1.287999999999999901e+01,1.888991474412499150e-01
1.290000000000000036e+01,3.476095317289372710e-01
1.291999999999999993e+01,4.277877326297737093e-01
1.293999999999999950e+01,2.787620555366964181e-01
1.296000000000000085e+01,6.072753397845157552e-01
1.298000000000000043e+01,1.794968037008614070e-01
1.300000000000000000e+01,1.463309133997325318e-01
1.301999999999999957e+01,3.873853306930023499e-01
1.303999999999999915e+01,1.990363206678448516e-01
1.306000000000000050e+01,2.221347997571719579e-01
1.308000000000000007e+01,5.458082846363920826e-01
1.309999999999999964e+01,4.809660941481858076e-01
1.312000000000000099e+01,3.002329097587662088e-01
1.314000000000000057e+01,3.819926886382938314e-01
1.316000000000000014e+01,3.259809979305429706e-01
1.317999999999999972e+01,3.664070093818337370e-01
1.319999999999999929e+01,3.181666522995821866e-01
1.322000000000000064e+01,3.428324292887794389e-01
1.324000000000000021e+01,4.072516530154074443e-01
1.325999999999999979e+01,2.886210349989464796e-01
1.328000000000000114e+01,2.895985882274145773e-01
1.330000000000000071e+01,3.462553214539207946e-01
1.332000000000000028e+01,8.900340532911682478e-02
1.333999999999999986e+01,-6.772517809954510613e-04
1.335999999999999943e+01,3.266180339129837740e-01
1.337999999999999901e+01,1.489424861435999503e-01
1.340000000000000036e+01,2.220993280668845105e-01
1.341999999999999993e+01,1.368951588821276377e-01
1.343999999999999950e+01,2.502780355206326579e-01
1.346000000000000085e+01,5.415028816870922634e-01
1.348000000000000043e+01,9.658659270041455858e-02
1.350000000000000000e+01,5.915208365747245400e-01
1.351999999999999957e+01,2.702884985180084576e-01
1.353999999999999915e+01,1.603178885854900371e-01
1.356000000000000050e+01,5.998191779657251477e-01
1.358000000000000007e+01,5.462196150329454714e-01
1.359999999999999964e+01,7.447304306140064556e-01
1.362000000000000099e+01,2.647904711054943627e-01
1.364000000000000057e+01,1.657333662023312004e-01
1.366000000000000014e+01,5.103636808140412651e-01
1.367999999999999972e+01,4.547970069738364596e-01
1.369999999999999929e+01,2.479572246405820912e-01
1.372000000000000064e+01,3.269586889121234297e-01
1.374000000000000021e+01,2.038510855742562689e-01
1.375999999999999979e+01,3.724871022054849767e-01
1.378000000000000114e+01,3.472160374882359846e-01
1.380000000000000071e+01,4.270954216670955761e-01
1.382000000000000028e+01,1.298654636804874585e-01
1.383999999999999986e+01,1.670356095417000475e-01
1.385999999999999943e+01,1.892042509837646158e-01
1.387999999999999901e+01,3.837795523970021216e-01
1.390000000000000036e+01,3.096445032818881393e-01
1.391999999999999993e+01,2.899399884835865415e-01
1.393999999999999950e+01,3.316712767434537024e-01
1.396000000000000085e+01,2.223135071786345174e-01
1.398000000000000043e+01,3.702018813953079635e-01
1.400000000000000000e+01,3.959993645884265501e-01
1.401999999999999957e+01,5.443888094986164550e-01
1.403999999999999915e+01,2.853691081455023149e-01
1.406000000000000050e+01,3.955489673678100893e-01
1.408000000000000007e+01,9.124017898070731214e-02
1.409999999999999964e+01,3.092302457609296118e-01
1.412000000000000099e+01,1.691817147162354429e-01
1.414000000000000057e+01,1.053291260140360036e-01
1.416000000000000014e+01,4.145561300586552145e-01
1.417999999999999972e+01,3.119335816446300869e-01
1.419999999999999929e+01,2.353478474234978468e-01
1.421999999999999886e+01,2.858454663385742722e-01
1.424000000000000021e+01,4.754442599190468466e-02
1.425999999999999979e+01,5.353051873470798805e-01
1.428000000000000114e+01,2.655166148992141317e-01
1.430000000000000071e+01,2.612379547622483145e-01
1.432000000000000028e+01,2.857213665110350798e-01
1.433999999999999986e+01,1.635338355466938454e-01
1.435999999999999943e+01,3.414527167372293226e-01
1.437999999999999901e+01,2.687111390042642434e-01
1.440000000000000036e+01,2.525933014271354859e-01
1.441999999999999993e+01,2.091418926282567481e-01
1.444000000000000128e+01,4.518834106879051071e-01
1.446000000000000085e+01,5.725809828092498499e-01
1.448000000000000043e+01,4.793191944677376859e-01
1.450000000000000000e+01,2.212047473473486847e-01
1.451999999999999957e+01,1.848450430264957645e-01
1.453999999999999915e+01,2.577826359657845456e-01
1.456000000000000050e+01,3.706870190284242694e-01
1.458000000000000007e+01,1.641751789730129807e-01
1.460000000000000142e+01,3.867717146358780611e-01
1.462000000000000099e+01,6.144005964210420834e-02
1.464000000000000057e+01,1.712251756841011996e-01
1.466000000000000014e+01,3.011614007907381652e-01
1.467999999999999972e+01,5.467666045817033416e-01
