# 2Theta,Intensity
1.000000000000000000e+01,1.810996745698772448e-01
1.001999999999999957e+01,1.815729263252584269e-01
1.003999999999999915e+01,1.816294165727132259e-01
1.006000000000000050e+01,1.854818059417251697e-01
1.008000000000000007e+01,3.185636755530523723e-01
1.009999999999999964e+01,2.365270495748028057e-01
1.011999999999999922e+01,2.291543282241854107e-01
1.014000000000000057e+01,3.126796776392820609e-01
1.016000000000000014e+01,1.958449677722939597e-01
1.017999999999999972e+01,2.781294016889074849e-01
1.019999999999999929e+01,9.518179047185153230e-02
1.022000000000000064e+01,2.963055872063914409e-01
1.024000000000000021e+01,1.384870106252720882e-02
1.025999999999999979e+01,2.666283509198141832e-01
1.027999999999999936e+01,1.001978506762208065e-01
1.030000000000000071e+01,2.946608190941544247e-01
1.032000000000000028e+01,1.052021959864778561e-01
1.033999999999999986e+01,1.879445604108969381e-01
1.035999999999999943e+01,1.344532987691184900e-01
1.038000000000000078e+01,6.656009574878375690e-02
1.040000000000000036e+01,2.984450836324260559e-01
1.041999999999999993e+01,5.705085523657743574e-01
1.043999999999999950e+01,5.207633396323146230e-02
1.046000000000000085e+01,1.851833894605041386e-01
1.048000000000000043e+01,3.248589406071516472e-01
1.050000000000000000e+01,-8.584324629079199270e-03
1.051999999999999957e+01,1.279771324688990519e-01
1.053999999999999915e+01,1.887257482145661136e-01
1.056000000000000050e+01,2.755565016557740554e-01
1.058000000000000007e+01,1.877692023373534191e-01
1.059999999999999964e+01,1.215246634242636153e-01
1.061999999999999922e+01,1.761863183993330473e-01
1.064000000000000057e+01,2.965881698393892374e-01
1.066000000000000014e+01,1.862395678186057335e-01
1.067999999999999972e+01,-5.646407516386455633e-02
1.069999999999999929e+01,1.585810315155638250e-01
1.072000000000000064e+01,2.450639899160390878e-01
1.074000000000000021e+01,3.154150754325271699e-01
1.075999999999999979e+01,1.330249031751837285e-01
1.077999999999999936e+01,1.445461539833106379e-01
1.080000000000000071e+01,1.508418477602434804e-01
1.082000000000000028e+01,2.566475096662936273e-01
1.083999999999999986e+01,2.672280799364515347e-01
1.085999999999999943e+01,3.004520926329569130e-01
1.088000000000000078e+01,2.301992343630940574e-01
1.090000000000000036e+01,2.785053555655237489e-01
1.091999999999999993e+01,2.498866559476432825e-01
1.093999999999999950e+01,1.343152062800871405e-01
1.096000000000000085e+01,1.623790091227968746e-01
1.098000000000000043e+01,2.161355352140815755e-01
1.100000000000000000e+01,2.019847695121549380e-01
1.101999999999999957e+01,2.027087415682701232e-01
1.103999999999999915e+01,3.394044190836832398e-01
1.106000000000000050e+01,2.374896019223274868e-01
1.108000000000000007e+01,3.750797983955103110e-01
1.109999999999999964e+01,1.311454303339172345e-01
1.112000000000000099e+01,1.811020815472557666e-01
1.114000000000000057e+01,6.991660254294845833e-02
1.116000000000000014e+01,3.683453864291982294e-01
1.117999999999999972e+01,8.831583539710409492e-02
1.119999999999999929e+01,2.028164526356968644e-01
1.122000000000000064e+01,2.356986827662587991e-01
1.124000000000000021e+01,2.923540996774813272e-01
1.125999999999999979e+01,1.785434555535043155e-01
1.127999999999999936e+01,2.182358593695680471e-01
1.130000000000000071e+01,1.129168733585182299e-01
1.132000000000000028e+01,3.789388770551354590e-01
1.133999999999999986e+01,4.358103267023922256e-01
1.135999999999999943e+01,2.505172494211284628e-01
1.138000000000000078e+01,1.551025187531452076e-01
1.140000000000000036e+01,1.537631990791310244e-01
1.141999999999999993e+01,3.529967519815573329e-01
1.143999999999999950e+01,-4.972540970055312759e-02
1.146000000000000085e+01,3.696802343955536418e-01
1.148000000000000043e+01,2.475867671626308941e-01
1.150000000000000000e+01,1.077012259397016197e-01
1.151999999999999957e+01,4.392375627477174138e-02
1.153999999999999915e+01,2.027145860768633512e-01
1.156000000000000050e+01,2.975432950081769445e-01
1.158000000000000007e+01,1.870696502259817928e-01
1.159999999999999964e+01,2.746349258316954645e-01
1.162000000000000099e+01,1.071626926476865749e-01
1.164000000000000057e+01,4.280851775832366646e-01
1.166000000000000014e+01,1.894408353838009373e-01
1.167999999999999972e+01,1.946606502813256201e-01
1.169999999999999929e+01,1.063014438289709152e-01
1.172000000000000064e+01,1.056662849698272316e-01
1.174000000000000021e+01,1.126913390559799999e-01
1.175999999999999979e+01,7.233972257116147442e-02
1.177999999999999936e+01,2.500340619060980041e-01
1.180000000000000071e+01,2.168597044871969359e-01
1.182000000000000028e+01,4.755821328364968209e-02
1.183999999999999986e+01,3.197283826937749041e-01
1.185999999999999943e+01,1.638175518556551635e-01
1.188000000000000078e+01,1.138946539182327244e-01
1.190000000000000036e+01,-4.050608753739536050e-02
1.191999999999999993e+01,2.358120305598734312e-01
1.193999999999999950e+01,2.230678237267887942e-01
1.196000000000000085e+01,1.789973824121684487e-01
1.198000000000000043e+01,2.776017661694643590e-01
1.200000000000000000e+01,8.457712975041618841e-02
1.201999999999999957e+01,3.738202246449098820e-01
1.203999999999999915e+01,1.224998935842758624e-01
1.206000000000000050e+01,2.531977647101320561e-01
1.208000000000000007e+01,1.418273825685371359e-01
1.209999999999999964e+01,1.626658153785911221e-01
1.212000000000000099e+01,-3.571575273206820805e-02
1.214000000000000057e+01,1.411743311613660734e-01
1.216000000000000014e+01,2.543372898331026088e-01
1.217999999999999972e+01,3.239004884515427340e-01
1.219999999999999929e+01,1.791958627605554355e-01
1.222000000000000064e+01,2.472643144140735383e-01
1.224000000000000021e+01,2.868739762905135326e-01
1.225999999999999979e+01,6.171250343070885935e-02
1.228000000000000114e+01,4.554855659682427449e-01
1.230000000000000071e+01,1.657544405761811890e-01
1.232000000000000028e+01,2.571062579788717106e-01
1.233999999999999986e+01,6.376425069916413779e-02
1.235999999999999943e+01,2.325270232125513648e-01
1.237999999999999901e+01,3.241769182344889644e-01
1.240000000000000036e+01,6.247994489345584657e-03
1.241999999999999993e+01,4.111125535165243705e-01
1.243999999999999950e+01,3.994277437796029395e-01
1.246000000000000085e+01,3.370611775315220382e-01
1.248000000000000043e+01,3.971827364351586676e-01
1.250000000000000000e+01,2.657309720059402580e-01
1.251999999999999957e+01,1.859893806686205853e-01
1.253999999999999915e+01,2.168451816212428052e-01
1.256000000000000050e+01,3.145717357785376977e-01
1.258000000000000007e+01,2.289556284874092948e-02
1.259999999999999964e+01,5.296883422294805799e-01
1.262000000000000099e+01,4.797173005700720583e-01
1.264000000000000057e+01,2.218065654927739994e-01
1.266000000000000014e+01,3.067226853743115766e-01
1.267999999999999972e+01,5.362315570259164055e-01
1.269999999999999929e+01,5.553978812562062606e-01
1.272000000000000064e+01,7.738709353808083113e-01
1.274000000000000021e+01,1.771866852799623304e+00
1.275999999999999979e+01,5.632771170028298968e+00
