# 2Theta,Intensity
1.000000000000000000e+01,1.894178238103244871e-01
1.001999999999999957e+01,5.073911404788817858e-01
1.003999999999999915e+01,4.337511802364983349e-01
1.006000000000000050e+01,2.745984602616184933e-01
1.008000000000000007e+01,2.738021343315387157e-01
1.009999999999999964e+01,3.143889757918479910e-01
1.011999999999999922e+01,1.913845715557235261e-01
1.014000000000000057e+01,3.143256066013881411e-01
1.016000000000000014e+01,3.511892072620952931e-01
1.017999999999999972e+01,5.494095754362741113e-01
1.019999999999999929e+01,2.110842546693605659e-01
1.022000000000000064e+01,2.698337982619534170e-01
1.024000000000000021e+01,2.771201914916350262e-01
1.025999999999999979e+01,1.234590164735071965e-01
1.027999999999999936e+01,3.894267730560426188e-01
1.030000000000000071e+01,1.760694987336728357e-01
1.032000000000000028e+01,1.957875463692201889e-01
1.033999999999999986e+01,1.961611501197808027e-01
1.035999999999999943e+01,2.557023837878937278e-01
1.038000000000000078e+01,1.499747009772436912e-01
1.040000000000000036e+01,1.825855735310328576e-01
1.041999999999999993e+01,4.974133027021879205e-01
1.043999999999999950e+01,2.828331356357227100e-01
1.046000000000000085e+01,3.331807941953683350e-01
1.048000000000000043e+01,2.023853290781035541e-01
1.050000000000000000e+01,4.509679859570267513e-01
1.051999999999999957e+01,9.047215181284956609e-02
1.053999999999999915e+01,2.747730834992524462e-01
1.056000000000000050e+01,3.083662848322352712e-01
1.058000000000000007e+01,4.681966324763545129e-01
1.059999999999999964e+01,2.347390555501602249e-01
1.061999999999999922e+01,2.220813272864638754e-01
1.064000000000000057e+01,1.333354488767188872e-01
1.066000000000000014e+01,2.346213135844219255e-01
1.067999999999999972e+01,3.183753195948113013e-01
1.069999999999999929e+01,1.480197264467841556e-01
1.072000000000000064e+01,2.254229473616574664e-01
1.074000000000000021e+01,2.482165544979564320e-01
1.075999999999999979e+01,2.583664318841322194e-01
1.077999999999999936e+01,1.396913456339787252e-01
1.080000000000000071e+01,3.224180460039688390e-01
1.082000000000000028e+01,2.606338804464901071e-01
1.083999999999999986e+01,-2.044214780786417912e-02
1.085999999999999943e+01,6.105699929264861714e-01
1.088000000000000078e+01,1.712100073430272429e-01
1.090000000000000036e+01,1.316692839291218609e-01
1.091999999999999993e+01,4.792859970012873227e-01
1.093999999999999950e+01,8.720267189140762376e-02
1.096000000000000085e+01,1.083857291074610263e-01
1.098000000000000043e+01,5.908848227300045330e-01
1.100000000000000000e+01,2.608643671195698399e-01
1.101999999999999957e+01,3.273021752652030547e-01
1.103999999999999915e+01,1.435610558462460384e-01
1.106000000000000050e+01,3.144942417888472730e-01
1.108000000000000007e+01,2.176613920401867727e-02
1.109999999999999964e+01,3.042086715999658408e-01
1.112000000000000099e+01,2.896763440184147997e-01
1.114000000000000057e+01,2.318814653236916656e-01
1.116000000000000014e+01,2.110979891908788819e-01
1.117999999999999972e+01,2.260442440565030853e-01
1.119999999999999929e+01,3.483432206405866483e-01
1.122000000000000064e+01,5.514841120114818973e-02
1.124000000000000021e+01,2.061191783325284355e-01
1.125999999999999979e+01,1.875448577453617538e-01
1.127999999999999936e+01,7.472054626695748270e-02
1.130000000000000071e+01,3.493063798141899379e-01
1.132000000000000028e+01,1.639867751802245588e-01
1.133999999999999986e+01,2.499503884183095492e-01
1.135999999999999943e+01,3.012236728163328325e-01
1.138000000000000078e+01,1.413048198762497099e-01
1.140000000000000036e+01,5.536100823453455472e-02
1.141999999999999993e+01,1.960138445615830505e-01
1.143999999999999950e+01,2.462306164160799893e-01
1.146000000000000085e+01,4.082750350684667406e-01
1.148000000000000043e+01,1.231877486771778829e-01
1.150000000000000000e+01,1.176247739893081790e-01
1.151999999999999957e+01,1.549426774112224736e-01
1.153999999999999915e+01,2.738013639714996783e-01
1.156000000000000050e+01,4.105999019792349047e-01
1.158000000000000007e+01,2.589007257629749037e-01
1.159999999999999964e+01,4.926415314824816316e-01
1.162000000000000099e+01,2.130366615822918142e-01
1.164000000000000057e+01,3.551911359437446847e-01
1.166000000000000014e+01,2.894851722902112012e-01
1.167999999999999972e+01,4.284338354877081922e-01
1.169999999999999929e+01,2.674331845090300308e-01
1.172000000000000064e+01,5.089154312840077354e-01
1.174000000000000021e+01,1.078889486307842011e-01
1.175999999999999979e+01,2.441195293638410979e-01
1.177999999999999936e+01,3.441008539685324608e-01
1.180000000000000071e+01,2.669037382213715892e-01
1.182000000000000028e+01,1.106741599306380192e-01
1.183999999999999986e+01,2.195500367951403187e-01
1.185999999999999943e+01,8.798700910117374097e-02
1.188000000000000078e+01,2.155931070050351173e-01
1.190000000000000036e+01,3.391469038778123224e-01
1.191999999999999993e+01,1.271178246460767935e-01
1.193999999999999950e+01,1.492308035659275223e-01
1.196000000000000085e+01,2.122472335642079933e-01
1.198000000000000043e+01,8.829489329502401840e-02
1.200000000000000000e+01,1.418661270943999686e-01
1.201999999999999957e+01,1.771454118537464095e-01
1.203999999999999915e+01,2.495165917503780473e-01
1.206000000000000050e+01,2.598381728075488395e-01
1.208000000000000007e+01,2.327880245301228168e-01
1.209999999999999964e+01,2.137601473417575226e-01
1.212000000000000099e+01,2.719919284962666328e-01
1.214000000000000057e+01,1.816501999306716075e-01
1.216000000000000014e+01,5.646077997802564918e-02
1.217999999999999972e+01,1.871711791113589984e-01
1.219999999999999929e+01,3.261032769219842087e-01
1.222000000000000064e+01,2.898192394586636689e-01
1.224000000000000021e+01,3.641737251758341287e-01
1.225999999999999979e+01,5.965480786370985083e-02
1.228000000000000114e+01,1.715386426236905071e-01
1.230000000000000071e+01,8.285840934619004283e-02
1.232000000000000028e+01,2.209642857316311548e-01
1.233999999999999986e+01,1.138469392947933784e-01
1.235999999999999943e+01,2.132961071423981336e-01
1.237999999999999901e+01,2.597827800222186623e-01
1.240000000000000036e+01,4.407454179620459711e-01
1.241999999999999993e+01,3.444159901654456624e-01
1.243999999999999950e+01,1.823733071524062388e-01
1.246000000000000085e+01,1.531240879220999163e-01
1.248000000000000043e+01,1.333173621988234248e-01
1.250000000000000000e+01,3.116924613579288295e-01
1.251999999999999957e+01,4.181474897745889874e-01
1.253999999999999915e+01,2.952368602853785995e-01
1.256000000000000050e+01,7.156821187215167690e-03
1.258000000000000007e+01,3.612642134424493556e-01
1.259999999999999964e+01,4.399890504386478884e-01
1.262000000000000099e+01,2.463315808128039852e-01
1.264000000000000057e+01,5.947665674766292043e-02
1.266000000000000014e+01,8.601387005305258238e-02
1.267999999999999972e+01,2.223907143615475313e-01
1.269999999999999929e+01,2.087991785372026177e-01
1.272000000000000064e+01,2.606884375715258773e-01
1.274000000000000021e+01,9.060815898963163473e-02
1.275999999999999979e+01,1.251101693087112998e-01
1.278000000000000114e+01,2.468616012679153704e-01
1.280000000000000071e+01,2.007799404986064795e-01
1.282000000000000028e+01,2.859005614894852276e-01
1.283999999999999986e+01,3.530147244975875287e-01
1.285999999999999943e+01,1.768598111575571397e-02
1.287999999999999901e+01,1.609879649114601963e-01
1.290000000000000036e+01,1.206414957414462391e-01
1.291999999999999993e+01,3.981617046132688853e-01
1.293999999999999950e+01,4.123059459543092047e-03
1.296000000000000085e+01,2.113524293215336969e-01
1.298000000000000043e+01,4.555168311370403345e-01
1.300000000000000000e+01,3.139827077531852084e-01
1.301999999999999957e+01,-1.829183588074848651e-03
1.303999999999999915e+01,2.920010700612321597e-01
1.306000000000000050e+01,2.293801782936913114e-01
1.308000000000000007e+01,2.110630694718118594e-01
1.309999999999999964e+01,1.579220519464954453e-01
1.312000000000000099e+01,3.621226280343978754e-01
