# 2Theta,Intensity
1.000000000000000000e+01,2.918644914491990150e-01
1.001999999999999957e+01,2.468685336825731380e-01
1.003999999999999915e+01,2.314548866025648854e-01
1.006000000000000050e+01,2.213251612765607945e-01
1.008000000000000007e+01,2.153522802566932293e-01
1.009999999999999964e+01,9.841738964551159652e-02
1.011999999999999922e+01,4.055894778746836349e-01
1.014000000000000057e+01,4.152328322349426726e-01
1.016000000000000014e+01,4.548599700553636049e-01
1.017999999999999972e+01,2.554401025824521998e-01
1.019999999999999929e+01,2.276284880180244607e-01
1.022000000000000064e+01,1.805459120965884900e-01
1.024000000000000021e+01,2.399495725475052077e-01
1.025999999999999979e+01,2.962775830997319559e-01
1.027999999999999936e+01,2.238549224808129012e-01
1.030000000000000071e+01,7.973652432835376391e-02
1.032000000000000028e+01,1.271031089362192057e-01
1.033999999999999986e+01,1.267229506184528731e-01
1.035999999999999943e+01,1.930886422674401581e-01
1.038000000000000078e+01,3.617339009732849497e-01
1.040000000000000036e+01,1.028919115245819776e-01
1.041999999999999993e+01,1.325047688621907860e-01
1.043999999999999950e+01,2.551188940978935116e-01
1.046000000000000085e+01,1.789727840370849699e-01
1.048000000000000043e+01,3.129274964192761965e-01
1.050000000000000000e+01,1.411134522749424303e-01
1.051999999999999957e+01,2.464483498946950235e-01
1.053999999999999915e+01,1.564101427904066588e-01
1.056000000000000050e+01,4.365451716036961027e-01
1.058000000000000007e+01,2.870764322674212443e-01
1.059999999999999964e+01,3.675123438501856632e-01
1.061999999999999922e+01,1.311809738769394718e-01
1.064000000000000057e+01,4.056594651677413732e-01
1.066000000000000014e+01,2.427696209165693120e-01
1.067999999999999972e+01,3.399105276794067709e-01
1.069999999999999929e+01,1.764828926065951931e-01
1.072000000000000064e+01,1.809036875465721284e-01
1.074000000000000021e+01,1.408059928520321580e-01
1.075999999999999979e+01,2.322727990882672844e-01
1.077999999999999936e+01,3.735887731098154196e-01
1.080000000000000071e+01,2.869249308590162140e-01
1.082000000000000028e+01,2.042843799770678870e-01
1.083999999999999986e+01,3.801040857240799431e-01
1.085999999999999943e+01,2.217770134370493917e-01
1.088000000000000078e+01,3.030275583053613775e-01
1.090000000000000036e+01,4.183170685542295653e-01
1.091999999999999993e+01,4.201671438347667764e-01
1.093999999999999950e+01,7.584763919675431287e-01
1.096000000000000085e+01,6.408322889687374513e-01
1.098000000000000043e+01,6.490553445273592459e-01
1.100000000000000000e+01,1.631697491715229598e+00
1.101999999999999957e+01,6.077326830913058586e+00
1.103999999999999915e+01,1.466362664542845096e+01
1.106000000000000050e+01,1.961710218357126223e+01
