# 2Theta,Intensity
1.000000000000000000e+01,-7.303649013221388819e-02
1.001999999999999957e+01,1.936303766761580669e-01
1.003999999999999915e+01,-9.127437497820199697e-02
1.006000000000000050e+01,1.084142614681180422e-01
1.008000000000000007e+01,2.460632148878162326e-02
1.009999999999999964e+01,2.234816249779004657e-02
1.011999999999999922e+01,4.322813779603212891e-02
1.014000000000000057e+01,3.857284597472603743e-02
1.016000000000000014e+01,-9.652521980446225613e-02
1.017999999999999972e+01,1.583847661950399943e-01
1.019999999999999929e+01,-1.599547333140257516e-02
1.022000000000000064e+01,8.344365873963009023e-03
1.024000000000000021e+01,6.603793820249641289e-02
1.025999999999999979e+01,1.788090647769120245e-01
1.027999999999999936e+01,-1.726704362156584460e-01
1.030000000000000071e+01,1.715171120766914928e-02
1.032000000000000028e+01,1.057849737032630633e-01
1.033999999999999986e+01,1.900657136559969276e-02
1.035999999999999943e+01,-3.198381998362556655e-02
1.038000000000000078e+01,2.891902347049529060e-02
1.040000000000000036e+01,-4.222191607624407872e-02
1.041999999999999993e+01,-1.436856882371701505e-01
1.043999999999999950e+01,1.919022785072519166e-01
1.046000000000000085e+01,9.095575272915919218e-02
1.048000000000000043e+01,1.591642459776581309e-01
1.050000000000000000e+01,1.740870699159414448e-01
1.051999999999999957e+01,-4.564265216644509265e-02
1.053999999999999915e+01,1.557116025159802249e-02
1.056000000000000050e+01,9.881038125275694306e-02
1.058000000000000007e+01,1.403789997913546805e-01
1.059999999999999964e+01,1.035648415053668364e-01
1.061999999999999922e+01,7.097239495584067859e-02
1.064000000000000057e+01,-4.155045857247603031e-02
1.066000000000000014e+01,8.384508854176517256e-02
1.067999999999999972e+01,6.182978424307236653e-02
1.069999999999999929e+01,7.985881715110815238e-02
1.072000000000000064e+01,1.108429072998461801e-01
1.074000000000000021e+01,8.633195434015607239e-02
1.075999999999999979e+01,6.567581501022888568e-02
1.077999999999999936e+01,1.494426882083143837e-01
1.080000000000000071e+01,1.112680517915019540e-01
1.082000000000000028e+01,-1.982274696434492556e-02
1.083999999999999986e+01,1.052882978469621283e-01
1.085999999999999943e+01,2.700721943289401822e-02
1.088000000000000078e+01,1.120169311020711850e-01
1.090000000000000036e+01,2.029528147656567694e-01
1.091999999999999993e+01,3.757826150056606945e-02
1.093999999999999950e+01,9.338287899195860109e-02
1.096000000000000085e+01,7.483036473400914157e-02
1.098000000000000043e+01,1.660373540708689477e-01
1.100000000000000000e+01,-2.435903375281932293e-02
1.101999999999999957e+01,1.447841950569336289e-01
1.103999999999999915e+01,1.730328657377019630e-01
1.106000000000000050e+01,6.991041012847321046e-02
1.108000000000000007e+01,-3.546941706835288199e-02
1.109999999999999964e+01,-5.341630010482351955e-03
1.112000000000000099e+01,1.616721352320664717e-01
1.114000000000000057e+01,-9.939656721781736648e-02
1.116000000000000014e+01,5.420575149178864099e-02
1.117999999999999972e+01,-4.993865862394369914e-02
1.119999999999999929e+01,7.996134706252361335e-02
1.122000000000000064e+01,1.491799084472904546e-01
1.124000000000000021e+01,-4.777117662826031730e-02
1.125999999999999979e+01,-2.561234436316803809e-01
1.127999999999999936e+01,2.699748062883033928e-03
1.130000000000000071e+01,1.439800330005864826e-01
1.132000000000000028e+01,1.919275307036045486e-01
1.133999999999999986e+01,1.073809094214387139e-01
1.135999999999999943e+01,2.619692355162311914e-01
1.138000000000000078e+01,5.652366020656714174e-02
1.140000000000000036e+01,3.066441658838258144e-01
1.141999999999999993e+01,1.661813482307565037e-01
1.143999999999999950e+01,1.677755478987855708e-01
1.146000000000000085e+01,-5.369721568046230409e-02
1.148000000000000043e+01,3.005379483892340470e-02
1.150000000000000000e+01,1.739977769007075570e-01
1.151999999999999957e+01,-1.628699442042148837e-02
1.153999999999999915e+01,1.579638514395450416e-02
1.156000000000000050e+01,1.696902306019651141e-01
1.158000000000000007e+01,2.960365848197971661e-01
1.159999999999999964e+01,-5.305278792330778842e-02
1.162000000000000099e+01,1.458275281521190514e-01
1.164000000000000057e+01,1.039441412683478061e-01
1.166000000000000014e+01,2.174387741392987683e-01
1.167999999999999972e+01,6.240629381343299614e-02
1.169999999999999929e+01,1.730775106533020136e-01
1.172000000000000064e+01,-2.113469779111478986e-01
