# 2Theta,Intensity
1.000000000000000000e+01,1.064824473881269135e-01
1.001999999999999957e+01,1.427936618443062244e-01
1.003999999999999915e+01,3.250455119197132731e-02
1.006000000000000050e+01,1.713307644291292287e-01
1.008000000000000007e+01,1.949578474549004681e-01
1.009999999999999964e+01,1.320556640771597401e-01
1.011999999999999922e+01,1.869150617379948809e-01
1.014000000000000057e+01,2.769256907229589726e-01
1.016000000000000014e+01,-1.019988469111269003e-01
1.017999999999999972e+01,1.211116680030056014e-01
1.019999999999999929e+01,-1.075669903457234372e-01
1.022000000000000064e+01,4.343547921719545513e-02
1.024000000000000021e+01,1.863520786418924047e-01
1.025999999999999979e+01,1.749254321636558585e-01
1.027999999999999936e+01,-8.807600716931290874e-02
1.030000000000000071e+01,1.151795555325911685e-01
1.032000000000000028e+01,1.525431496211852034e-01
1.033999999999999986e+01,2.618696397316033417e-02
1.035999999999999943e+01,1.813601765261414478e-01
1.038000000000000078e+01,1.214094146054066764e-01
1.040000000000000036e+01,6.304817674787289994e-02
1.041999999999999993e+01,1.843229522152492195e-01
1.043999999999999950e+01,1.221396887241097684e-01
1.046000000000000085e+01,2.306164841267182575e-01
1.048000000000000043e+01,8.354850849876460650e-02
1.050000000000000000e+01,2.568959612089102285e-01
1.051999999999999957e+01,7.547442034941850841e-02
1.053999999999999915e+01,1.208555630507703316e-01
1.056000000000000050e+01,1.363668384332218479e-02
1.058000000000000007e+01,2.234952612018044349e-02
1.059999999999999964e+01,-6.963514285930152981e-02
1.061999999999999922e+01,9.789278291870143200e-02
1.064000000000000057e+01,1.991163969597128242e-02
1.066000000000000014e+01,-3.834497851336200053e-02
1.067999999999999972e+01,1.520540505475853899e-01
1.069999999999999929e+01,1.089585865118610081e-01
1.072000000000000064e+01,8.283527909873908412e-02
1.074000000000000021e+01,1.381187331290023301e-01
1.075999999999999979e+01,1.542838018213921469e-01
1.077999999999999936e+01,1.233717142731116101e-01
1.080000000000000071e+01,3.392903845845338107e-01
1.082000000000000028e+01,7.979683240294339897e-02
1.083999999999999986e+01,1.588736169141582166e-01
1.085999999999999943e+01,9.561907734303391748e-02
1.088000000000000078e+01,2.591396204920605739e-01
1.090000000000000036e+01,2.934335120855814938e-01
1.091999999999999993e+01,1.598618486381757908e-01
1.093999999999999950e+01,1.235135620294706971e-01
1.096000000000000085e+01,2.589684873431870038e-01
1.098000000000000043e+01,1.379004636111032245e-01
1.100000000000000000e+01,1.346034971261041158e-01
1.101999999999999957e+01,2.026509896719950188e-01
