# 2Theta,Intensity
1.000000000000000000e+01,4.070155792820017715e-01
1.001999999999999957e+01,1.817023261851751503e-01
1.003999999999999915e+01,5.806695340873700983e-01
1.006000000000000050e+01,4.867969873190120533e-01
1.008000000000000007e+01,4.663178875396442602e-01
1.009999999999999964e+01,4.239956807585353316e-01
1.011999999999999922e+01,4.064750748661210000e-01
1.014000000000000057e+01,3.682827852351651665e-01
1.016000000000000014e+01,3.684616642724845570e-01
1.017999999999999972e+01,2.742099851606286109e-01
1.019999999999999929e+01,4.414446533126649141e-01
1.022000000000000064e+01,2.856765486153174383e-01
1.024000000000000021e+01,4.720002396450042048e-01
1.025999999999999979e+01,2.419778926931034913e-01
1.027999999999999936e+01,5.740382724768191558e-01
1.030000000000000071e+01,5.153677941295161657e-01
1.032000000000000028e+01,1.678630147406258155e-01
1.033999999999999986e+01,3.650795548876487051e-01
1.035999999999999943e+01,4.499686932940162865e-01
1.038000000000000078e+01,2.421874889955705490e-01
1.040000000000000036e+01,4.536355996376920663e-01
1.041999999999999993e+01,2.302559973304256213e-01
1.043999999999999950e+01,4.791392810971544236e-01
1.046000000000000085e+01,4.781639598645785472e-01
1.048000000000000043e+01,3.014681822676900103e-01
1.050000000000000000e+01,2.302080858798317697e-01
1.051999999999999957e+01,3.504494778254386711e-01
1.053999999999999915e+01,7.295582136695925035e-01
1.056000000000000050e+01,5.296921589340616299e-01
1.058000000000000007e+01,2.566862347370211239e-01
1.059999999999999964e+01,5.561430903855546504e-01
1.061999999999999922e+01,3.932724771144509579e-01
1.064000000000000057e+01,2.315397424448467911e-01
1.066000000000000014e+01,2.651378977262834336e-01
1.067999999999999972e+01,3.690205119004518197e-01
1.069999999999999929e+01,3.289891999201701722e-01
1.072000000000000064e+01,4.235857079028253480e-01
1.074000000000000021e+01,3.988545624499456044e-01
1.075999999999999979e+01,4.748847057491792367e-01
1.077999999999999936e+01,3.774247344817915906e-01
1.080000000000000071e+01,2.582219680257918371e-01
1.082000000000000028e+01,2.568339965145933768e-01
1.083999999999999986e+01,5.263371664060428889e-01
1.085999999999999943e+01,4.326525633978308694e-01
1.088000000000000078e+01,1.421180195729742635e-01
1.090000000000000036e+01,4.998276269945060579e-01
1.091999999999999993e+01,5.719616773513586105e-01
1.093999999999999950e+01,3.742608192961989766e-01
1.096000000000000085e+01,5.080803185047559900e-01
1.098000000000000043e+01,2.715261636110311017e-01
1.100000000000000000e+01,4.896734030206918442e-01
1.101999999999999957e+01,5.168074556339138370e-01
1.103999999999999915e+01,3.098440101189252616e-01
1.106000000000000050e+01,5.469060464328134863e-01
1.108000000000000007e+01,3.218951283722309986e-01
1.109999999999999964e+01,3.162195594877896254e-01
1.112000000000000099e+01,4.043663621464144153e-01
1.114000000000000057e+01,4.235193315441908579e-01
1.116000000000000014e+01,3.324821604273471287e-01
1.117999999999999972e+01,3.301014364396984146e-01
1.119999999999999929e+01,4.353508105077285029e-01
1.122000000000000064e+01,4.294763100922455168e-01
1.124000000000000021e+01,9.273314410514103823e-02
1.125999999999999979e+01,3.453676581135784462e-01
1.127999999999999936e+01,3.129814503467794329e-01
1.130000000000000071e+01,4.229831280489448342e-01
1.132000000000000028e+01,4.352074436617241471e-01
1.133999999999999986e+01,3.618612197085315785e-01
1.135999999999999943e+01,3.627144907630740489e-01
1.138000000000000078e+01,2.710726757781387053e-01
1.140000000000000036e+01,2.941518328740391208e-01
1.141999999999999993e+01,5.237415361070098946e-02
1.143999999999999950e+01,3.708249800320819189e-01
1.146000000000000085e+01,3.501562320018522523e-01
1.148000000000000043e+01,2.668011049494922737e-01
1.150000000000000000e+01,4.355523816986733299e-01
