# 2Theta,Intensity
1.000000000000000000e+01,5.669210866894082435e-02
1.001999999999999957e+01,1.358781926268858575e-01
1.003999999999999915e+01,6.870452757769429653e-02
1.006000000000000050e+01,3.410015143468093229e-02
1.008000000000000007e+01,1.482848919649045749e-01
1.009999999999999964e+01,3.913475843128740028e-02
1.011999999999999922e+01,3.898662657259219233e-02
1.014000000000000057e+01,-1.781462253844779547e-02
1.016000000000000014e+01,2.607655186317316826e-02
1.017999999999999972e+01,6.265347976545386499e-02
1.019999999999999929e+01,-8.870938779588775913e-02
1.022000000000000064e+01,1.414905268065860811e-01
1.024000000000000021e+01,7.901844548466430140e-02
1.025999999999999979e+01,2.499798134989867360e-01
1.027999999999999936e+01,-1.169975619025454272e-01
1.030000000000000071e+01,-1.429678552739659658e-01
1.032000000000000028e+01,1.919469113584513220e-01
1.033999999999999986e+01,2.630264408193783709e-01
1.035999999999999943e+01,3.836495676783328035e-01
1.038000000000000078e+01,-3.590946678374998952e-02
1.040000000000000036e+01,-7.339814289877058182e-03
1.041999999999999993e+01,1.571521537476133490e-01
1.043999999999999950e+01,-1.793202596311075925e-01
1.046000000000000085e+01,-1.634267100128883321e-01
1.048000000000000043e+01,-2.206312518100380857e-02
1.050000000000000000e+01,8.900071899768838279e-02
1.051999999999999957e+01,1.643287628864888439e-01
1.053999999999999915e+01,1.709362295546183463e-01
1.056000000000000050e+01,-2.256357681294863041e-03
1.058000000000000007e+01,4.703354357273183128e-02
1.059999999999999964e+01,2.023596744790810420e-01
1.061999999999999922e+01,6.495569844404101845e-02
1.064000000000000057e+01,-7.429571508377223743e-02
1.066000000000000014e+01,1.108562400455326835e-01
1.067999999999999972e+01,-8.154759549725140721e-02
1.069999999999999929e+01,1.123708054582633759e-01
1.072000000000000064e+01,1.927444446040496862e-01
1.074000000000000021e+01,2.304174774136862613e-01
1.075999999999999979e+01,-7.013154628852460992e-02
1.077999999999999936e+01,-2.460026062988823065e-03
1.080000000000000071e+01,-2.947147213203627283e-02
1.082000000000000028e+01,4.234288378502987227e-02
1.083999999999999986e+01,-6.248542712348572475e-02
1.085999999999999943e+01,1.001170994118303348e-01
1.088000000000000078e+01,-9.105659440806118665e-02
1.090000000000000036e+01,-6.346089472243940204e-03
1.091999999999999993e+01,1.266827424206060648e-01
1.093999999999999950e+01,-9.773419389793834566e-02
1.096000000000000085e+01,1.615710867313266408e-01
1.098000000000000043e+01,4.225195996806715981e-02
1.100000000000000000e+01,1.790995195438362386e-01
1.101999999999999957e+01,1.061067907712340969e-01
1.103999999999999915e+01,7.740972642734816889e-02
1.106000000000000050e+01,2.240022945729867598e-01
1.108000000000000007e+01,-6.124098069077517359e-02
1.109999999999999964e+01,1.516139518882607395e-02
1.112000000000000099e+01,-1.087237413476770248e-01
1.114000000000000057e+01,-1.630669624145430763e-01
1.116000000000000014e+01,1.358633732872432942e-01
1.117999999999999972e+01,-4.179781440113277541e-02
1.119999999999999929e+01,6.173100948157803775e-02
1.122000000000000064e+01,7.500256231812871266e-02
1.124000000000000021e+01,7.085048419404113562e-02
1.125999999999999979e+01,8.133426727436146586e-02
1.127999999999999936e+01,-1.126319442791911402e-02
1.130000000000000071e+01,-1.183992610569030782e-02
1.132000000000000028e+01,7.584445671224282481e-02
1.133999999999999986e+01,7.600357417843803254e-02
1.135999999999999943e+01,-2.479052476977472441e-01
1.138000000000000078e+01,1.460061916514734104e-01
1.140000000000000036e+01,2.935525645685176932e-01
1.141999999999999993e+01,4.154630328196522865e-02
1.143999999999999950e+01,-1.332979473244593760e-01
1.146000000000000085e+01,-3.759607496642297653e-02
1.148000000000000043e+01,1.704981149475623403e-02
1.150000000000000000e+01,1.285708594184442333e-01
1.151999999999999957e+01,-1.006858629418600215e-01
1.153999999999999915e+01,-1.682931757138707296e-01
1.156000000000000050e+01,4.265241620630627097e-03
1.158000000000000007e+01,1.360023147110679120e-01
1.159999999999999964e+01,-5.960806363146650688e-03
1.162000000000000099e+01,1.579757393619708392e-02
1.164000000000000057e+01,2.813487292682407270e-01
1.166000000000000014e+01,1.006645165849958806e-01
1.167999999999999972e+01,1.257116427761384957e-02
1.169999999999999929e+01,1.027363244909851175e-01
1.172000000000000064e+01,-4.583380353853744316e-02
