spg,n_atoms,numIons,wps,count
2,2,"(2,)",0,3
2,3,"(1, 2)","3,0",2
2,3,"(1, 2)","4,0",1
2,3,"(1, 2)","8,0",3
2,3,"(3,)",0-8,1
2,4,"(1, 1, 2)","1,8,0",1
2,4,"(1, 1, 2)","3,4,0",1
2,4,"(1, 1, 2)","8,1,0",1
2,4,"(1, 2, 1)","8,0,5",2
2,4,"(1, 3)","6,0-7",1
2,4,"(2, 1, 1)","0,1,8",1
2,4,"(2, 1, 1)","0,7,5",1
2,4,"(2, 1, 1)","0,8,5",1
2,4,"(2, 2)","0,0",4
2,4,"(2, 2)","1-8,0",2
2,4,"(2, 2)","2-8,0",2
2,4,"(2, 2)","4-7,0",2
2,4,"(4,)",0-0,1
2,5,"(1, 1, 1, 2)","1,7,8,0",1
2,5,"(1, 1, 2, 1)","4,8,0,6",1
2,5,"(1, 2, 2)","5,0,0",1
2,5,"(1, 2, 2)","6,1-5,0",2
2,5,"(1, 2, 2)","8,0,0",1
2,5,"(2, 1, 2)","0,4,0",1
2,5,"(2, 2, 1)","0,0,4",2
2,5,"(2, 2, 1)","0,0,8",1
2,5,"(3, 2)","0-5,0",1
2,6,"(2, 1, 1, 2)","0,1,7,0",1
2,6,"(2, 2, 2)","0,0,0",7
2,6,"(2, 2, 2)","0,0,5-6",1
2,6,"(2, 4)","0,0-0",7
2,6,"(2, 4)","0,0-2-7",1
2,6,"(2, 4)","0,0-3-4",1
2,6,"(2, 4)","1-8,0-0",1
2,6,"(4, 2)","0-0,0",4
2,7,"(1, 1, 5)","2,8,0-0-1",2
2,7,"(1, 2, 4)","2,4-8,0-0",1
2,7,"(1, 2, 4)","3,2-4,0-0",1
2,7,"(1, 2, 4)","3,4-8,0-0",6
2,7,"(1, 2, 4)","4,0,0-0",1
2,7,"(1, 2, 4)","4,2-3,0-0",1
2,7,"(1, 2, 4)","7,0,0-0",1
2,7,"(1, 2, 4)","8,0,0-0",3
2,7,"(1, 2, 4)","8,2-3,0-0",1
2,7,"(1, 6)","8,0-0-0",1
2,7,"(2, 1, 4)","0,4,0-0",1
2,7,"(2, 1, 4)","0,8,0-0",5
2,7,"(2, 1, 4)","2-3,8,0-0",1
2,7,"(2, 5)","0,0-0-2",1
2,7,"(3, 4)","0-2,0-0",1
2,7,"(4, 3)","0-0,0-1",1
2,7,"(4, 3)","0-0,0-5",1
2,7,"(7,)",0-0-0-4,2
2,7,"(7,)",0-0-2-7-8,1
2,8,"(1, 1, 2, 4)","4,2,3-8,0-0",4
2,8,"(1, 1, 6)","1,8,0-0-0",2
2,8,"(1, 1, 6)","2,3,0-0-0",1
2,8,"(1, 1, 6)","2,8,0-0-0",2
2,8,"(1, 1, 6)","3,8,0-0-0",5
2,8,"(1, 1, 6)","4,8,0-0-0",3
2,8,"(1, 1, 6)","8,1,0-0-0",3
2,8,"(1, 1, 6)","8,2,0-0-0",1
2,8,"(1, 1, 6)","8,3,0-0-0",9
2,8,"(1, 1, 6)","8,4,0-0-0",1
2,8,"(1, 1, 6)","8,5,0-0-0",1
2,8,"(1, 3, 4)","1,5-6-7,0-0",1
2,8,"(1, 3, 4)","4,2-3-8,0-0",1
2,8,"(2, 1, 1, 4)","0,4,8,0-0",1
2,8,"(2, 1, 1, 4)","2-3,4,8,0-0",2
2,8,"(2, 2, 4)","0,0,0-0",13
2,8,"(2, 2, 4)","0,1-6,0-0",1
2,8,"(2, 2, 4)","0,5-6,0-0",1
2,8,"(2, 2, 4)","0,7-8,0-0",2
2,8,"(2, 2, 4)","1-5,6-7,0-0",1
2,8,"(2, 2, 4)","2-8,0,0-0",1
2,8,"(2, 3, 3)","0,0-1,0-4",1
2,8,"(2, 3, 3)","0,0-4,0-1",1
2,8,"(2, 6)","0,0-0-0",19
2,8,"(2, 6)","0,0-0-2-7",1
2,8,"(2, 6)","1-8,0-0-0",3
2,8,"(2, 6)","2-8,0-0-0",1
2,8,"(2, 6)","4-8,0-0-0",1
2,8,"(3, 1, 4)","0-3,8,0-0",1
2,8,"(4, 4)","0-0,0-0",7
2,8,"(6, 2)","0-0-0,0",2
2,8,"(6, 2)","0-0-0,5-8",1
2,9,"(1, 2, 2, 2, 2)","8,0,0,0,0",3
2,9,"(1, 2, 2, 4)","5,4-8,0,0-0",1
2,9,"(1, 2, 6)","1,0,0-0-0",1
2,9,"(1, 2, 6)","2,0,0-0-0",3
2,9,"(1, 2, 6)","2,0,0-0-1-7",1
2,9,"(1, 2, 6)","3,0,0-0-0",1
2,9,"(1, 2, 6)","8,0,0-0-0",8
2,9,"(1, 4, 2, 2)","8,0-0,0,0",1
2,9,"(1, 6, 2)","8,0-0-0,0",2
2,9,"(1, 8)","3,0-0-0-0",1
2,9,"(1, 8)","7,0-0-0-0",1
2,9,"(2, 1, 4, 2)","0,1,0-0,0",1
2,9,"(2, 1, 4, 2)","0,2,0-0,0",4
2,9,"(2, 1, 4, 2)","0,7,0-0,0",1
2,9,"(2, 1, 6)","0,2,0-0-0",2
2,9,"(2, 1, 6)","0,2,0-0-1-7",1
2,9,"(2, 1, 6)","0,3,0-0-1-7",1
2,9,"(2, 1, 6)","0,7,0-0-0",1
2,9,"(2, 1, 6)","0,8,0-0-0",10
2,9,"(3, 6)","0-5,0-0-0",1
2,9,"(3, 6)","0-8,0-0-0",1
2,9,"(5, 4)","0-0-3,0-0",1
2,9,"(5, 4)","0-0-8,0-0",2
2,10,"(1, 1, 2, 6)","1,8,0,0-0-0",1
2,10,"(1, 1, 2, 6)","5,2,0,0-0-0",1
2,10,"(1, 1, 2, 6)","8,1,0,0-0-0",2
2,10,"(1, 1, 2, 6)","8,2,0,0-0-0",2
2,10,"(1, 1, 2, 6)","8,3,0,0-0-0",1
2,10,"(1, 2, 1, 6)","1,0,3,0-0-0",2
2,10,"(1, 2, 1, 6)","1,0,8,0-0-0",1
2,10,"(1, 2, 1, 6)","3,0,8,0-0-0",1
2,10,"(1, 2, 1, 6)","7,0,8,0-0-0",2
2,10,"(1, 3, 6)","8,2-4-7,0-0-0",1
2,10,"(1, 3, 6)","8,2-5-7,0-0-0",2
2,10,"(1, 3, 6)","8,3-4-6,0-0-0",4
2,10,"(1, 3, 6)","8,3-4-7,0-0-0",2
2,10,"(1, 3, 6)","8,4-5-7,0-0-0",1
2,10,"(1, 3, 6)","8,4-6-7,0-0-0",9
2,10,"(1, 3, 6)","8,5-6-7,0-0-0",4
2,10,"(2, 1, 1, 6)","0,1,8,0-0-0",5
2,10,"(2, 1, 1, 6)","0,2,8,0-0-0",3
2,10,"(2, 1, 1, 6)","0,3,6,0-0-0",1
2,10,"(2, 1, 1, 6)","0,3,8,0-0-0",1
2,10,"(2, 1, 1, 6)","0,4,8,0-0-0",1
2,10,"(2, 1, 1, 6)","0,5,1,0-0-0",1
2,10,"(2, 1, 1, 6)","0,6,3,0-0-0",1
2,10,"(2, 1, 1, 6)","0,7,8,0-0-0",6
2,10,"(2, 1, 1, 6)","0,8,1,0-0-0",1
2,10,"(2, 1, 1, 6)","0,8,4,0-0-0",2
2,10,"(2, 1, 1, 6)","0,8,5,0-0-0",1
2,10,"(2, 1, 1, 6)","0,8,6,0-0-0",3
2,10,"(2, 2, 2, 4)","0,0,0,0-0",1
2,10,"(2, 2, 4, 2)","0,0,0-0,0",2
2,10,"(2, 2, 6)","0,0,0-0-0",49
2,10,"(2, 2, 6)","0,1-8,0-0-0",3
2,10,"(2, 2, 6)","0,2-5,0-0-0",1
2,10,"(2, 2, 6)","0,2-8,0-0-0",1
2,10,"(2, 2, 6)","0,3-4,0-0-0",1
2,10,"(2, 2, 6)","0,3-6,0-0-0",1
2,10,"(2, 2, 6)","0,4-8,0-0-0",1
2,10,"(2, 4, 4)","0,0-0,0-0",10
2,10,"(2, 4, 4)","2-8,0-0,0-0",1
2,10,"(2, 4, 4)","7-8,0-0,0-0",1
2,10,"(2, 8)","0,0-0-0-0",7
2,10,"(2, 8)","5-6,0-0-0-0",1
2,10,"(3, 1, 6)","0-7,8,0-0-0",11
2,10,"(3, 1, 6)","1-3-7,8,0-0-0",4
2,10,"(3, 1, 6)","1-5-6,8,0-0-0",1
2,10,"(3, 1, 6)","1-5-7,8,0-0-0",1
2,10,"(3, 1, 6)","1-6-7,8,0-0-0",7
2,10,"(3, 1, 6)","2-3-5,8,0-0-0",1
2,10,"(3, 1, 6)","2-3-6,8,0-0-0",2
2,10,"(3, 1, 6)","2-4-5,8,0-0-0",1
2,10,"(3, 1, 6)","2-4-6,8,0-0-0",1
2,10,"(3, 1, 6)","2-4-7,8,0-0-0",6
2,10,"(3, 1, 6)","2-5-6,8,0-0-0",2
2,10,"(3, 1, 6)","3-4-6,8,0-0-0",3
2,10,"(3, 1, 6)","3-5-6,8,0-0-0",2
2,10,"(3, 1, 6)","4-5-7,8,0-0-0",4
2,10,"(3, 1, 6)","4-6-7,8,0-0-0",20
2,10,"(3, 1, 6)","5-6-7,8,0-0-0",40
2,10,"(3, 2, 5)","0-8,0,0-0-5",1
2,10,"(4, 2, 2, 2)","0-0,0,0,0",3
2,10,"(4, 2, 4)","0-0,0,0-0",4
2,10,"(4, 4, 2)","0-0,0-0,0",1
2,10,"(4, 6)","0-0,0-0-0",16
2,10,"(5, 1, 4)","0-0-8,1,0-0",1
2,10,"(5, 5)","0-0-1,0-0-8",1
2,10,"(6, 2, 2)","0-0-0,0,0",1
2,10,"(6, 4)","0-0-0,0-0",2
2,10,"(7, 3)","0-0-0-1,0-8",1
2,11,"(1, 1, 1, 8)","2,4,3,0-0-0-0",2
2,11,"(1, 1, 1, 8)","4,2,3,0-0-0-0",3
2,11,"(1, 1, 2, 1, 6)","6,4,0,8,0-0-0",1
2,11,"(1, 2, 2, 6)","1,0,0,0-0-0",5
2,11,"(1, 2, 2, 6)","2,0,0,0-0-0",1
2,11,"(1, 2, 2, 6)","3,0,0,0-0-0",2
2,11,"(1, 2, 2, 6)","4,0,0,0-0-0",1
2,11,"(1, 2, 2, 6)","8,0,0,0-0-0",7
2,11,"(1, 2, 4, 4)","4,0,0-0,0-0",1
2,11,"(1, 2, 4, 4)","8,0,0-0,0-0",1
2,11,"(1, 2, 8)","2,0,0-0-0-0",2
2,11,"(1, 2, 8)","2,3-4,0-0-0-0",3
2,11,"(1, 2, 8)","4,2-3,0-0-0-0",4
2,11,"(1, 2, 8)","5,0,0-0-0-0",8
2,11,"(1, 2, 8)","7,0,0-0-0-0",2
2,11,"(1, 2, 8)","8,0,0-0-0-0",3
2,11,"(1, 4, 2, 2, 2)","8,0-0,0,0,0",1
2,11,"(1, 4, 2, 4)","5,0-0,0,0-0",1
